module_id,key,value
243,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/217589903_1712492048935893_910978120336933522_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=Aqzt1Uwj8NcAX-GoZ3X&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=84b4951eb9a261228056da89c507877f&oe=60F6A951
243,release_file_hash,M2TijpqdkVPkqWhGyoM8X+dSCRMZH3KAROoh/QG/Kwg=
243,release_full_apk_signature,AQDiMEYCIQDB526NOE7npYCWi/xWrxwfx8FX8gh1XRvtfo/NIb0hcAIhAPPaF0erSbk+KKeiBl89mssuBmsMAsNZ0/peHE3tA8qF
244,multifile_download_id,389
244,download_api,1
244,download_allow_metered,false
244,release_remote_uri,https://scontent-iad3-2.xx.fbcdn.net/v/t39.10537-6/218405124_325571905881635_3148177848482880983_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=XFiM0ncb8wYAX-HbSBd&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-iad3-2.xx&oh=569f0ff272faa5e7d5230a96606b7bdf&oe=60FE37DB
244,release_file_hash,6yeEWKKLZ3yV4vzY127ChqpkbZuYTcWfigQuRlegw+k=
244,release_full_apk_signature,AQDiMEUCIAOj0q3dQLvDy58GEA3fDF+Bzvj6oyJc0F8VZ/T5bdUYAiEAlNxJ8OHGwlqNhQzFVD+zFIDltOz9yB8dkqsrGKQSvN8=
245,multifile_download_id,389
245,download_api,1
245,download_allow_metered,false
245,release_remote_uri,https://scontent-iad3-2.xx.fbcdn.net/v/t39.10537-6/219699511_325568785881947_6852059467638419663_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=oFggGbkK-zIAX_BXSzq&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-iad3-2.xx&oh=de9153b70b9c7001f36f0b998deb58de&oe=60FDAB3C
245,release_file_hash,TLi/k0Y98WsMNlaKQh1OYztpzHB6GYh7gwPU3GF2/Es=
245,release_full_apk_signature,AQDiMEUCIQD1vKAMCgdLJfzwVRg5ge0v34I9mDj5HdQOAwy5ygP6AAIgJmH+mT4YbMaJcOubWIWRGw+5SMl2rQSH3fsTSl35l5k=
