docid,c0title,c1package,c2authority,c3key_reference,c4type
36,,com.android.settings,com.android.settings.command,volume_key_control,2
37,,com.android.settings,com.android.settings.command,function_key_setting,1
38,,com.android.settings,com.android.settings.command,settings_reset,1
39,,com.android.settings,com.android.settings.command,smart_stay,2
40,,com.android.settings,com.android.settings.command,smart_alert,2
41,,com.android.settings,com.android.settings.command,increse_touch_sensetivity,2
42,,com.android.settings,com.android.settings.command,dial_pad_tones,2
43,,com.android.settings,com.android.settings.command,shake_to_share,2
44,,com.android.settings,com.android.settings.command,screen_mode,1
45,,com.android.settings,com.android.settings.command,top_level_accounts_backup,1
46,,com.android.settings,com.android.settings.command,lock_screen_dualclock,2
47,,com.android.settings,com.android.settings.command,toggle_airplane,2
48,,com.android.settings,com.android.settings.command,onehand_operation_settings,2
49,,com.android.settings,com.android.settings.command,lock_app_shortcut,2
50,,com.android.settings,com.android.settings.command,screen_resolution,5
51,,com.android.settings,com.android.settings.command,screen_locking_sounds,2
52,,com.android.settings,com.android.settings.command,wifi_adps,2
53,,com.android.settings,com.android.settings.command,auto_sync_account_data,2
54,,com.samsung.accessibility,com.samsung.accessibility.command,fmpointer_size,1
55,,com.samsung.accessibility,com.samsung.accessibility.command,ColorCorrectionRoutine,2
56,,com.samsung.accessibility,com.samsung.accessibility.command,google_captioning_preference_screen,2
57,,com.samsung.accessibility,com.samsung.accessibility.command,speak_keyboard_input_aloud,2
58,,com.samsung.accessibility,com.samsung.accessibility.command,mobility_preference_key,1
59,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_inversion_preference,2
60,,com.samsung.accessibility,com.samsung.accessibility.command,call_answering_ending,1
61,,com.samsung.accessibility,com.samsung.accessibility.command,opacity_settings,3
62,,com.samsung.accessibility,com.samsung.accessibility.command,select_long_press_timeout_preference,1
63,,com.samsung.accessibility,com.samsung.accessibility.command,sticky_keys,2
64,,com.samsung.accessibility,com.samsung.accessibility.command,show_as_edge_icon,2
65,,com.samsung.accessibility,com.samsung.accessibility.command,magnifier_zoom,3
66,,com.samsung.accessibility,com.samsung.accessibility.command,amplify_ambient_sound,1
67,,com.samsung.accessibility,com.samsung.accessibility.command,accessibility_button,1
68,,com.samsung.accessibility,com.samsung.accessibility.command,tap_duration_key,2
69,,com.samsung.accessibility,com.samsung.accessibility.command,assistant_menu_grid_size,1
70,,com.samsung.accessibility,com.samsung.accessibility.command,assistant_plus,1
71,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_magnification_window_preference_screen,1
72,,com.samsung.accessibility,com.samsung.accessibility.command,flash_notification_key,1
73,,com.samsung.accessibility,com.samsung.accessibility.command,AmplifyAmbientSoundRoutine,2
74,,com.samsung.accessibility,com.samsung.accessibility.command,magnification_preference_screen,1
75,,com.samsung.accessibility,com.samsung.accessibility.command,call_hearing_aid,2
76,,com.samsung.accessibility,com.samsung.accessibility.command,about_accessibility,1
77,,com.samsung.accessibility,com.samsung.accessibility.command,audio_preference_key,1
78,,com.samsung.accessibility,com.samsung.accessibility.command,menu_edit,1
79,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_easy_interaction_preference,2
80,,com.samsung.accessibility,com.samsung.accessibility.command,high_keyboard_contrast_preference_screen,2
81,,com.samsung.accessibility,com.samsung.accessibility.command,time_to_take_action,1
82,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_large_pointer_icon,2
83,,com.samsung.accessibility,com.samsung.accessibility.command,screen,2
84,,com.samsung.accessibility,com.samsung.accessibility.command,air_motion_wake_up,2
85,,com.samsung.accessibility,com.samsung.accessibility.command,magnifier_size,1
86,,com.samsung.accessibility,com.samsung.accessibility.command,camera_light,2
87,,com.samsung.accessibility,com.samsung.accessibility.command,talkback_preference,1
88,,com.samsung.accessibility,com.samsung.accessibility.command,fmpad_size,1
89,,com.samsung.accessibility,com.samsung.accessibility.command,ColorLensRoutine,2
90,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_high_text_contrast_preference,2
91,,com.samsung.accessibility,com.samsung.accessibility.command,bixby_vision_for_accessibility,1
92,,com.samsung.accessibility,com.samsung.accessibility.command,ignore_repeat_key,2
93,,com.samsung.accessibility,com.samsung.accessibility.command,adapt_sound,1
94,,com.samsung.accessibility,com.samsung.accessibility.command,live_caption,1
95,,com.samsung.accessibility,com.samsung.accessibility.command,mono_audio_key,2
96,,com.samsung.accessibility,com.samsung.accessibility.command,hearing_aid_preference,1
97,,com.samsung.accessibility,com.samsung.accessibility.command,all_sound_off_key,2
98,,com.samsung.accessibility,com.samsung.accessibility.command,daltonizer_preference_screen,1
99,,com.samsung.accessibility,com.samsung.accessibility.command,voice_label_preference_screen,1
100,,com.samsung.accessibility,com.samsung.accessibility.command,real_time_text,1
101,,com.samsung.accessibility,com.samsung.accessibility.command,volume_up_and_down,1
102,,com.samsung.accessibility,com.samsung.accessibility.command,slow_keys,2
103,,com.samsung.accessibility,com.samsung.accessibility.command,screen_zoom_preference,1
104,,com.samsung.accessibility,com.samsung.accessibility.command,contact_us,1
105,,com.samsung.accessibility,com.samsung.accessibility.command,features_for_you,1
106,,com.samsung.accessibility,com.samsung.accessibility.command,assistant_menu_preference,2
107,,com.samsung.accessibility,com.samsung.accessibility.command,LiveCaptionRoutine,2
108,,com.samsung.accessibility,com.samsung.accessibility.command,autoclick_preference_screen,2
109,,com.samsung.accessibility,com.samsung.accessibility.command,more_settings,1
110,,com.samsung.accessibility,com.samsung.accessibility.command,hearing_aid_support,1
111,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_remove_animations,2
112,,com.samsung.accessibility,com.samsung.accessibility.command,side_and_volume_up,1
113,,com.samsung.accessibility,com.samsung.accessibility.command,toggle_show_button_bg,2
114,,com.samsung.accessibility,com.samsung.accessibility.command,bounce_keys,2
115,,com.samsung.accessibility,com.samsung.accessibility.command,view_clear_preferences,1
116,,com.samsung.accessibility,com.samsung.accessibility.command,color_lens_preference_screen,1
117,,com.samsung.accessibility,com.samsung.accessibility.command,com.samsung.accessibility/com.samsung.accessibility.shortcut.MagnifierShortcut,2
118,,com.samsung.accessibility,com.samsung.accessibility.command,installed_service_key,1
119,,com.samsung.accessibility,com.samsung.accessibility.command,other_useful_settings,1
120,,com.samsung.accessibility,com.samsung.accessibility.command,speech_to_text_preference,1
121,,com.samsung.accessibility,com.samsung.accessibility.command,access_control_key,1
122,,com.samsung.accessibility,com.samsung.accessibility.command,magnifier_image_zoom,3
123,,com.samsung.accessibility,com.samsung.accessibility.command,high_contrast_theme_preference,1
124,,com.samsung.accessibility,com.samsung.accessibility.command,color_adjustment_preference_screen,1
125,,com.samsung.accessibility,com.samsung.accessibility.command,sound_detector_plus_preference,1
126,,com.samsung.accessibility,com.samsung.accessibility.command,horizontal_focus_lock,2
127,,com.samsung.accessibility,com.samsung.accessibility.command,follow_typing_focus,2
128,,com.samsung.accessibility,com.samsung.accessibility.command,am_magnifier_size,1
129,,com.samsung.accessibility,com.samsung.accessibility.command,com.samsung.accessibility/com.samsung.accessibility.universalswitch.UniversalSwitchService,1
130,,com.samsung.accessibility,com.samsung.accessibility.command,live_transcribe,1
131,,com.samsung.accessibility,com.samsung.accessibility.command,sound_balance,3
132,,com.samsung.accessibility,com.samsung.accessibility.command,font_style_preference,1
133,,com.samsung.accessibility,com.samsung.accessibility.command,magnifier_image,1
134,,com.samsung.accessibility,com.samsung.accessibility.command,fmpointer_speed,1
135,,com.samsung.android.app.routines,com.samsung.android.app.routines.command,key_dynamic_routines_setting,2
136,,com.samsung.android.app.smartcapture,com.samsung.android.app.smartcapture.command,key_screenshot_toolbar,2
137,,com.samsung.android.app.smartcapture,com.samsung.android.app.smartcapture.command,key_hide_status_and_navigation_bars,2
138,,com.samsung.android.app.smartcapture,com.samsung.android.app.smartcapture.command,key_delete_shared_screenshots,2
139,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_contact_us,1
140,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_when_spen_is_removed,5
141,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_pointer,2
142,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_general,1
143,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_air_actions,1
144,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_air_pointer,1
145,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_air_view,2
146,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_floating_icon,2
147,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_screen_off_note,2
148,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_direct_writing,2
149,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_air_command,1
150,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_dex_input_mode,1
151,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_open_air_command_with_pen_button,2
152,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_alarm,2
153,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_learn_about_spen_features,1
154,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_blank,1
155,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_vibration,2
156,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_dex,1
157,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_removal,1
158,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_unlock_with_spen_remote,2
159,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_create_note_with_pen_button,2
160,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,pen_settings_menu,1
161,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_air_action_below_margin,1
162,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_note_below_margin,1
163,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_about_spen,1
164,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_shortcuts,1
165,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_sound,2
166,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_category_feedback,1
167,,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand.command,key_power_saver,2
168,,com.sec.android.app.launcher,com.sec.android.app.launcher.command,pref_only_portrait_mode_setting,2
169,,com.sec.android.app.launcher,com.sec.android.app.launcher.command,pref_apps_button_setting,2
170,,com.sec.android.app.launcher,com.sec.android.app.launcher.command,pref_app_icon_badges,2
171,,com.sec.android.app.launcher,com.sec.android.app.launcher.command,pref_lock_screen_layout,2
172,,com.sec.android.app.launcher,com.sec.android.app.launcher.command,pref_notification_panel_setting,2
173,,com.sec.android.app.safetyassurance,com.sec.android.app.safetyassurance.command,master_switch_preference_key,2
