_id,media_id,sec_media_id,uri,_data,media_type,datetaken,date_added,latitude,longitude,image_quality,face_count,title,is_duplicate,scene_names,locale,country_name,just_shot,country_code,locality,is_delete,poi_name,poi_city,street_name,user_tag_data,storage_id,image_clusterid,image_screener,duration,moment_id,width,height,_size,recordingtype,hasExifInfo,serviceflag,orientation,smartcrop_rect,file_status,isSelfieImage,is_cloud,group_id,burst_group_id,landmark_names,is_drm,mp_id,cloud_server_id,group_type,mime_type
22,22,2147483670,content://secmedia/media/2147483670,/storage/emulated/0/DCIM/Camera/20210519_205210.jpg,1,1621471930225,1621471930,37.22382736206055,-80.41773223876953,1,0,20210519_205210,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,23,"blur=0.086636,brightnessMean=0.550894,contrast=0.839844,featureNumber=0.730172,featurePointDistribution=0.518729,motionBlur=0.352479,outFocusBackground=0.941176,overExposure=0.002891,skylineIncline=0.022282,underExposure=0.002517,totalQuality=1.000000",0,8,4032,1908,6046089,0,1,66,90,"0.24937965,0.036745407,0.82133996,0.53805774,0.24937965,0.0,0.72208434,1.0,0.191067,0.0,0.82133996,1.0,0.24937965,0.0,0.60421836,1.0,0.0707196,0.0,0.91067,1.0,0.25558314,0.0,0.5210918,1.0",0,0,1,0,0,,0,49,,0,image/jpeg
23,23,2147483671,content://secmedia/media/2147483671,/storage/emulated/0/DCIM/Camera/20210519_205213.jpg,1,1621471933351,1621471933,37.22382736206055,-80.41773223876953,1,0,20210519_205213,0.0,"scenery,streets",,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,22,"blur=0.161844,brightnessMean=0.562498,contrast=0.707031,featureNumber=0.607441,featurePointDistribution=0.824085,motionBlur=0.844715,outFocusBackground=0.962759,overExposure=0.007472,skylineIncline=0.635465,underExposure=0.000007,totalQuality=0.000000",0,8,4032,1908,5535443,0,1,66,90,"0.24937965,0.2519685,0.5,0.8582677,0.23945409,0.0,0.7121588,1.0,0.235732,0.0,0.86600494,1.0,0.23945409,0.0,0.5942928,1.0,0.1414392,0.0,0.9813896,1.0,0.23449132,0.0,0.5,1.0",0,0,1,0,0,,0,50,,0,image/jpeg
24,24,2147483672,content://secmedia/media/2147483672,/storage/emulated/0/DCIM/Camera/20210519_205217.jpg,1,1621471937153,1621471937,37.22382736206055,-80.41773223876953,1,0,20210519_205217,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,21,"blur=0.000352,brightnessMean=0.682690,contrast=0.777344,featureNumber=0.813381,featurePointDistribution=0.640585,motionBlur=0.128142,outFocusBackground=0.978718,overExposure=0.006190,skylineIncline=0.116761,underExposure=0.000561,totalQuality=1.000000",0,8,4032,1908,6286243,0,1,66,90,"0.0707196,0.67979,0.5,0.92913383,0.027295286,0.0,0.5,1.0,0.0707196,0.0,0.7009926,1.0,0.0707196,0.0,0.4255583,1.0,0.0707196,0.0,0.91067,1.0,0.0707196,0.0,0.33622828,1.0",0,0,1,0,0,,0,51,,0,image/jpeg
25,26,2147483674,content://secmedia/media/2147483674,/storage/emulated/0/DCIM/Camera/20210519_205250.jpg,1,1621471970791,1621471970,37.2239875793457,-80.41763305664062,1,0,20210519_205250,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,20,"blur=0.014798,brightnessMean=0.541643,contrast=0.875000,featureNumber=0.855281,featurePointDistribution=0.696874,motionBlur=0.576958,outFocusBackground=0.970146,overExposure=0.005355,skylineIncline=0.373436,underExposure=0.010517,totalQuality=1.000000",0,8,4032,1908,6786196,0,1,66,90,"0.10669975,0.2519685,0.9280397,0.8950131,0.10669975,0.0,0.5794045,1.0,0.10669975,0.0,0.7369727,1.0,0.115384616,0.0,0.47022334,1.0,0.08808933,0.0,0.9280397,1.0,0.15136476,0.0,0.41687346,1.0",0,0,1,0,0,,0,53,,0,image/jpeg
26,27,2147483675,content://secmedia/media/2147483675,/storage/emulated/0/DCIM/Camera/20210519_205305.jpg,1,1621471985025,1621471985,37.2239875793457,-80.41763305664062,1,0,20210519_205305,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,19,"blur=0.023843,brightnessMean=0.441741,contrast=0.816406,featureNumber=0.588811,featurePointDistribution=0.934498,motionBlur=0.392007,outFocusBackground=0.968420,overExposure=0.001289,skylineIncline=0.858281,underExposure=0.003005,totalQuality=1.000000",0,8,4032,1908,4431972,0,1,66,90,"0.2853598,0.002624672,0.9987593,0.8950131,0.2853598,0.0,0.7580645,1.0,0.2853598,0.0,0.9156327,1.0,0.2853598,0.0,0.6401985,1.0,0.16004963,0.0,1.0,1.0,0.2853598,0.0,0.5508685,1.0",0,0,1,0,0,,0,54,,0,image/jpeg
27,28,2147483676,content://secmedia/media/2147483676,/storage/emulated/0/DCIM/Camera/20210519_205310.jpg,1,1621471990561,1621471990,37.2239875793457,-80.41763305664062,1,0,20210519_205310,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,18,"blur=0.486500,brightnessMean=0.504321,contrast=0.820313,featureNumber=0.421454,featurePointDistribution=0.461616,motionBlur=0.799280,outFocusBackground=0.691546,overExposure=0.002557,skylineIncline=0.278958,underExposure=0.000995,totalQuality=0.950205",0,8,4032,1908,3971142,0,1,66,90,"0.17741935,0.5013123,0.8560794,0.8950131,0.17741935,0.0,0.6501241,1.0,0.17741935,0.0,0.8076923,1.0,0.17741935,0.0,0.5322581,1.0,0.08684864,0.0,0.926799,1.0,0.191067,0.0,0.4565757,1.0",0,0,1,0,0,,0,55,,0,image/jpeg
28,29,2147483677,content://secmedia/media/2147483677,/storage/emulated/0/DCIM/Camera/20210606_175209.jpg,1,1623016329000,1623016330,33.747825622558594,-78.80804443359375,1,0,20210606_175209,0.0,scenery,,,1,,,0,,,,,65537,29,"blur=0.109099,brightnessMean=0.681451,contrast=0.722656,featureNumber=0.571063,featurePointDistribution=0.862069,motionBlur=0.344321,outFocusBackground=0.914866,overExposure=0.012600,skylineIncline=0.022282,underExposure=0.001242,totalQuality=1.000000",0,9,4032,1908,1904139,0,1,66,90,"0.24937965,0.18110237,0.60669976,0.7506562,0.13399504,0.0,0.60669976,1.0,0.235732,0.0,0.86600494,1.0,0.24937965,0.0,0.60421836,1.0,0.1414392,0.0,0.9813896,1.0,0.2853598,0.0,0.5508685,1.0",0,0,1,0,480795271,,0,59,,2,image/jpeg
29,30,2147483678,content://secmedia/media/2147483678,/storage/emulated/0/DCIM/Camera/20210606_175210.jpg,1,1623016331000,1623016331,33.747825622558594,-78.80804443359375,1,0,20210606_175210,0.0,scenery,,,1,,,0,,,,,65537,29,"blur=0.172362,brightnessMean=0.684902,contrast=0.734375,featureNumber=0.572068,featurePointDistribution=0.888883,motionBlur=0.369783,outFocusBackground=0.925374,overExposure=0.034723,skylineIncline=0.011577,underExposure=0.001162,totalQuality=1.000000",0,9,4032,1908,1896478,0,1,66,90,"0.24937965,0.18110237,0.60669976,0.7506562,0.13399504,0.0,0.60669976,1.0,0.235732,0.0,0.86600494,1.0,0.24937965,0.0,0.60421836,1.0,0.1414392,0.0,0.9813896,1.0,0.2853598,0.0,0.5508685,1.0",0,0,1,0,480795271,,0,60,,2,image/jpeg
30,31,2147483679,content://secmedia/media/2147483679,/storage/emulated/0/DCIM/Camera/20210606_175236.jpg,1,1623016356000,1623016357,33.74782180786133,-78.80809020996094,1,0,20210606_175236,0.0,,,,1,,,0,,,,,65537,28,"blur=0.103033,brightnessMean=0.598879,contrast=0.730469,featureNumber=0.514736,featurePointDistribution=0.575954,motionBlur=0.593495,outFocusBackground=0.849595,overExposure=0.036793,skylineIncline=0.056140,underExposure=0.000568,totalQuality=1.000000",0,9,4032,1908,1889056,0,1,66,90,"0.5707196,0.18110237,0.74937963,0.7506562,0.471464,0.0,0.94416875,1.0,0.3138958,0.0,0.94416875,1.0,0.4280397,0.0,0.7828784,1.0,0.009925558,0.0,0.8498759,1.0,0.46401986,0.0,0.72952855,1.0",0,0,1,0,0,,0,61,,0,image/jpeg
31,32,2147483680,content://secmedia/media/2147483680,/storage/emulated/0/DCIM/Camera/20210606_175238.jpg,1,1623016358000,1623016359,33.74782180786133,-78.80809020996094,1,0,20210606_175238,0.0,,,,1,,,0,,,,,65537,27,"blur=0.132904,brightnessMean=0.526061,contrast=0.800781,featureNumber=0.510279,featurePointDistribution=0.624847,motionBlur=0.737801,outFocusBackground=0.873941,overExposure=0.008674,skylineIncline=0.858281,underExposure=0.006170,totalQuality=0.999999",0,9,4032,1908,1985550,0,1,66,90,"0.32133996,0.2519685,0.60669976,0.7506562,0.29900745,0.0,0.7717122,1.0,0.30645162,0.0,0.93672454,1.0,0.25186104,0.0,0.60669976,1.0,0.0,0.0,0.8399504,1.0,0.32133996,0.0,0.5868486,1.0",0,0,1,0,0,,0,62,,0,image/jpeg
