start_time,end_time,all_power,screen_power,screen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge
1626506484503,1626507384520,4.308269341024925,0.0,0,900027,0,1
1626507384520,1626508284560,3.9894121966740386,0.0,0,900052,0,0
1626508284560,1626509184462,4.557447766056498,0.0,0,899876,0,2
1626509184462,1626510084392,4.2931204896154895,0.0,0,899989,0,0
1626510084392,1626510984458,4.003409619552599,0.0,0,900000,0,2
1626510984458,1626511884195,4.569038443846466,0.0,0,899718,0,0
1626511884195,1626512490777,5.370297527810294,0.0,0,606646,0,3
1626512490777,1626513684492,11.707615982358675,0.0,0,1193649,0,3
1626513684492,1626514584163,4.299474601389534,0.0,0,899718,0,1
1626514584163,1626515484158,4.203978677268765,0.0,0,899990,0,1
1626515484158,1626516384175,4.544504315181257,0.0,0,900005,0,0
1626516384175,1626517284405,3.9239852359833094,0.0,0,900222,0,2
1626517284405,1626518185399,4.484634443421783,0.0,0,900986,0,1
1626518185399,1626519085363,3.930727501106844,0.0,0,899997,0,1
1626519085363,1626519985324,4.412202263733207,0.0,0,899987,0,0
1626519985324,1626520885388,4.145686021606821,0.0,0,900003,0,3
1626520885388,1626521785323,4.5940661760043895,0.0,0,899956,0,1
1626521785323,1626522685295,3.929968178112972,0.0,0,900006,0,0
1626522685295,1626523585318,4.252764574634625,0.0,0,899993,0,2
1626523585318,1626524485362,4.337784913747441,0.0,0,900038,0,0
1626524485362,1626525385315,4.259389886342319,0.0,0,899957,0,1
1626525385315,1626526285284,3.927946961418229,0.0,0,899975,0,1
1626526285284,1626527185305,5.382571619441819,0.0,0,900001,0,1
1626527185305,1626528085375,4.059132384750569,0.0,0,900029,0,2
1626528085375,1626528985256,4.2660592271762425,0.0,0,899931,0,2
1626528985256,1626529885328,4.456087893637346,0.0,0,900063,0,1
1626529885328,1626530785227,3.9363805378782217,0.0,0,899946,0,0
1626530785227,1626531685276,4.27479703938377,0.0,0,899985,0,2
1626531685276,1626532585284,4.072738980265285,0.0,0,899992,0,1
1626532585284,1626533485274,4.4984332209060085,0.0,0,900018,0,1
