path,name,acl,scope,format,type,depth,value,largeobjsize
./FUMO/PkgName,PkgName,Get=*,2,chr,text/plain,3,,0
./FUMO/PkgVersion,PkgVersion,Get=*,2,chr,text/plain,3,,0
./FUMO/Download,Download,Get=*&Exec=*,2,node,null,3,,0
./FUMO/Download/PkgURL,PkgURL,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/DownloadAndUpdate,DownloadAndUpdate,Get=*&Exec=*,2,node,null,3,,0
./FUMO/DownloadAndUpdate/PkgURL,PkgURL,Get=*&Replace=*,2,chr,text/plain,4,"QKGRE9gmHC3PgSHCkLaDVKlsTY35mqEsEv677dAJ6lrUaXydMzqVoi+qFCnbXX/gdd0t3+d1Bvhu
sQKTPz8Pi4JySM02/hGoONLIXwEbQYVcsiNp6B5CP/KeRUdevZACRNZZVH9rtGJIzsgSukRA0Vgz
BT/MK7Q1raOEaq59FR3um+9K8nrREEgda6x9hf0j2o4eqtt4JRrUG+eseEVVUon0nmKisbYQSQFp
xORAQ9nGT+ESNLZavW/dRQ7Ca/oO
",0
./FUMO/Update,Update,Get=*&Exec=*,2,node,null,3,,0
./FUMO/Update/PkgData,PkgData,Replace=*,2,bin,application/octet-stream,4,,0
./FUMO/State,State,Get=*,1,Int,text/plain,3,,0
./FUMO/Ext,Ext,Get=*,1,node,null,3,,0
./FUMO/Ext/DoCheckingRooting,DoCheckingRooting,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/Ext/Priority,Priority,Get=*&Replace=*,2,chr,text/plain,4,0,0
./FUMO/Ext/Postpone,Postpone,Get=*&Replace=*,2,chr,text/plain,4,-1,0
./FUMO/Ext/ForceInstall,ForceInstall,Get=*&Replace=*,2,chr,text/plain,4,0,0
./FUMO/Ext/DownloadConnType,DownloadConnType,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/Ext/SvcState,SvcState,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/Ext/Poll_Period,Poll_Period,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/Ext/Poll_Range,Poll_Range,Get=*&Replace=*,2,chr,text/plain,4,,0
./FUMO/Ext/Poll_Time,Poll_Time,Get=*&Replace=*,2,chr,text/plain,4,,0
./DMAcc,DMAcc,Get=*,1,node,,2,,0
./DMAcc/x6g1q14r75,x6g1q14r75,Delete=*&Get=*&Replace=*,2,node,,3,,0
./DMAcc/x6g1q14r75/AppID,AppID,Get=*&Replace=*,2,chr,text/plain,4,w7,0
./DMAcc/x6g1q14r75/ServerID,ServerID,Get=*&Replace=*,2,chr,text/plain,4,b'u\xa9\t\xdb\x80\xc5\x8dhx\xff\xbft\x1eQ\xf8\x91',0
./DMAcc/x6g1q14r75/Name,Name,Get=*&Replace=*,2,chr,text/plain,4,fotaagent,0
./DMAcc/x6g1q14r75/PrefConRef,PrefConRef,Get=*&Replace=*,2,chr,text/plain,4,,0
./DMAcc/x6g1q14r75/ToConRef,ToConRef,Delete=*&Get=*&Replace=*,2,node,,4,,0
./DMAcc/x6g1q14r75/ToConRef/Connectivity Reference Name,Connectivity Reference Name,Delete=*&Get=*&Replace=*,2,node,,5,,0
./DMAcc/x6g1q14r75/ToConRef/Connectivity Reference Name/ConRef,ConRef,Get=*&Replace=*,2,chr,text/plain,6,,0
./DMAcc/x6g1q14r75/AppAddr,AppAddr,Get=*&Replace=*,1,node,,4,,0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX,AppAddrX,Get=*&Replace=*,1,node,,5,,0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX/Addr,Addr,Get=*&Replace=*,2,chr,text/plain,6,"QKGRE9gmHC3PgSHCkLaDVKlsTY35mqEsEv677dAJ6lrUaXydMzqVoi+qFCnbXX/glvkjA+eRLljt
7tae6RV2FA==
",0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX/AddrType,AddrType,Get=*&Replace=*,2,chr,text/plain,6,URI,0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX/Port,Port,Get=*&Replace=*,1,node,,6,,0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX/Port/PortX,PortX,Get=*&Replace=*,1,node,,7,,0
./DMAcc/x6g1q14r75/AppAddr/AppAddrX/Port/PortX/PortNbr,PortNbr,Get=*&Replace=*,2,chr,text/plain,8,443,0
./DMAcc/x6g1q14r75/AAuthPref,AAuthPref,Get=*&Replace=*,2,chr,text/plain,4,,0
./DMAcc/x6g1q14r75/AppAuth,AppAuth,Get=*&Replace=*,1,node,,4,,0
./DMAcc/x6g1q14r75/AppAuth/server,server,Get=*&Replace=*,1,node,,5,,0
./DMAcc/x6g1q14r75/AppAuth/server/AAuthLevel,AAuthLevel,Get=*&Replace=*,2,chr,text/plain,6,SRVCRED,0
./DMAcc/x6g1q14r75/AppAuth/server/AAuthType,AAuthType,Get=*&Replace=*,2,chr,text/plain,6,syncml:auth-md5,0
./DMAcc/x6g1q14r75/AppAuth/server/AAuthName,AAuthName,Get=*&Replace=*,2,chr,text/plain,6,b'u\xa9\t\xdb\x80\xc5\x8dhx\xff\xbft\x1eQ\xf8\x91',0
./DMAcc/x6g1q14r75/AppAuth/server/AAuthSecret,AAuthSecret,Add=*,2,chr,text/plain,6,"b'<2""U\xa3\xcc\xa5\xe5 ):\xaf\xd3\x1a\xc2/\xbb\x90a\xa6\x12m\x92\xc2\x825\xbf\xa8\x93\xad9L'",0
./DMAcc/x6g1q14r75/AppAuth/server/AAuthData,AAuthData,Add=*,2,chr,text/plain,6,MjE0NjcxMDYyNVNTTmV4dE5vbmNl,0
./DMAcc/x6g1q14r75/AppAuth/client,client,Get=*&Replace=*,1,node,,5,,0
./DMAcc/x6g1q14r75/AppAuth/client/AAuthLevel,AAuthLevel,Get=*&Replace=*,2,chr,text/plain,6,CLCRED,0
./DMAcc/x6g1q14r75/AppAuth/client/AAuthType,AAuthType,Get=*&Replace=*,2,chr,text/plain,6,syncml:auth-md5,0
./DMAcc/x6g1q14r75/AppAuth/client/AAuthName,AAuthName,Get=*&Replace=*,2,chr,text/plain,6,b'\xc2&\xc0\xbd\x7f\xf6\xae\xda\x00\xd40J)?\xa3\x19\xcb:\x07CI/\xb3\xe5 \xce\xb6V\x9f\xbe\x860',0
./DMAcc/x6g1q14r75/AppAuth/client/AAuthSecret,AAuthSecret,Add=*,2,chr,text/plain,6,b'\xd2D\xfaTp2A\x1d50\xbb\x073^r\xc2\x0e\t\xfbP+T\x9e\xfcV\xd78\x13\xe1I;\xe5',0
./DMAcc/x6g1q14r75/AppAuth/client/AAuthData,AAuthData,Add=*,2,chr,text/plain,6,YzVpLSgsIk4tVndaUoBMZg==,0
./DMAcc/x6g1q14r75/Ext,Ext,Get=*&Replace=*,1,node,,4,,0
