RecordId,cname,concept_type,parent_concepts
152,viv.phoneApp.AcceptCallResult,structure,
153,viv.phoneApp.DraftMessageInfo,structure,viv.message.DraftMessageInfo
154,viv.phoneApp.CheckedEmergency,structure,
155,viv.phoneApp.SpeedDial,structure,
156,viv.phoneApp.SupportSettingResult,structure,
157,viv.phoneApp.MessageActionResult,structure,viv.message.ActionResult
158,viv.phoneApp.UnblockCallResult,structure,viv.phoneApp.ActionResult
159,viv.phoneApp.IsPhoneNumber,structure,
160,viv.phoneApp.ContactInfoWithSearchTerm,structure,
161,viv.phoneApp.SettingResult,structure,
162,viv.phoneApp.ChangedSpeedDial,structure,
163,viv.phoneApp.PunchOutCondition,structure,
164,viv.phoneApp.GetBlockedCallListResult,structure,viv.phoneApp.ActionResult
165,viv.phoneApp.NextPageCommand,structure,viv.core.NextPageCommand
166,viv.phoneApp.CurrentPageCommand,structure,viv.core.CurrentPageCommand
167,viv.phoneApp.PreviousPageCommand,structure,viv.core.PreviousPageCommand
168,viv.phoneApp.IsSameContactName,boolean,
169,viv.phoneApp.SelectionTerm,text,
170,viv.message.ResultDescription,text,
171,viv.message.IsRead,boolean,
172,viv.message.MessageStatus,enum,
173,viv.message.ContactNameQuery,enum,"viv.core.ContactFirstName,viv.core.ContactLastName,viv.core.ContactFullName,viv.core.ContactDisplayName,viv.core.ContactNickName"
174,viv.message.MessageText,text,
175,viv.message.MessageType,enum,
176,viv.message.MessageBoxType,enum,
177,viv.message.HasRunestoneResult,integer,
178,viv.message.ContactNumberMatch,boolean,
179,viv.message.SearchTerm,text,
180,viv.message.HasAttachment,boolean,
181,viv.message.ConversationId,integer,
182,viv.message.MessageId,integer,
183,viv.message.Result,enum,
184,viv.message.TextConvertingMode,enum,
185,viv.message.AttachmentURI,text,
186,viv.message.IndexToEdit,integer,
187,viv.message.Goal,text,
188,viv.message.SendConfirmationType,boolean,viv.core.Confirmation
189,viv.message.SimCard,enum,
190,viv.message.ContactNameSearch,text,
191,viv.message.DividedSearchTerm,structure,
192,viv.message.PhoneType,enum,viv.contact.PhoneType
193,viv.message.TimeStampInfo,structure,viv.time.DateTime
194,viv.message.ActionResult,structure,
195,viv.message.AttachmentInfo,structure,
196,viv.message.MessageInfo,structure,
197,viv.message.RecipientInfo,structure,viv.contact.ContactInfo
198,viv.message.DraftMessageInfo,structure,
199,viv.deviceMaintenanceApp.CountryCheckStatus,boolean,
200,viv.deviceMaintenanceApp.PowerSavingStatus,structure,
201,viv.deviceMaintenanceApp.AppLaunchResult,structure,
202,viv.deviceMaintenanceApp.SuccessStatus,boolean,
203,viv.deviceMaintenanceApp.NoActionResult,text,
204,viv.deviceMaintenanceApp.Uri,text,
205,viv.deviceMaintenanceApp.DeviceModelName,name,
206,viv.deviceMaintenanceApp.PerformanceModeStatus,structure,
207,viv.deviceMaintenanceApp.Status,text,
208,viv.deviceMaintenanceApp.Item,enum,
209,viv.deviceMaintenanceApp.ItemStatus,structure,
210,viv.deviceMaintenanceApp.PSMType,enum,
211,viv.deviceMaintenanceApp.PerformanceMode,enum,
212,bixby.settingsApp.ScreenZoomType,enum,
213,bixby.settingsApp.RingerModeResult,structure,
214,bixby.settingsApp.RingerModeName,enum,
215,bixby.settingsApp.NoActionInput,text,
216,bixby.settingsApp.ResultDescription,text,
217,bixby.settingsApp.SettingName,enum,
218,bixby.settingsApp.HowToUseResult,text,
219,bixby.settingsApp.TextMenuName,enum,
220,bixby.settingsApp.ChangeSetting,structure,
221,bixby.settingsApp.BoolResult,structure,
222,bixby.settingsApp.SetResult,structure,
223,bixby.settingsApp.SettingsActionResult,structure,
224,bixby.settingsApp.ResultStatus,boolean,
225,bixby.settingsApp.IntValue,integer,
226,bixby.settingsApp.ResultState,boolean,
227,bixby.settingsApp.NoActionResult,text,
228,bixby.settingsApp.Uri,text,
229,bixby.settingsApp.IntegerVal,integer,
230,bixby.settingsApp.PackageName,text,
231,bixby.settingsApp.TextString,text,
232,bixby.settingsApp.SetTurnResultCode,text,
233,bixby.settingsApp.GetMobileDataStatus,structure,
234,bixby.settingsApp.SettingsName,enum,
235,bixby.settingsApp.AppResultCode,text,
236,bixby.settingsApp.Result_Value,structure,
237,bixby.settingsApp.Status,boolean,
238,bixby.settingsApp.AppResult,structure,
239,bixby.settingsApp.SettingOnOff,structure,
240,bixby.settingsApp.SettingResult,structure,
241,bixby.settingsApp.JumpSettingApp,structure,
242,bixby.settingsApp.GetStatus,structure,
243,bixby.settingsApp.JumpSettingAppName,enum,
244,bixby.settingsApp.SecTimeoutValue,integer,
245,bixby.settingsApp.CandidateUnit,enum,
246,bixby.settingsApp.ScreenTimeoutMinMax,enum,
247,bixby.settingsApp.ScreenTimeoutUnit,enum,
248,bixby.settingsApp.SecondTimeout,integer,
249,bixby.settingsApp.ScreenTimeOutResult,structure,
250,bixby.settingsApp.SecTimeoutCandiates,structure,
251,bixby.settingsApp.NumericValue,integer,
252,bixby.settingsApp.NumericResult,structure,
253,bixby.settingsApp.NumericSettingResult,structure,
254,bixby.settingsApp.NumericDirection,enum,
255,bixby.settingsApp.FontType,enum,
256,bixby.settingsApp.TurnSettingType,enum,
257,bixby.settingsApp.NumericSetting,structure,
258,bixby.settingsApp.NumericSettingType,structure,
259,bixby.settingsApp.WhiteBalanceType,enum,
260,bixby.settingsApp.UserManualText,text,
261,bixby.settingsApp.ScreenResolutionName,enum,
262,bixby.settingsApp.ScreenResolutionResult,structure,
263,bixby.settingsApp.MuteDurationHourUnit,enum,
264,bixby.settingsApp.MuteDurationResult,structure,
265,bixby.settingsApp.MuteDurationMinuteUnit,enum,
266,bixby.settingsApp.HourMuteDuration,integer,
267,bixby.settingsApp.MinuteMuteDuration,integer,
268,viv.contact.NickName,text,
269,viv.contact.StructuredName,text,
270,viv.contact.Os,text,
271,viv.contact.ResultDescription,text,
272,viv.contact.Runestone,boolean,
273,viv.contact.JobTitle,name,
274,viv.contact.EmailAddress,name,
275,viv.contact.PhoneNumber,text,
276,viv.contact.ConnectedDeviceOs,text,
277,viv.contact.SaveConfirmationType,boolean,viv.core.Confirmation
278,viv.contact.SearchType,enum,
279,viv.contact.CallEnabled,text,
280,viv.contact.FirstName,text,
281,viv.contact.SpeedDialNumber,integer,
282,viv.contact.Company,name,
283,viv.contact.NameSuffix,text,
284,viv.contact.ContactType,enum,
285,viv.contact.OsVersion,text,
286,viv.contact.ModemType,text,
287,viv.contact.SpeakerEnabled,text,
288,viv.contact.GroupName,name,
289,viv.contact.PhoneType,enum,
290,viv.contact.FilterTerm,text,
291,viv.contact.Device,text,
292,viv.contact.NamePrefix,text,
293,viv.contact.Gender,name,
294,viv.contact.MyRelationshipType,enum,
295,viv.contact.SpeechEmailAddress,text,
296,viv.contact.AddressType,enum,
297,viv.contact.IsFavorite,boolean,
298,viv.contact.MiddleName,text,
299,viv.contact.Ordinal,enum,
300,viv.contact.DuplicatedOnList,boolean,
301,viv.contact.ExportType,text,
302,viv.contact.LastName,text,
303,viv.contact.SearchMyProfileOption,enum,
304,viv.contact.SearchTerm,text,
305,viv.contact.ConnectedDeviceManufacturer,text,
306,viv.contact.Department,name,
307,viv.contact.RelationshipName,text,
308,viv.contact.AddressLabel,name,
309,viv.contact.Result,enum,
310,viv.contact.AddressId,text,
311,viv.contact.CustomName,name,
312,viv.contact.SpeechPhoneNumber,text,
313,viv.contact.DeviceModel,text,
314,viv.contact.RelationshipType,enum,
315,viv.contact.ContactId,integer,
316,viv.contact.EmailType,enum,
317,viv.contact.ConnectedDeviceOsVersion,text,
318,viv.contact.InitialOfName,name,
319,viv.contact.IsOrigin,boolean,
320,viv.contact.IsMeKeyword,boolean,
321,viv.contact.IsExist,boolean,
322,viv.contact.ContactInfo,structure,
323,viv.contact.BirthdayInfo,structure,viv.time.Date
324,viv.contact.RelationshipInfoDetails,structure,viv.contact.ContactInfo
325,viv.contact.AddressInfo,structure,
326,viv.contact.DraftContactInfo,structure,viv.contact.ContactInfo
327,viv.contact.EmailInfo,structure,
328,viv.contact.PhoneInfo,structure,
329,viv.contact.WorkInfo,structure,
330,viv.contact.ActionResult,structure,
331,viv.contact.MyProfileInfo,structure,viv.contact.ContactInfo
332,viv.contact.PhotoInfo,structure,viv.core.BaseImage
333,viv.contact.RelationshipInfo,structure,
334,viv.contact.DeviceContext,structure,
335,viv.contact.NameInfo,structure,
336,viv.contact.Address,structure,viv.contact.UnresolvedAddress
337,viv.contact.UnresolvedAddress,structure,viv.geo.UnresolvedAddress
338,viv.systemApp.IsBixbyCapsuleViewShown,boolean,
339,viv.systemApp.ResultDescription,text,
340,viv.systemApp.ActionResult,structure,
341,viv.systemApp.Uri,text,
342,viv.systemApp.Result,text,
343,viv.systemApp.NoActionResult,text,
344,viv.systemApp.FlashlightName,enum,
345,viv.systemApp.SetFlashlightResultCode,enum,
346,viv.systemApp.SetFlashlightResult,structure,
347,viv.systemApp.RebootConfirmation,boolean,viv.core.Confirmation
