_id,media_id,sec_media_id,uri,_data,share_count,isUsedAsWallpaper,_size,format,date_added,date_modified,mime_type,title,description,_display_name,orientation,latitude,longitude,datetaken,mini_thumb_magic,bucket_id,bucket_display_name,isprivate,media_type,storage_id,is_drm,width,height,is_favorite,spherical_mosaic,addr,sef_file_type,device_id,duplicate_id,image_clusterid,image_quality,image_screener,storage_type,deleted,resolution,tags,category,language,resumePos,isPlayed,is_360_video,duration,bookmark,artist,album,recordingtype,recording_mode,serviceflag,reusable,face_count,scan_pri,group_id,just_shot,best_image,group_index,is_duplicate,video_codec_info,audio_codec_info,picasa_id,type3dvideo,video_view_mode,smartcrop_rect,smartcrop_rect_ratio,sef_file_sub_type,sef_file_types,image_url,vendor,cloud_id,is_cloud,cloud_thumb_path,cloud_server_id,cloud_revision,file_status,cloud_server_path,cloud_cached_path,cloudCachePath,original_size,original_filepath,original_fileid,article_id,item_owner_name,item_owner_number,item_public_url,is_hdr10_video,is_hide,face_retry_count,ip_retry_count,cloud_original_size,gis_rect,is_mount,burst_group_id,timestamp,group_type,color_detected,action_detected,revital_image_tag,dynamic_view_info,video_service_flag,cmh_timestamp,revitalized_type,revitalized_time,revitalized_path
24,51,2147483672,content://secmedia/media/2147483672,/storage/emulated/0/DCIM/Camera/20210519_205217.jpg,0,0,6286243,14336,1621471937,1621471937,image/jpeg,20210519_205217,,20210519_205217.jpg,90.0,37.22382736206055,-80.41773223876953,1621471937153,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,21.0,1.0,"blur=0.000352,brightnessMean=0.682690,contrast=0.777344,featureNumber=0.813381,featurePointDistribution=0.640585,motionBlur=0.128142,outFocusBackground=0.978718,overExposure=0.006190,skylineIncline=0.116761,underExposure=0.000561,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483672,1,,,0,,,,,,"285,1295,2015,1770,110,0,2015,1905,285,0,2825,1905,285,0,1715,1905,285,0,3670,1905,285,0,1355,1905","0.0707196,0.67979,0.5,0.92913383,0.027295286,0.0,0.5,1.0,0.0707196,0.0,0.7009926,1.0,0.0707196,0.0,0.4255583,1.0,0.0707196,0.0,0.91067,1.0,0.0707196,0.0,0.33622828,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473179395,,light_gray,,0,,0,,,,
26,53,2147483674,content://secmedia/media/2147483674,/storage/emulated/0/DCIM/Camera/20210519_205250.jpg,0,0,6786196,14336,1621471970,1621471970,image/jpeg,20210519_205250,,20210519_205250.jpg,90.0,37.2239875793457,-80.41763305664062,1621471970791,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,20.0,1.0,"blur=0.014798,brightnessMean=0.541643,contrast=0.875000,featureNumber=0.855281,featurePointDistribution=0.696874,motionBlur=0.576958,outFocusBackground=0.970146,overExposure=0.005355,skylineIncline=0.373436,underExposure=0.010517,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483674,1,,,0,,,,,,"430,480,3740,1705,430,0,2335,1905,430,0,2970,1905,465,0,1895,1905,355,0,3740,1905,610,0,1680,1905","0.10669975,0.2519685,0.9280397,0.8950131,0.10669975,0.0,0.5794045,1.0,0.10669975,0.0,0.7369727,1.0,0.115384616,0.0,0.47022334,1.0,0.08808933,0.0,0.9280397,1.0,0.15136476,0.0,0.41687346,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473187953,,,,0,,0,,,,
27,54,2147483675,content://secmedia/media/2147483675,/storage/emulated/0/DCIM/Camera/20210519_205305.jpg,0,0,4431972,14336,1621471985,1621471985,image/jpeg,20210519_205305,,20210519_205305.jpg,90.0,37.2239875793457,-80.41763305664062,1621471985025,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,19.0,1.0,"blur=0.023843,brightnessMean=0.441741,contrast=0.816406,featureNumber=0.588811,featurePointDistribution=0.934498,motionBlur=0.392007,outFocusBackground=0.968420,overExposure=0.001289,skylineIncline=0.858281,underExposure=0.003005,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483675,1,,,0,,,,,,"1150,5,4025,1705,1150,0,3055,1905,1150,0,3690,1905,1150,0,2580,1905,645,0,4030,1905,1150,0,2220,1905","0.2853598,0.002624672,0.9987593,0.8950131,0.2853598,0.0,0.7580645,1.0,0.2853598,0.0,0.9156327,1.0,0.2853598,0.0,0.6401985,1.0,0.16004963,0.0,1.0,1.0,0.2853598,0.0,0.5508685,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473187939,,forest_green,,0,,0,,,,
28,55,2147483676,content://secmedia/media/2147483676,/storage/emulated/0/DCIM/Camera/20210519_205310.jpg,0,0,3971142,14336,1621471990,1621471990,image/jpeg,20210519_205310,,20210519_205310.jpg,90.0,37.2239875793457,-80.41763305664062,1621471990561,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,18.0,1.0,"blur=0.486500,brightnessMean=0.504321,contrast=0.820313,featureNumber=0.421454,featurePointDistribution=0.461616,motionBlur=0.799280,outFocusBackground=0.691546,overExposure=0.002557,skylineIncline=0.278958,underExposure=0.000995,totalQuality=0.950205",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483676,1,,,0,,,,,,"715,955,3450,1705,715,0,2620,1905,715,0,3255,1905,715,0,2145,1905,350,0,3735,1905,770,0,1840,1905","0.17741935,0.5013123,0.8560794,0.8950131,0.17741935,0.0,0.6501241,1.0,0.17741935,0.0,0.8076923,1.0,0.17741935,0.0,0.5322581,1.0,0.08684864,0.0,0.926799,1.0,0.191067,0.0,0.4565757,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473187924,,forest_green,,0,,0,,,,
29,59,2147483677,content://secmedia/media/2147483677,/storage/emulated/0/DCIM/Camera/20210606_175209.jpg,0,0,1904139,14336,1623016330,1623016330,image/jpeg,20210606_175209,,20210606_175209.jpg,90.0,33.747825622558594,-78.80804443359375,1623016329000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|South Carolina|Horry County|Myrtle Beach|null|null|Costa Verde Drive|null|null|8400 Costa Verde Dr, Myrtle Beach, SC 29572, USA",,1,,29.0,1.0,"blur=0.109099,brightnessMean=0.681451,contrast=0.722656,featureNumber=0.571063,featurePointDistribution=0.862069,motionBlur=0.344321,outFocusBackground=0.914866,overExposure=0.012600,skylineIncline=0.022282,underExposure=0.001242,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483677,1,1.0,,0,,,,,,"1005,345,2445,1430,540,0,2445,1905,950,0,3490,1905,1005,0,2435,1905,570,0,3955,1905,1150,0,2220,1905","0.24937965,0.18110237,0.60669976,0.7506562,0.13399504,0.0,0.60669976,1.0,0.235732,0.0,0.86600494,1.0,0.24937965,0.0,0.60421836,1.0,0.1414392,0.0,0.9813896,1.0,0.2853598,0.0,0.5508685,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,-1623016842617,1623016837924,2.0,cyan,,0,,0,,,,
30,60,2147483678,content://secmedia/media/2147483678,/storage/emulated/0/DCIM/Camera/20210606_175210.jpg,0,0,1896478,14336,1623016331,1623016331,image/jpeg,20210606_175210,,20210606_175210.jpg,90.0,33.747825622558594,-78.80804443359375,1623016331000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|South Carolina|Horry County|Myrtle Beach|null|null|Costa Verde Drive|null|null|8400 Costa Verde Dr, Myrtle Beach, SC 29572, USA",,1,,29.0,1.0,"blur=0.172362,brightnessMean=0.684902,contrast=0.734375,featureNumber=0.572068,featurePointDistribution=0.888883,motionBlur=0.369783,outFocusBackground=0.925374,overExposure=0.034723,skylineIncline=0.011577,underExposure=0.001162,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483678,1,0.0,,0,,,,,,"1005,345,2445,1430,540,0,2445,1905,950,0,3490,1905,1005,0,2435,1905,570,0,3955,1905,1150,0,2220,1905","0.24937965,0.18110237,0.60669976,0.7506562,0.13399504,0.0,0.60669976,1.0,0.235732,0.0,0.86600494,1.0,0.24937965,0.0,0.60421836,1.0,0.1414392,0.0,0.9813896,1.0,0.2853598,0.0,0.5508685,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,-1623016842617,1623016837891,2.0,cyan,,0,,0,,,,
31,61,2147483679,content://secmedia/media/2147483679,/storage/emulated/0/DCIM/Camera/20210606_175236.jpg,0,0,1889056,14336,1623016357,1623016357,image/jpeg,20210606_175236,,20210606_175236.jpg,90.0,33.74782180786133,-78.80809020996094,1623016356000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|South Carolina|Horry County|Myrtle Beach|null|null|Costa Verde Drive|null|null|8400 Costa Verde Dr, Myrtle Beach, SC 29572, USA",,1,,28.0,1.0,"blur=0.103033,brightnessMean=0.598879,contrast=0.730469,featureNumber=0.514736,featurePointDistribution=0.575954,motionBlur=0.593495,outFocusBackground=0.849595,overExposure=0.036793,skylineIncline=0.056140,underExposure=0.000568,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483679,1,,,0,,,,,,"2300,345,3020,1430,1900,0,3805,1905,1265,0,3805,1905,1725,0,3155,1905,40,0,3425,1905,1870,0,2940,1905","0.5707196,0.18110237,0.74937963,0.7506562,0.471464,0.0,0.94416875,1.0,0.3138958,0.0,0.94416875,1.0,0.4280397,0.0,0.7828784,1.0,0.009925558,0.0,0.8498759,1.0,0.46401986,0.0,0.72952855,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1623016837853,,,,0,,0,,,,
32,62,2147483680,content://secmedia/media/2147483680,/storage/emulated/0/DCIM/Camera/20210606_175238.jpg,0,0,1985550,14336,1623016359,1623016359,image/jpeg,20210606_175238,,20210606_175238.jpg,90.0,33.74782180786133,-78.80809020996094,1623016358000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|South Carolina|Horry County|Myrtle Beach|null|null|Costa Verde Drive|null|null|8400 Costa Verde Dr, Myrtle Beach, SC 29572, USA",,1,,27.0,1.0,"blur=0.132904,brightnessMean=0.526061,contrast=0.800781,featureNumber=0.510279,featurePointDistribution=0.624847,motionBlur=0.737801,outFocusBackground=0.873941,overExposure=0.008674,skylineIncline=0.858281,underExposure=0.006170,totalQuality=0.999999",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483680,1,,,0,,,,,,"1295,480,2445,1430,1205,0,3110,1905,1235,0,3775,1905,1015,0,2445,1905,0,0,3385,1905,1295,0,2365,1905","0.32133996,0.2519685,0.60669976,0.7506562,0.29900745,0.0,0.7717122,1.0,0.30645162,0.0,0.93672454,1.0,0.25186104,0.0,0.60669976,1.0,0.0,0.0,0.8399504,1.0,0.32133996,0.0,0.5868486,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1623016837845,,dark_brown,,0,,0,,,,
33,63,2147483681,content://secmedia/media/2147483681,/storage/emulated/0/DCIM/Camera/20210606_175241.jpg,0,0,2393254,14336,1623016362,1623016362,image/jpeg,20210606_175241,,20210606_175241.jpg,90.0,33.74782180786133,-78.80809020996094,1623016361000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|South Carolina|Horry County|Myrtle Beach|null|null|Costa Verde Drive|null|null|8400 Costa Verde Dr, Myrtle Beach, SC 29572, USA",,1,,26.0,1.0,"blur=0.143742,brightnessMean=0.547721,contrast=0.667969,featureNumber=0.539474,featurePointDistribution=0.563789,motionBlur=0.566966,outFocusBackground=0.897848,overExposure=0.000194,skylineIncline=0.106056,underExposure=0.002063,totalQuality=0.999996",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483681,1,,,0,,,,,,"0,545,2445,1635,0,0,1905,1905,0,0,2540,1905,0,0,1430,1905,0,0,3385,1905,0,0,1070,1905","0.0,0.28608924,0.60669976,0.8582677,0.0,0.0,0.4727047,1.0,0.0,0.0,0.6302729,1.0,0.0,0.0,0.3548387,1.0,0.0,0.0,0.8399504,1.0,0.0,0.0,0.26550868,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1623016837837,,light_beige,,0,,0,,,,
35,65,2147483683,content://secmedia/media/2147483683,/storage/emulated/0/DCIM/Camera/20210606_183933.jpg,0,0,5316471,14336,1623019173,1623019173,image/jpeg,20210606_183933,,20210606_183933.jpg,90.0,,,1623019173498,,-1739773001,Camera,,1,65537,0,4032,1908,0,,,,1,,30.0,1.0,"blur=0.052997,brightnessMean=0.561951,contrast=0.738281,featureNumber=0.767147,featurePointDistribution=0.737704,motionBlur=0.638182,outFocusBackground=0.946805,overExposure=0.003592,skylineIncline=0.000000,underExposure=0.000300,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483683,1,,,0,,,,,,"2590,275,4025,1770,2125,0,4030,1905,1490,0,4030,1905,2590,0,4020,1905,645,0,4030,1905,2875,0,3945,1905","0.6426799,0.14435695,0.9987593,0.92913383,0.5272953,0.0,1.0,1.0,0.36972705,0.0,1.0,1.0,0.6426799,0.0,0.9975186,1.0,0.16004963,0.0,1.0,1.0,0.7133995,0.0,0.9789082,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1623027002967,,light_beigedark_brown,,0,,0,,,,
