_id,tag,package,class,component_type,category,support_state,label_resource_id,enabled_label_resource_id,negative_enabled_label_resource_id,support_negative,icon_resource_id,desc_resource_id,config_activity_class,default_intent_param,default_label_param,condition_extra,uri,collect_param,attributes
19,fold_state,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131821046,2131821045,-1,0,2131231257,2131821044,com.samsung.android.app.routines/.preloadproviders.system.conditions.fold.SepPreloadFlexModeSettingActivity,,,,,,
20,nfc_tagged,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131821304,2131821303,-1,0,2131231221,2131821303,com.samsung.android.app.routines/.preloadproviders.system.conditions.nfc.SepPreloadSpecificNfcSettingActivity,,,,,,moment_trigger
21,launch_app,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131821148,2131821147,-1,0,2131230869,2131821146,com.samsung.android.app.routines/.preloadproviders.apps.conditions.openapp.SepPreloadLaunchAppSettingActivity,,,,,,
22,launch_game,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131821152,2131821151,-1,0,2131231258,2131821150,,,,,,,
23,calling,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131820786,-1,-1,0,2131231255,2131820784,com.samsung.android.app.routines/.preloadproviders.system.conditions.call.SepPreloadReceiveCallSettingActivity,,,,,,moment_trigger
24,ringer_mode,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131821660,2131822582,-1,0,2131231232,2131821659,com.samsung.android.app.routines/.preloadproviders.system.conditions.ringmode.SepPreloadConfigurationRingerModeActivity,,,,,,
25,manual_execute,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,manual_execution,1,2131821198,2131821197,-1,0,2131231226,2131821197,,,,,,,display_description
26,message_from_someone,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131821517,-1,-1,0,2131230968,2131821517,com.samsung.android.app.routines/.preloadproviders.system.conditions.message.SepPreloadMessageFromSomeoneSettingActivity,,,,,,moment_trigger
27,message_include_keyword,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131821518,-1,-1,0,2131230969,2131821518,com.samsung.android.app.routines/.preloadproviders.system.conditions.message.keyword.SepPreloadMessageIncludingKeywordSettingActivity,,,,,,moment_trigger
28,night_mode,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131821316,2131821348,2131821345,1,2131230899,2131821316,,,,,,,
29,samsung_health_during_exercise,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_event,1,2131820972,-1,-1,0,2131231268,2131820973,com.samsung.android.app.routines/.preloadproviders.samsunghealth.conditions.exercise.SamsungHealthEnterActivity,,,,,,
