policyname,packagename,mode
GLWL,com.antivirus.tablet,1
GLWL,com.trivago,1
GLWL,info.kfsoft.calendar,1
GLWL,cz.zdenekhorak.mibandtools,1
GLWL,com.nestia.living,1
GLWL,com.dictionary,1
GLWL,com.groupon.tigers,1
GLWL,nz.org.geonet.quake,1
GLWL,com.nzherald.activities,1
GLWL,com.google.android.apps.authenticator2,1
GLWL,com.pixatel.apps.notepad,1
GLWL,com.accuweather.android,1
GLWL,com.cloud3squared.meteogram.pro,1
GLWL,com.chaozh.iReader,1
GLWL,com.mwiz.pingmusic,1
GLWL,com.nhn.android.nmap,1
GLWL,com.albamon.app,1
GLWL,com.nhn.android.webtoon,1
GLWL,kr.goodchoice.abouthere,1
GLWL,com.buzzni.android.subapp.shoppingmoa,1
GLWL,com.kakao.music,1
GLWL,kr.co.nowcom.mobile.afreeca,1
GLWL,net.daum.android.cafe,1
GLWL,com.dencreak.dlcalculator,1
GLWL,com.lotte.lottedutyfree,1
GLWL,com.interpark.app.stay,1
GLWL,com.nhn.android.naverdic,1
GLWL,com.ebay.kleinanzeigen,1
GLWL,com.starfinanz.smob.android.sfinanzstatus,1
GLWL,com.bonial.kaufda,1
GLWL,de.is24.android,1
GLWL,de.samsung.MeinGalaxy,1
GLWL,de.flixbus.app,1
GLWL,de.zalando.mobile,1
GLWL,de.sec.mobile,1
GLWL,de.pixelhouse,1
GLWL,vsin.t16_funny_photo,1
GLWL,de.rtli.tvnow,1
GLWL,com.crema.instant,1
GLWL,de.sky.bw,1
GLWL,com.wetter.androidclient,1
GLWL,de.mobilesoftwareag.clevertanken,1
GLWL,de.prosiebensat1digital.prosieben,1
GLWL,de.radio.android,1
GLWL,com.jaumo,1
GLWL,de.lineas.lit.ntv.android,1
GLWL,canvasm.myo2,1
GLWL,de.braverstudent.nichtlachen,1
GLWL,de.blitzer,1
GLWL,de.telekom.mail,1
GLWL,de.kleiderkreisel,1
GLWL,de.dhl.paket,1
GLWL,de.cellular.ottohybrid,1
GLWL,com.runtastic.android,1
GLWL,com.avast.android.mobilesecurity,1
GLWL,de.myhermes.app,1
GLWL,de.materna.bbk.mobile.app,1
