_id,key,type,booleanValue,intValue,longValue,floatValue,doubleValue,stringValue,needSync,version
211,SNAPADS~USER_STORY_AB_MIN_STORIES_FROM_SESSION_START,2,,1.0,,,,,,
213,STORIES~SHOW_VIEWERS_LIST_ON_SNAP_STAT_TAP,2,0.0,,,,,,,
220,AB_PLATFORM~PU_DF_USE_BOLT_FOR_PUBLIC_USER_STORY_ANDROID,2,,,,,,159,,
222,SAVED_SNAPS~PROMPT_SIMPLIFIED,2,0.0,,,,,,,
223,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_DURATION_FROM_SESSION_START_SECONDS,2,,0.0,,,,,,
224,CONTEXT_CARDS~COMBINED_CONTEXT_CARDS_ACTION_MENU_ENABLED,2,0.0,,,,,,,
227,NETWORK~NATIVE_RANKER_PRIORITY_FIRST_RANKING,2,1.0,,,,,,,
228,SNAPADS~ENABLE_RECOGNITION_THRESHOLD,2,1.0,,,,,,,
229,SNAPADS~SPOTLIGHT_CTA_ANIMATION_DURATION_MILLIS,2,,,3600000.0,,,,,
230,LENSES~LENSCORE_AND_ANDROID_THREAD_PRIORITIES.groupId,2,,,,,,1,,
237,LENSES~LENSCORE_AND_ANDROID_THREAD_PRIORITIES.cronet,2,,,,,,2,,
238,MEDIA_ENGINE~SHOULD_REUSE_FINGER_DOWN_CAPTURE_IMAGE_WHEN_RECORDING_TOO_SHORT,2,1.0,,,,,,,
239,SNAPADS~SNAP_ADS_RETRO_MAX_NETWORK_RETRIES_PERSISTENCE,2,,2.0,,,,,,
240,SNAPADS~USER_STORY_AB_MIN_STORIES_BEFORE_SESSION_END,2,,0.0,,,,,,
241,SNAPADS~SNAP_ADS_RETRO_INITIAL_RETRY_DELAY_MILLIS,2,,,30000.0,,,,,
244,BLOOPS~PROFILE_SELFIE_POLICY_CARD_ANDROID,2,1.0,,,,,,,
245,AB_PLATFORM~BLOOPS_INDIVIDUAL_IN_CHAT_ANDROID,2,,,,,,28,,
246,NETWORK~NATIVE_RANKER_MAX_NON_LENS_PREFETCH_BELOW_400KBPS,2,,0.0,,,,,,
250,LENSES~LENSCORE_ARCORE_DEPTH_MODE.use_people_mode,2,,,,,,false,,
254,STORIES~IS_MY_PROFILE_SPOTLIGHT_VIEW_COUNT_UPDATE_ENABLED,2,1.0,,,,,,,
261,BLOOPS~BLOOPS_TILE_IN_DISCOVER_ENABLED,2,1.0,,,,,,,
262,LENSES~SUGGESTED_LENSES_IN_CHAT_MIN_SYMBOL_COUNT,2,,3.0,,,,,,
263,SNAPADS~ENABLED_PETRA_PROGRESSIVE_STREAMING,2,1.0,,,,,,,
266,SAVED_SNAPS~PROFILE,2,1.0,,,,,,,
267,BLIZZARD~DURABLE_JOB_RETRY_DELAY_SECONDS,2,,,1.0,,,,,
268,NETWORK~METADATA_CONCURRENCY_CONTROL_ENABLED,2,0.0,,,,,,,
271,SNAPADS~ENABLED_PETRA_TOP_SNAP_MEDIA_TYPE,2,,,,,,"IMAGE,VIDEO",,
273,SNAPADS~ENABLE_PETRA_PUBLISHER_GDA,2,1.0,,,,,,,
276,AB_PLATFORM~ARROYO_1ON1_ANDROID,2,,,,,,252,,
282,MEDIA_ENGINE~SHOULD_EARLY_START_IMAGE_PREVIEW_BIT_FLAG,2,,0.0,,,,,,
290,AB_PLATFORM~SHARING_CAMEOS_IS_DISCOVER_OPERA_ANDROID,2,,,,,,27,,
292,LENSES~LENSCORE_TEXTURE_ANDROID_EXPS_08_07_20.runTests,2,,,,,,false,,
293,AB_PLATFORM~MUSHROOM_RECOGNITION_THRESHOLD,2,,,,,,177,,
294,AB_PLATFORM~DUM_AB_VARIABLE,2,,0.0,,,,,,
300,COGNAC~ENABLE_CROSS_EXIT_BUTTON_ON_ACTION_BAR,2,1.0,,,,,,,
302,LENSES~LENSCORE_PRECISE_TRACKING_ON_PHOTO.enabled,2,,,,,,false,,
308,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_STORIES_BEFORE_END,2,,1.0,,,,,,
310,DISCOVER_FEED~BACKGROUND_PREFETCH_NUM_FRIEND_STORY,2,,30.0,,,,,,
311,CONTEXT_CARDS~ENABLE_TAP_AND_HOLD_SWIPE_UP_VIEW,2,1.0,,,,,,,
314,CONTEXT_CARDS~TAP_AND_HOLD_ENABLED,2,1.0,,,,,,,
315,ARROYO~ENABLE_FEED_STUCK_SNAP_CLEANER,2,1.0,,,,,,,
317,SAVED_SNAPS~REPLY_PROMPT_SHOW_CONTINUE,2,0.0,,,,,,,
318,AB_PLATFORM~PLATFORM_MEMORY_PER_PAGE_LOGGING,2,,,,,,7,,
320,DISCOVER_FEED~BACKGROUND_PREFETCH_FRIEND_STORY_INDIVIDUAL_WAKE_UPS,2,0.0,,,,,,,
321,SNAPADS~ENABLED_PETRA_OUR_STORIES,2,1.0,,,,,,,
324,SNAPADS~ENABLED_PETRA_ENGAGED_VIEW_TRACK,2,1.0,,,,,,,
328,SNAPADS~USER_STORY_AB_MIN_DURATION_BETWEEN_ADS_SECONDS,2,,5.0,,,,,,
329,SAVED_SNAPS~CHAT_TOOLTIP_NEEDED_IMPRESSIONS,2,,,3.0,,,,,
331,NETWORK~METADATA_CONCURRENCY_CONTROL_CONFIG,2,,,,,,CB4QAhodEhlodHRwczovL3NjLXByb2QtbWVtb3JpZXMtIB0=,,
333,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_SNAPS_BETWEEN_ADS,2,,3.0,,,,,,
334,PREMIUM~ENABLE_HAPPENING_NOW_WITH_BITMOJI_WEATHER,2,1.0,,,,,,,
336,BLOOPS~INDIVIDUAL_BLOOPS_IN_RECENTS_IN_CHAT_ENABLED,2,1.0,,,,,,,
337,DISCOVER_FEED~DF_PURGE_CACHED_SPOTLIGHT_EXPLORATION_STORIES,2,1.0,,,,,,,
341,DISCOVER_FEED~BG_PREFETCH_DISCOVER_NON_FRIEND_5TH_TAB_METADATA,2,1.0,,,,,,,
345,SAVED_SNAPS~POST_VIEW,2,0.0,,,,,,,
350,BLOOPS~INDIVIDUAL_BLOOPS_IN_SEARCH_IN_CHAT_ENABLED,2,1.0,,,,,,,
354,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_STORIES_BETWEEN_ADS,2,,10.0,,,,,,
357,PREMIUM~ENABLE_HAPPENING_NOW_SECTION_AUTO_ADVANCE,2,1.0,,,,,,,
358,CRASH~SNAP_AIR_NON_FATAL_ENABLED,2,0.0,,,,,,,
359,AB_PLATFORM~Unlockables_Network_Request_Mushroom,2,,,,,,0,,
361,NETWORK~CONNECTIVITY_SOURCE_USE_GRPC_SIGNAL,2,0.0,,,,,,,
365,DISCOVER_FEED~BACKGROUND_PREFETCH_FRIEND_STORY_TIMEOUT_MINS,2,,,10.0,,,,,
366,BLIZZARD~ON_BACKGROUNDING_DELAY_SECONDS,2,,,15.0,,,,,
367,NETWORK~NATIVE_RANKER_MAX_NON_LENS_PREFETCH_800KPS_1600KBPS,2,,0.0,,,,,,
369,SNAPADS~VIEW_RECEIPT_ENABLED,2,1.0,,,,,,,
370,NOTIFICATIONS~STUDY_BITMOJI_SYSTEM_NOTIFICATIONS_BITMOJI_CREATE_TIMEOUT_MILLIS,2,,,2000.0,,,,,
379,PERCEPTION~QR_CODE_SCAN_ENABLED,2,1.0,,,,,,,
386,AB_PLATFORM~V2_ASSET_COMPRESSION_TYPE,2,,,,,,0,,
391,LENSES~LENSCORE_ARCORE_DEPTH_MODE.groupId,2,,,,,,2,,
398,SNAPADS~SNAP_ADS_RETRO_MAX_RETRO_RETRIES,2,,2.0,,,,,,
399,MESSAGING~SUGGESTED_LENSES_IN_CHAT_SINGLE_LENS_MODE_ENABLED,2,1.0,,,,,,,
400,SNAPADS~SNAP_ADS_RETRO_MAX_AGE_MILLIS,2,,,86400000.0,,,,,
401,BLIZZARD~V2_UPLOAD_IF_RECENT_NETWORK_CONNECTION,2,1.0,,,,,,,
402,SNAPADS~USER_STORY_AB_MIN_SNAPS_BETWEEN_ADS,2,,1.0,,,,,,
403,NETWORK~NATIVE_RANKER_MAX_LENS_DOWNLOAD_800KPS_1600KBPS,2,,1.0,,,,,,
407,PAYMENTS~COMMERCE_SHOWCASE_CATALOG_PDP_V2_ANDROID,2,1.0,,,,,,,
410,BLIZZARD~MAX_DURABLE_JOB_RETRIES,2,,0.0,,,,,,
411,MESSAGING~ENABLE_FOREGROUND_SERVICE_FOR_ALL_MESSAGES,2,1.0,,,,,,,
413,BLOOPS~BLOOPS_DISCOVER_CHANGE_SELFIE_UPDATE_ENABLED,2,1.0,,,,,,,
424,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_SNAPS_FROM_SESSION_START,2,,0.0,,,,,,
425,AB_PLATFORM~SNAPADS_MUSHROOM_SPOTLIGHT_ADS_CTA_ANIMATION,2,,,,,,3,,
430,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_SNAPS_BETWEEN_ADS,2,,0.0,,,,,,
431,MEDIA_ENGINE~IS_FINGER_DOWN_CAPTURE_ENABLED,2,0.0,,,,,,,
434,BLIZZARD~V2_FRAMES_PROTO_ALL_EVENTS,2,0.0,,,,,,,
435,BLIZZARD~V2_MAP_NETWORK_EVENTS_TO_LOWER_PRIORITY,2,0.0,,,,,,,
438,SNAPADS~ENABLE_SKIPPABLE_AD_IN_SHOWS_UNSKIPPABLE_SLOT,2,1.0,,,,,,,
440,SNAPADS~USER_STORY_AB_MIN_STORIES_BETWEEN_ADS,2,,1.0,,,,,,
442,SEARCHV2~SEARCH_HAPPENING_NOW_ANDROID,2,,,,,,AFTER_RECENTS,,
443,SNAPADS~SNAP_ADS_RETRO_ENABLE_PERSIST,2,1.0,,,,,,,
445,SNAPADS~IS_NOT_IN_STORY_ADS_HOLDOUT,2,1.0,,,,,,,
446,NETWORK~NATIVE_RANKER_MAX_NON_LENS_PREFETCH_UNKNOWN_BANDWIDTH,2,,0.0,,,,,,
449,NETWORK~NATIVE_RANKER_MAX_NON_LENS_PREFETCH_400KBPS_800KBPS,2,,0.0,,,,,,
453,AB_PLATFORM~SNAPADS_MUSHROOM_SHOWS_SKIPPABLE_AD,2,,,,,,42,,
454,BLIZZARD~V2_USE_EXPLICIT_ACTIVATION,2,1.0,,,,,,,
455,CORE~MEDIA_CONTEXT_TYPES_FOR_NATIVE_CONTENT_MANAGER,2,,,,,,"discover_feed_thumbnail,story_thumb,bitmoji",,
456,NETWORK~NATIVE_RANKER_BANDWIDTH_THROTTLING_ENABLED,2,1.0,,,,,,,
457,SAVED_SNAPS~PROMPT_SINGLE_IMPRESSION,2,1.0,,,,,,,
458,SNAPADS~DISABLE_ALL_ADS_IN_5TH_TAB,2,1.0,,,,,,,
460,BLIZZARD~DISABLE_BLIZZARD_TOKEN,2,0.0,,,,,,,
463,SAVED_SNAPS~PROMPT,2,1.0,,,,,,,
464,BLIZZARD~V2_FILE_BATCHING_GROUP_BY,2,,,,,,ENDPOINT,,
466,LENSES~LENSCORE_AND_ANDROID_THREAD_PRIORITIES.network,2,,,,,,2,,
472,NETWORK~INIT_NATIVE_CLIENT_ON_RANKER_INITIALIZATION,2,1.0,,,,,,,
474,AB_PLATFORM~BLOOPS_PUBLISHER_TEASER_BUTTON_ANDROID,2,,,,,,18,,
476,NETWORK~INIT_NETWORK_API_ON_RANKER_INITIALIZATION,2,1.0,,,,,,,
477,AB_PLATFORM~ADS_HOLDOUT_01,2,,,,,,34,,
484,NETWORK~NATIVE_RANKER_MAX_LENS_DOWNLOAD_400KBPS_800KBPS,2,,1.0,,,,,,
486,COMMUNITY~OPERA_SPOTLIGHT_UI_IN_TOPIC_PAGE,2,1.0,,,,,,,
488,SAVED_SNAPS~REPLY_PROMPT_HIDE_CANCEL,2,0.0,,,,,,,
492,BLIZZARD~V2_PERSIST_AFTER_DRAIN_MILLIS,2,,,2500.0,,,,,
493,BLIZZARD~ENABLE_GKE_ENDPOINT,2,1.0,,,,,,,
497,AB_PLATFORM~MDP_STICKERS_BOLT_ONBOARDING,2,,,,,,46,,
498,NETWORK~NATIVE_RANKER_MAX_NON_LENS_PREFETCH_1600KBPS_4MBPS,2,,0.0,,,,,,
499,AB_PLATFORM~UP_POLAROID_ANDROID,2,,,,,,125,,
506,COGNAC~DO_NOT_DISMISS_LOADING_SCREEN_WHEN_INITIALIZE,2,0.0,,,,,,,
507,LENSES~LENSCORE_AND_ANDROID_THREAD_PRIORITIES.background,2,,,,,,10,,
508,AB_PLATFORM~GAME_SDK_NOT_DISMISS_LOADING_SCREEN_ANDROID,2,,,,,,7,,
509,SNAPADS~IS_NOT_IN_USER_STORY_ADS_HOLDOUT,2,1.0,,,,,,,
512,SAVED_SNAPS~PROMPT_RETURN_ON_ACCEPT,2,0.0,,,,,,,
513,NETWORK~API_GATEWAY_CLIENT_REROUTE_EXP_ENABLED,2,0.0,,,,,,,
517,SNAPADS~CONTENT_INTERSTITIAL_AB_ENABLE_CI_AD,2,1.0,,,,,,,
523,DISCOVER_FEED~BACKGROUND_PREFETCH_FRIEND_STORY_DELAY_MINS,2,,60.0,,,,,,
526,BLOOPS~BLOOPS_ONE_FRAME_THUMBNAILS_SEND_RESOURCES_TYPE,2,,1.0,,,,,,
528,SNAPADS~RECOGNITION_THRESHOLD_LATENCY_MS,2,,50.0,,,,,,
529,AB_PLATFORM~BLOOPS_CLEAR_QUICK_SEARCH_ICON_ANDROID,2,,,,,,13,,
534,CONTEXT_CARDS~BOOST_BUTTON_VIBRATION_ENABLED,2,1.0,,,,,,,
540,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_SNAPS_FROM_SESSION_START,2,,0.0,,,,,,
541,CAMERA~REFACTORED_CAMERA_MANAGER,2,0.0,,,,,,,
542,BLOOPS~CLEAR_MEMORY_AFTER_TILE_RENDERING,2,0.0,,,,,,,
543,BLIZZARD~V2_ON_RESUME_UPLOAD_BAN,2,0.0,,,,,,,
544,NETWORK~QUIC_SERVER_CONFIG_ENABLED,2,1.0,,,,,,,
545,NETWORK~VISIBLE_LENS_ON_WWAN_SUPPORTED_CONTENT_TYPES_NATIVE_RANKER,2,,,,,, ,,
548,SNAPADS~IS_NOT_IN_OUR_STORY_ADS_HOLDOUT,2,1.0,,,,,,,
552,AB_PLATFORM~LIVE_CAMERA_INTERACTIVE_SNAP_ANDROID,2,,,,,,9,,
554,DISCOVER_FEED~BACKGROUND_PREFETCH_FRIEND_STORY_SKIP_DOWNLOADED_STORIES,2,1.0,,,,,,,
555,NETWORK~LARGE_MEDIA_CONCURRENCY_CONTROL_ENABLED,2,1.0,,,,,,,
556,SNAPADS~USER_STORY_AB_MIN_DURATION_FROM_SESSION_START_SECONDS,2,,0.0,,,,,,
557,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_DURATION_FROM_SESSION_START_SECONDS,2,,20.0,,,,,,
559,ARROYO~ARROYO_ONE_ON_ONE,2,1.0,,,,,,,
560,STORIES~ENABLE_SPOTLIGHT_MULTISNAP_STITCHING,2,1.0,,,,,,,
564,UNLOCKABLES~UNLOCKABLES_NETWORK_REQUEST_ENABLED,2,1.0,,,,,,,
567,BLIZZARD~DISABLE_SNAP_TOKEN_FOR_TIER0,2,0.0,,,,,,,
570,AB_PLATFORM~BLIZZARD_ANDROID_SNAP_TOKEN,2,,,,,,341,,
571,SNAP_TOKENS~TOKEN_SHOP_GAME_ENTRY_STYLE,2,,,,,,BADGE,,
573,LENSES~SUGGESTED_LENSES_IN_CHAT_MAX_WORDS_COUNT,2,,10.0,,,,,,
574,BLOOPS~BLOOPS_SHOW_PUBLISHER_HEADER,2,1.0,,,,,,,
575,PREMIUM~HAPPENING_NOW_DEFAULT_LIST_CAP,2,,1.0,,,,,,
578,ARROYO~SENDFLOW_ORDERING_AFTER_PREPARE_MEDIA,2,0.0,,,,,,,
579,SNAPADS~DISABLE_CI_ADS_IN_DF_FOR_YOU,2,0.0,,,,,,,
583,PREMIUM~ENABLE_HAPPENING_NOW_WEATHER_HEADER,2,0.0,,,,,,,
584,BLOOPS~PREFETCH_IN_PUBLISHER_PAGE,2,1.0,,,,,,,
586,AB_PLATFORM~SPOTLIGHT_STATS_DISPLAY_ANDROID,2,,,,,,165,,
589,BLOOPS~CLEAR_QUICK_SEARCH_ICON_AFTER_MESSAGE_SEND,2,0.0,,,,,,,
592,ARROYO~ENABLE_DEBUG_ICONS,2,0.0,,,,,,,
604,AB_PLATFORM~SNAPADS_VIEW_RECEIPTS_MUSHROOM,2,,,,,,3,,
605,BLOOPS~BLOOPS_ONE_FRE_THUMBNAILS_PICKER_RESOURCES_TYPE,2,,1.0,,,,,,
607,SNAP_TOKENS~ENABLE_TOKEN_SHOP_ENTRIES,2,1.0,,,,,,,
609,DISCOVER_FEED~BACKGROUND_PREFETCH_NUM_SNAPS_PER_FRIEND_STORY,2,,10.0,,,,,,
612,DISCOVER_FEED~USE_BOLT_FOR_PUBLIC_USER_STORY,2,1.0,,,,,,,
615,BLOOPS~BLOOPS_ONE_FRAME_THUMBNAILS_ENABLED,2,1.0,,,,,,,
624,SNAPADS~ENABLE_PETRA,2,1.0,,,,,,,
626,DISCOVER_FEED~BOLT_FOR_PUBLIC_USER_STORY_PREFETCH_SIZE,2,,131072.0,,,,,,
627,SAVED_SNAPS~REPLY_PROMPT_SIMPLIFIED,2,0.0,,,,,,,
