COL_WEATHER_KEY,COL_HOURLY_TIME,COL_HOURLY_IS_DAY_OR_NIGHT,COL_HOURLY_CURRENT_TEMP,COL_HOURLY_HIGH_TEMP,COL_HOURLY_LOW_TEMP,COL_HOURLY_ICON_NUM,COL_HOURLY_CONVERTED_ICON_NUM,COL_HOURLY_RAIN_PROBABILITY,COL_HOURLY_WIND_DIRECTION,COL_HOURLY_WIND_SPEED,COL_HOURLY_HUMIDITY,COL_HOURLY_WEATHER_TEXT,COL_HOURLY_URL,COL_HOURLY_PM25F,COL_HOURLY_PM25FLEVEL,COL_HOURLY_AQI,COL_HOURLY_RAIN_PRECIPITATION
cityId:current,1627023600000,2,16.0,999.0,999.0,29,1,5,NNE,0,90,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627027200000,2,16.0,999.0,999.0,29,1,5,NNE,0,89,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627030800000,2,15.0,999.0,999.0,29,1,5,N,0,90,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627034400000,2,15.0,999.0,999.0,29,1,6,N,0,93,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627038000000,1,15.0,999.0,999.0,34,0,5,NNE,1,94,Mostly Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627041600000,1,17.0,999.0,999.0,34,0,4,NE,1,90,Mostly Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627045200000,1,19.0,999.0,999.0,30,1,2,ENE,1,83,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627048800000,1,21.0,999.0,999.0,30,1,1,E,3,73,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627052400000,1,23.0,999.0,999.0,30,1,1,E,2,66,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627056000000,1,25.0,999.0,999.0,30,1,0,E,4,61,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627059600000,1,26.0,999.0,999.0,30,1,0,E,3,55,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627063200000,1,27.0,999.0,999.0,30,1,0,ENE,2,52,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
