app_id,audience_id,current_results
com.tmobile.tuesdays,41,b'\x08\x11\x10\x11\x1a\x08\x08\x00\x10\xc2\xfb\xb3\x83\x06\x1a\x08\x08\x04\x10\xbf\xfb\xb3\x83\x06'
com.tmobile.tuesdays,42,b'\x08\x11'
com.tmobile.tuesdays,43,b'\x08\x11'
com.tmobile.tuesdays,44,b'\x08\t'
com.tmobile.tuesdays,45,b'\x08\x05'
com.tmobile.tuesdays,48,b'\x08\x01'
com.tmobile.tuesdays,49,b'\x08\x03'
com.google.android.apps.maps,8,b'\x08\x01\x10\x01'
com.google.android.apps.maps,15,b'\x08\x01\x10\x01'
com.google.android.apps.maps,18,b'\x08\x01\x10\x01'
com.google.android.apps.maps,30,b'\x08\x01\x10\x01'
com.google.android.apps.maps,34,b'\x08\x01\x10\x01'
com.google.android.apps.maps,46,b'\x08\x02\x10\x02'
com.zhiliaoapp.musically,15,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xff\xf9\xd7\x87\x06'
com.zhiliaoapp.musically,17,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xf1\xf7\xd7\x87\x06'
com.zhiliaoapp.musically,18,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xff\xf9\xd7\x87\x06'
