docid,size
-1211158156,b'\x06\x06\x04\x01'
-1209285475,b'\x06\x06\x02\x02'
-1208981071,b'\x05\x05\x02\x02'
-1208404905,b'\x08\x08\x02\x01'
-1208230295,b'\x07\x07\x02\x02'
-1208007172,b'\x08\x08\x02\x01'
-1202916269,b'\x07\x07\x02\x02'
-1192919769,b'\x06\x06\x04\x02'
-1192272097,b'\x08\x08\x03\x02'
-1192239663,b'\x06\x06\x03\x04'
-1189678279,b'\x06\x06\x02\x03'
-1189485915,b'\x05\x05\x01\x03'
-1186478303,b'\x08\x08\x04\x04'
-1184709039,b'\x06\x06\x03\x02'
-1177225726,b'\x04\x06\x01\x03'
-1176389865,b'\x06\x07\x03\x02'
-1167700654,b'\x05\x05\x02\x03'
-1164018244,b'\x06\x06\x03\x02'
-1161757971,b'\t\t\x05\x01'
-1161053336,b'\x06\x06\x02\x02'
-1159016622,b'\x07\x07\x01\x02'
-1156604927,b'\x06\x06\x04\x03'
-1151489857,b'\x07\x07\x02\x03'
-1149967818,b'\x05\x05\x02\x04'
-1148868083,b'\x05\x05\x02\x02'
-1142751663,b'\x0b\x0b\x02\x02'
-1137395242,b'\x08\t\x02\x04'
-1134679618,b'\x07\x07\x02\x05'
-1133521539,b'\x07\x07\x02\x03'
-1133177911,b'\x05\x05\x02\x03'
-1129783722,b'\x06\x06\x03\x01'
-1124055944,b'\x05\x05\x02\x05'
-1121865895,b'\x07\x07\x02\x03'
-1112606099,b'\x0c\x0c\x03\x04'
-1106201614,b'\x06\x06\x03\x05'
-1101527183,b'\x06\x06\x02\x02'
-1101121354,b'\x05\x05\x02\x04'
-1100715563,b'\x06\x06\x02\x02'
-1099655256,b'\x06\x06\x02\x03'
-1095390536,b'\x06\x06\x03\x01'
-1092998668,b'\x05\x06\x02\x02'
-1092416199,b'\x06\x06\x04\x02'
-1089781515,b'\x06\x06\x02\x04'
-1084698811,b'\t\t\x02\x01'
-1079904841,b'\t\t\x02\x04'
-1077510564,b'\x06\x06\x02\x04'
-1073284999,b'\x07\x07\x02\x02'
-1072564023,b'\x06\x06\x02\x03'
-1071157771,b'\x07\x07\x03\x04'
-1069750290,b'\x07\x07\x02\x05'
-1065088216,b'\x06\x06\x03\x03'
-1062550789,b'\x08\x08\x03\x03'
-1061246656,b'\x05\x07\x02\x02'
-1061082987,b'\x06\x06\x02\x02'
-1058992643,b'\x04\x04\x01\x04'
-1056933887,b'\x06\x06\x03\x03'
-1056142096,b'\x06\x06\x02\x03'
-1055741944,b'\x06\x05\x02\x04'
-1047576135,b'\x06\x06\x02\x03'
-1045831583,b'\x08\x08\x03\x03'
-1044821885,b'\x05\x05\x03\x03'
-1039551864,b'\x05\x05\x02\x03'
-1035864974,b'\x06\x06\x03\x03'
-1031300392,b'\x04\x06\x01\x02'
-1030334193,b'\x05\x05\x02\x03'
-1027992406,b'\x06\x06\x03\x03'
-1027387229,b'\x05\x05\x02\x02'
-1027377632,b'\x05\x05\x01\x07'
-1024117257,b'\x06\x06\x04\x03'
-1018739503,b'\x06\x06\x03\x05'
-1018582134,b'\x06\x06\x04\x04'
-1016694661,b'\x05\x05\x02\x02'
-1001832404,b'\x05\x05\x02\x04'
-990857889,b'\x08\x08\x03\x05'
-975680830,b'\x06\x06\x02\x02'
-971388198,b'\t\t\x04\x05'
-971370813,b'\x07\x07\x03\x03'
-969690023,b'\x08\x08\x03\x02'
-966462701,b'\t\t\x02\x02'
-966415494,b'\x05\x05\x01\x01'
-964508724,b'\x05\x05\x02\x04'
-956991021,b'\x08\x08\x03\x04'
-955432142,b'\x06\x06\x03\x06'
-952829635,b'\x05\x05\x04\x05'
-948015471,b'\x07\x07\x03\x05'
-938467621,b'\x06\x05\x02\x02'
-934688440,b'\x08\x08\x02\x04'
-929894893,b'\x06\x06\x04\x01'
-921494490,b'\x07\x07\x02\x02'
-918974070,b'\x07\x07\x02\x02'
-915947151,b'\r\r\x04\x02'
-915008116,b'\t\t\x02\x02'
-911742150,b'\x07\x07\x02\x02'
-908910132,b'\x07\x07\x03\x04'
-906662092,b'\x07\x07\x02\x02'
-904679175,b'\x05\x05\x02\x02'
-900316157,b'\x06\x06\x01\x03'
-899886196,b'\x05\x05\x02\x01'
-894159589,b'\x06\x06\x03\x03'
-887809910,b'\x05\x05\x01\x03'
-885822101,b'\x07\x07\x02\x02'
-884436512,b'\x07\x07\x04\x0b'
-877033385,b'\x07\x07\x02\x01'
-872965489,b'\t\t\x05\x02'
-849775338,b'\x05\x05\x01\x03'
-848659856,b'\x06\x05\x02\x03'
-844583747,b'\x05\x05\x02\x05'
-840744873,b'\t\t\x02\x02'
-833117170,b'\x06\x06\x01\x03'
-829112937,b'\x06\x06\x03\x02'
-821820394,b'\r\r\x04\x05'
-820558051,b'\x06\x06\x03\x02'
-808791404,b'\x08\x08\x01\x02'
-804649886,b'\x06\x06\x03\x01'
-798662595,b'\x07\x07\x02\x01'
-793781962,b'\x06\x06\x02\x01'
-793522577,b'\x07\x07\x02\x06'
-789525689,b'\x07\x07\x01\x07'
-788564727,b'\x07\x07\x02\x02'
-784961892,b'\x07\x07\x02\x04'
-784289767,b'\x06\x06\x02\x02'
-782541235,b'\x07\x07\x02\x04'
-779281727,b'\x06\x06\x03\x03'
-775938964,b'\x06\x07\x02\x03'
-770457431,b'\x08\x08\x02\x02'
-769396831,b'\x06\x06\x03\x02'
-764198707,b'\x07\x07\x02\x03'
-762017670,b'\x06\x06\x04\x01'
-757005391,b'\x06\x06\x01\x03'
-752499717,b'\x06\x06\x03\x04'
-747303783,b'\x07\x07\x02\x02'
-743593579,b'\x06\x06\x02\x06'
-737406381,b'\x05\x05\x02\x03'
-736435324,b'\x07\x07\x03\x02'
-735798773,b'\x06\x06\x01\x01'
-732994683,b'\x06\x06\x03\x04'
-727409244,b'\x06\x06\x04\x02'
-724238155,b'\x07\x07\x03\x04'
-715324080,b'\x05\x05\x02\x03'
-712768097,b'\x07\x07\x03\x06'
-705661548,b'\x08\x08\x03\x03'
-703160858,b'\x06\x07\x03\x01'
-700802068,b'\x06\x06\x01\x02'
-699209167,b'\x05\x05\x02\x04'
-698060903,b'\x06\x06\x03\x02'
-688877274,b'\x07\x07\x03\x02'
-685615237,b'\x07\x07\x02\x04'
-684014196,b'\x06\x06\x02\x07'
-681665677,b'\x06\x06\x01\x02'
-679587434,b'\x07\x06\x01\x03'
-661394974,b'\x06\x05\x02\x04'
-659972918,b'\x07\x07\x02\x02'
-659414609,b'\x04\x04\x02\x04'
-658354214,b'\x06\x06\x03\x02'
-652564032,b'\x07\x07\x01\x01'
-647625774,b'\x05\x05\x02\x03'
-646611184,b'\x06\x06\x03\x01'
-643444557,b'\x0c\x0c\x03\x05'
-641209542,b'\x06\x06\x03\x03'
-636559794,b'\x06\x06\x03\x02'
-636233784,b'\x06\x05\x02\x03'
-633044196,b'\x05\x05\x02\x03'
-625807851,b'\x07\x07\x03\x02'
-619718176,b'\x08\x08\x03\x03'
-617965260,b'\t\t\x02\x02'
-616482715,b'\x07\x07\x02\x03'
-614934428,b'\x07\x07\x02\x02'
-611016015,b'\x08\t\x02\x02'
-610610265,b'\x06\x06\x03\x02'
-610007743,b'\x07\x07\x03\x02'
-608610383,b'\x06\x06\x03\x02'
-607356108,b'\x06\x06\x02\x01'
-603483678,b'\x05\x05\x02\x01'
-602919485,b'\x07\x07\x02\x02'
-601338119,b'\x07\x07\x02\x01'
-601231546,b'\x06\x06\x03\x03'
-595953769,b'\x07\x07\x04\x03'
-595812738,b'\x08\x08\x03\x05'
-595316642,b'\x05\x05\x02\x02'
-595009385,b'\x05\x05\x02\x04'
-594228186,b'\x06\x04\x02\x02'
-580446100,b'\x06\x06\x02\x02'
-580224108,b'\x07\x07\x02\x03'
-579708575,b'\x07\x07\x02\x01'
-574122757,b'\x05\x05\x02\x04'
-571856604,b'\x06\x06\x03\x02'
-570190279,b'\x08\x08\x03\x01'
-565965269,b'\x06\x06\x02\x01'
-556078966,b'\x06\x06\x03\x01'
-555767624,b'\x06\x06\x03\x04'
-550500097,b'\x07\x07\x03\x02'
-550475199,b'\x05\x05\x02\x02'
-548992257,b'\x08\x08\x03\x02'
-546932038,b'\x04\x06\x01\x05'
-541913202,b'\x06\x06\x02\x04'
-539582213,b'\x06\x06\x02\x02'
-536791990,b'\x07\x07\x01\x05'
-536185668,b'\x07\x07\x02\x03'
-529254697,b'\x05\x05\x01\x19'
-524977094,b'\x05\x06\x02\x03'
-523498421,b'\x05\x05\x02\x05'
-523140170,b'\x06\x07\x02\x04'
-521188915,b'\x06\x05\x02\x02'
-520594038,b'\x05\x05\x02\x05'
-519686925,b'\x05\x05\x03\x04'
-518853676,b'\x07\x07\x01\x03'
-516718926,b'\x06\x06\x01\x03'
-508145622,b'\x06\x06\x03\x03'
-501126402,b'\x06\x06\x05\x03'
-498389356,b'\r\r\x04\x04'
-495866104,b'\x05\x05\x01\x04'
-488883506,b'\x05\x05\x02\x04'
-488177707,b'\x06\x06\x01\x03'
-483480536,b'\x05\x05\x03\x03'
-479157880,b'\x08\x08\x04\x03'
-478642460,b'\x06\x04\x03\x02'
-473990654,b'\x08\x08\x01\x02'
-473882411,b'\x05\x06\x02\x04'
-473557082,b'\x07\x07\x02\x02'
-472865777,b'\x05\x05\x02\x02'
-468908432,b'\x06\x07\x02\x05'
-467756836,b'\x07\x07\x03\x02'
-461507182,b'\x06\x06\x02\x03'
-459001855,b'\x07\x07\x02\x01'
-457142603,b'\x06\x06\x04\x02'
-455741112,b'\x05\x05\x02\x03'
-452306787,b'\x07\x07\x03\x03'
-449572531,b'\x06\x06\x02\x02'
-445525439,b'\x06\x06\x01\x02'
-444161281,b'\x04\x04\x01\x03'
-438514794,b'\x06\x06\x02\x02'
-428448296,b'\x07\x07\x03\x02'
-425774600,b'\x0b\x0b\x02\x04'
-422146931,b'\x06\x06\x02\x03'
-421242684,b'\x07\x07\x03\x02'
-417496431,b'\x05\x05\x02\x03'
-414337604,b'\x06\x06\x03\x02'
-412617594,b'\x05\x05\x02\x03'
-410233089,b'\x04\x04\x01\x03'
-407616521,b'\x06\x06\x02\x02'
-396470339,b'\x07\x07\x02\x02'
-394597391,b'\x08\x08\x03\x03'
-392247421,b'\t\t\x02\x05'
-388082155,b'\x05\x05\x04\x05'
-386356632,b'\x05\x05\x01\x02'
-384512851,b'\x05\x05\x02\x03'
-383179959,b'\x06\x05\x02\x04'
-382416406,b'\x06\x07\x02\x03'
-381996612,b'\x06\x06\x03\x01'
-378651786,b'\x06\x05\x03\x02'
-378111899,b'\x07\x07\x02\x03'
-377960576,b'\x07\x07\x02\x02'
-375552549,b'\x04\x04\x04\x05'
-372387226,b'\x07\x07\x01\x03'
-368800858,b'\x04\x06\x01\x02'
-363231154,b'\x07\x07\x02\x03'
-361462687,b'\x05\x05\x01\x02'
-358835742,b'\x06\x06\x02\x03'
-354628813,b'\x07\x07\x02\x03'
-353923199,b'\r\r\x04\x03'
-353834281,b'\x06\x06\x02\x01'
-351271342,b'\x06\x06\x03\x03'
-351165064,b'\x05\x05\x02\x04'
-350992627,b'\x06\x05\x02\x02'
-348869755,b'\x04\x04\x04\x02'
-341942248,b'\x06\x06\x04\x01'
-341074732,b'\x05\x06\x01\x04'
-340612691,b'\x06\x06\x02\x02'
-339330122,b'\x06\x06\x02\x04'
-338312976,b'\x07\x07\x03\x03'
-337287039,b'\x06\x06\x01\x04'
-333471595,b'\x08\x08\x03\x03'
-332923269,b'\x05\x05\x02\x03'
-328263347,b'\x07\x07\x05\x02'
-327545496,b'\x06\x06\x03\x04'
-324547777,b'\x05\x05\x02\x03'
-323956213,b'\x04\x04\x01\x03'
-323941827,b'\x07\x07\x03\x03'
-318889990,b'\x05\x05\x02\x04'
-306910214,b'\x06\x06\x03\x02'
-305138057,b'\x06\x06\x01\x01'
-297981383,b'\x07\x07\x02\x03'
-295772992,b'\x08\x08\x04\x04'
-295096819,b'\x05\x05\x03\x01'
-290416423,b'\x07\x07\x02\x04'
-280955291,b'\x07\x07\x02\x03'
-279099564,b'\x06\x06\x02\x02'
-270471767,b'\x06\x06\x04\x03'
-270053230,b'\t\t\x02\x02'
-259853473,b'\x05\x05\x02\x03'
-257267998,b'\x06\x05\x02\x02'
-249957012,b'\x06\x06\x04\x01'
-249948289,b'\x06\x06\x02\x02'
-246601421,b'\x06\x06\x02\x02'
-243176712,b'\x07\x07\x02\x03'
-242278713,b'\x06\x06\x03\x02'
-241274575,b'\x05\x05\x02\x02'
-235208897,b'\x06\x06\x04\x02'
-233064304,b'\x07\x05\x02\x03'
-231986827,b'\x06\x06\x02\x05'
-226494140,b'\x05\x05\x01\x03'
-223385302,b'\x05\x06\x02\x05'
-219083098,b'\x04\x04\x02\x02'
-212351533,b'\x05\x05\x02\x03'
-211527299,b'\x07\x07\x01\x06'
-210842228,b'\x05\x05\x03\x04'
-209557615,b'\x06\x06\x02\x06'
-207100694,b'\x06\x06\x03\x03'
-202497257,b'\x06\x06\x01\x03'
-201231460,b'\x07\x07\x03\x02'
-199850535,b'\x06\x06\x02\x03'
-198125512,b'\x05\x06\x01\x01'
-194806196,b'\x05\x05\x02\x04'
-192693174,b'\x07\x07\x02\x04'
-184303166,b'\x07\x07\x02\x02'
-184080245,b'\x05\x05\x01\x02'
-183672653,b'\x08\x08\x03\x07'
-181192712,b'\x05\x05\x02\x02'
-172195497,b'\x05\x05\x02\x04'
-171475983,b'\t\t\x02\x03'
-169731849,b'\x05\x05\x02\x03'
-168276037,b'\x06\x06\x03\x02'
-160024579,b'\x07\x07\x03\x02'
-157984951,b'\x06\x06\x02\x03'
-155859556,b'\x07\x07\x02\x02'
-149310544,b'\x06\x05\x03\x01'
-135762518,b'\x06\x06\x02\x04'
-134706383,b'\x06\x05\x03\x03'
-132921787,b'\x06\x06\x04\x02'
-131849109,b'\x07\x07\x01\x06'
-130253431,b'\x04\x04\x04\x01'
-128353516,b'\x06\x06\x02\x02'
-127620050,b'\x06\x06\x02\x03'
-125393580,b'\x05\x05\x02\x02'
-121757565,b'\x06\x06\x02\x02'
-119131881,b'\x07\x07\x01\x01'
-117436192,b'\x04\x04\x01\x05'
-110002942,b'\x06\x06\x04\x02'
-103032409,b'\x04\x04\x04\x02'
-98558964,b'\x06\x06\x02\x02'
-96035990,b'\t\n\x02\x01'
-95160313,b'\x05\x05\x02\x04'
-93725691,b'\x07\x07\x02\x01'
-83373879,b'\x07\x07\x03\x03'
-80462171,b'\x05\x05\x03\x03'
-78641596,b'\x06\x06\x01\x02'
-78362246,b'\x05\x05\x02\x02'
-72920485,b'\x07\x07\x01\x05'
-58536606,b'\x06\x06\x02\x01'
-58287077,b'\x05\x05\x02\x03'
-50103961,b'\x06\x06\x04\x01'
-49620003,b'\x06\x06\x04\x01'
-47832184,b'\x07\x07\x03\x02'
-42717890,b'\x06\x06\x02\x02'
-38117734,b'\x06\x06\x03\x03'
-31431329,b'\x07\x05\x02\x02'
-26690861,b'\t\t\x02\x05'
-23526487,b'\x06\x06\x01\x03'
-22971881,b'\x06\x06\x03\x03'
-22937720,b'\x05\x05\x03\x03'
-16377793,b'\x05\x05\x01\x02'
-14120850,b'\x07\x07\x02\x02'
-11976571,b'\x06\x04\x03\x03'
-11219417,b'\r\r\x04\x05'
3579892,b'\x07\x07\x02\x03'
4661965,b'\x07\x07\x02\x02'
9694842,b'\x06\x06\x02\x03'
13286446,b'\x05\x05\x02\x03'
14649760,b'\x05\x06\x01\x03'
15828027,b'\x07\x07\x02\x02'
