RecordId,cname,concept_type,parent_concepts
285,viv.bixbyVoiceApp.SearchBixbyCapsuleName,text,
286,viv.bixbyVoiceApp.Flag,text,
287,viv.bixbyVoiceApp.VoiceGender,enum,
288,viv.bixbyVoiceApp.CapsuleId,text,
289,viv.bixbyVoiceApp.MCapsuleName,text,
290,viv.bixbyVoiceApp.TutorialsName,enum,
291,viv.bixbyVoiceApp.ResultDescription,text,
292,viv.bixbyVoiceApp.IsSideKeySupported,boolean,
293,viv.bixbyVoiceApp.ResultState,enum,
294,viv.bixbyVoiceApp.FeatureDumpName,text,
295,viv.bixbyVoiceApp.SearchBixbyCapsuleKeyword,text,
296,viv.bixbyVoiceApp.GoToFeature2FeatureName,enum,
297,viv.bixbyVoiceApp.State,text,
298,viv.bixbyVoiceApp.CategoryId,text,
299,viv.bixbyVoiceApp.TextSize,enum,
300,viv.bixbyVoiceApp.MCategories,text,
301,viv.bixbyVoiceApp.IsLongPressSetAsBixby,boolean,
302,viv.bixbyVoiceApp.IsRetailMode,boolean,
303,viv.bixbyVoiceApp.StyleProfile,name,
304,viv.bixbyVoiceApp.IsEnabled,boolean,
305,viv.bixbyVoiceApp.ConfirmationType,boolean,viv.core.Confirmation
306,viv.bixbyVoiceApp.TurnOnOffFeatureName,enum,
307,viv.bixbyVoiceApp.WhyDisEnabled,text,
308,viv.bixbyVoiceApp.CategoryName,name,
309,viv.bixbyVoiceApp.Feature,text,
310,viv.bixbyVoiceApp.ServiceName,name,
311,viv.bixbyVoiceApp.IsTablet,boolean,
312,viv.bixbyVoiceApp.IsChecked,boolean,
313,viv.bixbyVoiceApp.IsDoublePressTurnedOn,boolean,
314,viv.bixbyVoiceApp.IsNewCapsuleSupported,boolean,
315,viv.bixbyVoiceApp.IsFeatureAvailable,boolean,
316,viv.bixbyVoiceApp.DoYouSpeakResult,structure,
317,viv.bixbyVoiceApp.GetFeatureInfoResult,structure,
318,viv.bixbyVoiceApp.ChangeDefaultServiceResult,structure,
319,viv.bixbyVoiceApp.UnlockPhoneResult,structure,
320,viv.bixbyVoiceApp.SearchBixbyCapsuleResult,structure,
321,viv.bixbyVoiceApp.GoToNewCapsuleResult,structure,viv.bixbyVoiceApp.ActionResult
322,viv.bixbyVoiceApp.TurnOnOffResult,structure,
323,viv.bixbyVoiceApp.TurnOffBixbyResult,structure,
324,viv.bixbyVoiceApp.GetCapsuleDataResult,structure,
325,viv.bixbyVoiceApp.GoToFeature2Result,structure,
326,viv.bixbyVoiceApp.MCapsuleItemList,structure,
