keyword_id,url_id,term,normalized_term
2,131,cheap obd scanner,cheap obd scanner
2,132,cheap obd scanner,cheap obd scanner
2,133,cheap obd scanner,cheap obd scanner
2,134,cheap obd scanner,cheap obd scanner
2,135,cheap obd scanner,cheap obd scanner
2,136,cheap obd scanner,cheap obd scanner
2,137,cheap obd scanner,cheap obd scanner
2,138,cheap obd scanner,cheap obd scanner
2,139,cheap obd scanner,cheap obd scanner
2,140,cheap obd scanner,cheap obd scanner
2,141,cheap obd scanner,cheap obd scanner
2,142,cheap obd scanner,cheap obd scanner
2,143,cheap obd scanner,cheap obd scanner
2,144,cheap obd scanner,cheap obd scanner
2,145,cheap obd scanner,cheap obd scanner
2,146,cheap obd scanner,cheap obd scanner
2,147,cheap obd scanner,cheap obd scanner
2,148,cheap obd scanner,cheap obd scanner
2,149,cheap obd scanner,cheap obd scanner
2,150,cheap obd scanner,cheap obd scanner
2,151,cheap obd scanner,cheap obd scanner
2,152,cheap obd scanner,cheap obd scanner
2,153,cheap obd scanner,cheap obd scanner
2,154,cheap obd scanner,cheap obd scanner
2,155,cheap obd scanner,cheap obd scanner
2,156,cheap obd scanner,cheap obd scanner
2,157,cheap obd scanner,cheap obd scanner
2,158,cheap obd scanner,cheap obd scanner
2,159,cheap obd scanner,cheap obd scanner
2,160,cheap obd scanner,cheap obd scanner
2,161,cheap obd scanner,cheap obd scanner
2,162,cheap obd scanner,cheap obd scanner
2,163,cheap obd scanner,cheap obd scanner
2,164,cheap obd scanner,cheap obd scanner
2,165,cheap obd scanner,cheap obd scanner
2,166,cheap obd scanner,cheap obd scanner
2,167,cheap obd scanner,cheap obd scanner
2,168,cheap obd scanner,cheap obd scanner
2,169,cheap obd scanner,cheap obd scanner
2,170,cheap obd scanner,cheap obd scanner
2,171,cheap obd scanner,cheap obd scanner
2,172,cheap obd scanner,cheap obd scanner
2,173,cheap obd scanner,cheap obd scanner
2,174,cheap obd scanner,cheap obd scanner
2,175,cheap obd scanner,cheap obd scanner
2,176,cheap obd scanner,cheap obd scanner
2,177,cheap obd scanner,cheap obd scanner
2,178,cheap obd scanner,cheap obd scanner
2,179,cheap obd scanner,cheap obd scanner
2,180,cheap obd scanner,cheap obd scanner
2,181,cheap obd scanner,cheap obd scanner
2,182,cheap obd scanner,cheap obd scanner
2,183,cheap obd scanner,cheap obd scanner
2,184,cheap obd scanner,cheap obd scanner
2,185,cheap obd scanner,cheap obd scanner
2,186,cheap obd scanner,cheap obd scanner
2,187,cheap obd scanner,cheap obd scanner
2,188,cheap obd scanner,cheap obd scanner
2,189,cheap obd scanner,cheap obd scanner
2,190,cheap obd scanner,cheap obd scanner
2,191,cheap obd scanner,cheap obd scanner
2,192,cheap obd scanner,cheap obd scanner
2,193,cheap obd scanner,cheap obd scanner
2,194,cheap obd scanner,cheap obd scanner
2,195,cheap obd scanner,cheap obd scanner
2,196,cheap obd scanner,cheap obd scanner
2,197,cheap obd scanner,cheap obd scanner
2,198,cheap obd scanner,cheap obd scanner
2,199,cheap obd scanner,cheap obd scanner
2,200,cheap obd scanner,cheap obd scanner
2,201,cheap obd scanner,cheap obd scanner
2,202,cheap obd scanner,cheap obd scanner
2,203,cheap obd scanner,cheap obd scanner
2,204,cheap obd scanner,cheap obd scanner
2,205,cheap obd scanner,cheap obd scanner
2,206,cheap obd scanner,cheap obd scanner
2,207,cheap obd scanner,cheap obd scanner
2,208,cheap obd scanner,cheap obd scanner
2,209,cheap obd scanner,cheap obd scanner
2,210,cheap obd scanner,cheap obd scanner
2,211,cheap obd scanner,cheap obd scanner
2,212,cheap obd scanner,cheap obd scanner
2,213,cheap obd scanner,cheap obd scanner
2,214,cheap obd scanner,cheap obd scanner
2,215,cheap obd scanner,cheap obd scanner
2,221,cheap obd scanner,cheap obd scanner
2,222,cheap obd scanner,cheap obd scanner
2,223,cheap obd scanner,cheap obd scanner
2,224,cheap obd scanner,cheap obd scanner
2,225,cheap obd scanner,cheap obd scanner
2,230,interesting car apps,interesting car apps
2,232,blanton's bourbon,blanton's bourbon
2,233,blanton's bourbon,blanton's bourbon
2,234,blanton's bourbon,blanton's bourbon
2,235,blanton's bourbon,blanton's bourbon
2,236,blanton's bourbon,blanton's bourbon
2,237,blanton's bourbon,blanton's bourbon
2,238,blanton's bourbon,blanton's bourbon
2,239,blanton's bourbon,blanton's bourbon
2,240,blanton's bourbon,blanton's bourbon
2,241,blanton's bourbon,blanton's bourbon
2,242,blanton's bourbon,blanton's bourbon
2,243,blanton's bourbon,blanton's bourbon
2,244,blanton's bourbon,blanton's bourbon
2,245,blanton's bourbon,blanton's bourbon
2,246,blanton's bourbon,blanton's bourbon
2,247,blanton's bourbon,blanton's bourbon
2,248,blanton's bourbon,blanton's bourbon
2,249,blanton's bourbon,blanton's bourbon
2,250,blanton's bourbon,blanton's bourbon
2,251,blanton's bourbon,blanton's bourbon
2,252,blanton's bourbon,blanton's bourbon
2,253,blanton's bourbon,blanton's bourbon
2,258,blanton's bourbon,blanton's bourbon
2,260,blanton's bourbon,blanton's bourbon
2,261,blanton's bourbon,blanton's bourbon
2,266,chester springs pa zip code,chester springs pa zip code
2,269,liquor store near me,liquor store near me
2,270,liquor store near me,liquor store near me
2,272,blanton's bourbon,blanton's bourbon
2,273,blanton's bourbon,blanton's bourbon
2,274,blanton's bourbon,blanton's bourbon
2,275,blanton's bourbon,blanton's bourbon
2,276,blanton's bourbon,blanton's bourbon
2,277,blanton's bourbon,blanton's bourbon
2,278,blanton's bourbon,blanton's bourbon
2,279,blanton's bourbon,blanton's bourbon
2,280,blanton's bourbon,blanton's bourbon
2,283,blanton's bourbon,blanton's bourbon
2,284,blanton's bourbon,blanton's bourbon
2,285,blanton's bourbon,blanton's bourbon
2,286,blanton's bourbon,blanton's bourbon
2,287,blanton's bourbon,blanton's bourbon
2,288,blanton's bourbon,blanton's bourbon
2,289,blanton's bourbon,blanton's bourbon
2,290,blanton's bourbon,blanton's bourbon
2,291,blanton's bourbon,blanton's bourbon
2,292,blanton's bourbon,blanton's bourbon
2,293,blanton's bourbon,blanton's bourbon
2,294,blanton's bourbon,blanton's bourbon
2,295,blanton's bourbon,blanton's bourbon
2,296,blanton's bourbon,blanton's bourbon
2,297,blanton's bourbon,blanton's bourbon
2,298,blanton's bourbon,blanton's bourbon
2,299,blanton's bourbon,blanton's bourbon
2,300,blanton's bourbon,blanton's bourbon
2,301,blanton's bourbon,blanton's bourbon
2,302,blanton's bourbon,blanton's bourbon
2,303,blanton's bourbon,blanton's bourbon
2,304,blanton's bourbon,blanton's bourbon
2,305,blanton's bourbon,blanton's bourbon
2,306,blanton's bourbon,blanton's bourbon
2,307,blanton's bourbon,blanton's bourbon
2,308,blanton's bourbon,blanton's bourbon
2,309,blanton's bourbon,blanton's bourbon
2,312,blanton's bourbon,blanton's bourbon
