id,availMem,cached,running,checkTime
166,4024940,1676072,1065972,1620247940463
167,3943644,1785177,1070876,1620263272873
168,3997064,1948187,1002074,1620278426123
169,4629516,907373,1027776,1620292987483
170,4404400,1475902,1054646,1620307581004
171,4325592,1476553,1085880,1620322607364
172,4397964,1314641,1100749,1620337258207
173,4226072,1631583,1123184,1620352452430
174,4089688,1709488,1120593,1620367065793
175,4192808,1602280,1095512,1620382183572
176,4102120,1694790,1124901,1620397741015
177,4076736,1886170,1112124,1620413109996
178,4197552,1731663,1115535,1620427977421
179,4135736,1669970,1153802,1620442481781
180,4155992,821150,1115336,1620457411828
181,4264576,1572009,1143508,1620472280975
182,4188208,1514959,1282764,1620487128909
183,4051912,1531560,1101386,1620501952347
184,4322128,1240044,1017995,1620516764601
185,4272828,1180737,1170092,1620531297053
186,4216516,1614957,998233,1620545877640
187,4143800,1363661,1305488,1620560582323
188,4340764,1433251,1033750,1620575787770
189,3965060,1504808,1017728,1620590263569
190,3799232,1779197,1094117,1620605564764
191,3797440,1702126,1121765,1620620864465
192,3816300,1759281,1106689,1620636164379
193,5543420,354195,273879,1620740629283
194,5550744,354195,273879,1620755112353
195,5567504,356372,276342,1620769513955
196,5565980,356372,276342,1620785273083
197,5563724,356420,279490,1620801294839
198,5550144,356420,279490,1620816427764
199,5592204,296999,290503,1620832152276
200,5606864,297333,299353,1620847504171
201,5558864,297405,305286,1620862715932
202,5552532,297405,305286,1620877842216
203,5571400,297458,306730,1620892795663
204,5556856,297458,306730,1620907748919
205,5561588,298017,309524,1620922307389
206,5541124,298017,309524,1620937436634
207,5381868,293539,306560,1620952105147
208,5371384,293539,306560,1620967566381
209,5416904,293559,309317,1620982520812
210,5394732,293559,309317,1620997474085
211,5405764,294391,302616,1621014556723
212,5392120,294391,302616,1621029278797
213,5386648,294399,303900,1621044671109
214,5381168,294399,303900,1621060192517
215,5402916,294928,304645,1621075239948
216,5409268,294928,304645,1621090194204
217,5388792,294937,307061,1621105148706
218,5358816,295457,329225,1621120417867
219,3405556,1640383,1760141,1621123512736
220,3355200,1835864,1201870,1621137917860
221,3411336,1759835,1181009,1621152572323
222,3485644,1776545,1134433,1621167872330
223,3381508,1991745,1167004,1621183172262
224,3381316,2024245,1170574,1621198473130
225,3412152,2062425,1153717,1621213772086
226,3454284,2040706,1175765,1621229071946
227,3393968,2200971,1151273,1621244372788
228,3292648,2299328,1163021,1621259672524
229,3541416,1728481,1189093,1621274372380
230,3472760,1756626,1176687,1621289673311
231,3477428,1831057,1193607,1621304973181
232,3380556,2039497,1198230,1621320272973
233,3400880,2020005,1224810,1621335572864
234,3590396,2047535,1186822,1621350270378
235,3568720,2097975,1184660,1621365572552
236,3585416,1932203,1173976,1621380870739
237,4125400,1456993,1540125,1621392921937
238,3454724,1947890,1419198,1621407340015
239,3863896,1483998,1425612,1621421872677
240,3721656,1776956,1398955,1621437172496
241,3716244,1706847,1411865,1621452470207
242,3742644,1841544,1106805,1621466883264
243,3601592,2176798,1080926,1621481871985
244,3521756,2179694,1085917,1621497173075
245,3629080,2061555,1063407,1621512472882
246,3487764,2338113,1055908,1621527773747
247,3447432,2154853,1091200,1621542239288
248,3522420,2022107,1070860,1621556790464
