ID_A,STICKER_PACKAGES_ID,PKG_NAME_A,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
24,1,com.samsung.preload.Pocket_Fox.stickerb1,fa,مجموعه برچسب پاکت فاکس,,,
25,1,com.samsung.preload.Pocket_Fox.stickerb1,tl,Pocket Fox sticker set,,,
26,1,com.samsung.preload.Pocket_Fox.stickerb1,fi,Pocket Fox -tarrasarja,,,
27,1,com.samsung.preload.Pocket_Fox.stickerb1,fr,Ensemble d'autocollants Pocket Fox,,,
28,1,com.samsung.preload.Pocket_Fox.stickerb1,fr_CA,Ensemble de symboles Pocket Fox,,,
29,1,com.samsung.preload.Pocket_Fox.stickerb1,gl_ES,Conxunto de stickers Pocket Fox,,,
30,1,com.samsung.preload.Pocket_Fox.stickerb1,ka_GE,Pocket Fox სტიკერების ნაკრები,,,
31,1,com.samsung.preload.Pocket_Fox.stickerb1,de,„Pocket Fox“-Sticker-Set,,,
32,1,com.samsung.preload.Pocket_Fox.stickerb1,el,Σετ αυτοκόλλητων Pocket Fox,,,
33,1,com.samsung.preload.Pocket_Fox.stickerb1,gu_IN,પોકેટ ફોક્સ સ્ટીકર સેટ,,,
34,1,com.samsung.preload.Pocket_Fox.stickerb1,iw,סדרת מדבקות 'פוקט פוקס',,,
35,1,com.samsung.preload.Pocket_Fox.stickerb1,hi,पॉकेट फॉक्स स्टिकर सेट,,,
36,1,com.samsung.preload.Pocket_Fox.stickerb1,hu,Zsebróka matricakészlet,,,
37,1,com.samsung.preload.Pocket_Fox.stickerb1,is_IS,Pocket Fox-límmiðasafn,,,
38,1,com.samsung.preload.Pocket_Fox.stickerb1,in,Set stiker Pocket Fox,,,
39,1,com.samsung.preload.Pocket_Fox.stickerb1,ga,Sraith greamán Pocket Fox,,,
40,1,com.samsung.preload.Pocket_Fox.stickerb1,it,Set di adesivi Pocket Fox,,,
41,1,com.samsung.preload.Pocket_Fox.stickerb1,ja,ポケットフォックススタンプセット,,,
42,1,com.samsung.preload.Pocket_Fox.stickerb1,kn_IN,ಪಾಕೆಟ್ ಫಾಕ್ಸ್ ಸ್ಟಿಕ್ಕರ್ ಸೆಟ್,,,
43,1,com.samsung.preload.Pocket_Fox.stickerb1,kk_KZ,Кішкентай түлкі жапсырмалар жинағы,,,
44,1,com.samsung.preload.Pocket_Fox.stickerb1,km_KH,សំណុំ​ស្ទីកឃ័រ Pocket Fox,,,
45,1,com.samsung.preload.Pocket_Fox.stickerb1,ko,포켓 여우 스티커 세트,,,
46,1,com.samsung.preload.Pocket_Fox.stickerb1,ky_KG,Чөнтөктөгү Түлкү стикерлер таңгагы,,,
47,1,com.samsung.preload.Pocket_Fox.stickerb1,lo_LA,ຊຸດສະຕິກເກີພັອກເກັດ ຟັອກ,,,
48,1,com.samsung.preload.Pocket_Fox.stickerb1,lv,Pocket Fox uzlīmju komplekts,,,
49,1,com.samsung.preload.Pocket_Fox.stickerb1,lt,Kišeninės lapės lipdukų rinkinys,,,
50,1,com.samsung.preload.Pocket_Fox.stickerb1,mk_MK,Комплет со налепници „Покет Фокс“,,,
51,1,com.samsung.preload.Pocket_Fox.stickerb1,ms_MY,Set pelekat Si Musang,,,
52,1,com.samsung.preload.Pocket_Fox.stickerb1,ml_IN,പോക്കറ്റ് ഫോക്സ് സ്റ്റിക്കർ സെറ്റ്,,,
53,1,com.samsung.preload.Pocket_Fox.stickerb1,mr_IN,पॉकेट फॉक्स स्टिकर संच,,,
54,1,com.samsung.preload.Pocket_Fox.stickerb1,my_ZG,အိတ္ပံုစံ ေဖာက္စ္ စတစ္ကာတစ္စံု,,,
55,1,com.samsung.preload.Pocket_Fox.stickerb1,mn_MN,Pocket Fox стикер багц,,,
56,1,com.samsung.preload.Pocket_Fox.stickerb1,my_MM,အိတ်ပုံစံ ဖောက်စ် စတစ်ကာတစ်စုံ,,,
57,1,com.samsung.preload.Pocket_Fox.stickerb1,ne,पकेट फक्सको स्टिकर सेट,,,
58,1,com.samsung.preload.Pocket_Fox.stickerb1,ne_NP,पकेट फक्सको स्टिकर सेट,,,
59,1,com.samsung.preload.Pocket_Fox.stickerb1,nb,Pocket Fox-klistremerkesett,,,
60,1,com.samsung.preload.Pocket_Fox.stickerb1,or,ପକେଟ୍ ଫକ୍ସ ଷ୍ଟିକର୍ ସେଟ୍ କରନ୍ତୁ,,,
61,1,com.samsung.preload.Pocket_Fox.stickerb1,pl,Zbiór naklejek z kieszonkowym lisem,,,
62,1,com.samsung.preload.Pocket_Fox.stickerb1,pt_PT,Conjunto de autocolantes Pocket Fox,,,
63,1,com.samsung.preload.Pocket_Fox.stickerb1,pt_BR,Conjunto de stickers Pocket Fox,,,
64,1,com.samsung.preload.Pocket_Fox.stickerb1,pa_IN,ਪਾਕੇਟ ਫੌਕਸ ਸਟਿੱਕਰ ਸੈੱਟ,,,
65,1,com.samsung.preload.Pocket_Fox.stickerb1,ro,Set de abțibilduri Vulpița,,,
66,1,com.samsung.preload.Pocket_Fox.stickerb1,ru,Набор стикеров с маленькой лисой,,,
67,1,com.samsung.preload.Pocket_Fox.stickerb1,sr,Kolekcija nalepnica Džepna lisica,,,
68,1,com.samsung.preload.Pocket_Fox.stickerb1,si,සාක්කු නරියා ස්ටිකර් කට්ටලය,,,
69,1,com.samsung.preload.Pocket_Fox.stickerb1,si_LK,සාක්කු නරියා ස්ටිකර් කට්ටලය,,,
70,1,com.samsung.preload.Pocket_Fox.stickerb1,pl_SP,Zbiōr nalepek Pocket Fox,,,
71,1,com.samsung.preload.Pocket_Fox.stickerb1,sk,Súprava nálepiek Pocket Fox,,,
72,1,com.samsung.preload.Pocket_Fox.stickerb1,sl,Komplet nalepk Pocket Fox,,,
73,1,com.samsung.preload.Pocket_Fox.stickerb1,es_ES,Colección de stickers Pocket Fox,,,
74,1,com.samsung.preload.Pocket_Fox.stickerb1,es_US,Colección de adhesivos de Pocket Fox,,,
75,1,com.samsung.preload.Pocket_Fox.stickerb1,sv,Pocket Fox-klistermärken,,,
76,1,com.samsung.preload.Pocket_Fox.stickerb1,tg,Маҷмуи стикерҳои Pocket Fox,,,
77,1,com.samsung.preload.Pocket_Fox.stickerb1,ta_IN,பாக்கெட் ஃபாக்ஸ் ஸ்டிக்கர் செட்,,,
78,1,com.samsung.preload.Pocket_Fox.stickerb1,te_IN,పాకెట్ ఫాక్స్ స్టిక్కర్ సెట్,,,
79,1,com.samsung.preload.Pocket_Fox.stickerb1,tk,Jübüt tilki stiker toplumy,,,
80,1,com.samsung.preload.Pocket_Fox.stickerb1,th,ชุดสติกเกอร์จิ้งจอกกระเป๋า,,,
81,1,com.samsung.preload.Pocket_Fox.stickerb1,bo,ཝ་མོའི་ཁུག་མའི་སྒྲིག་འགོད།,,,
82,1,com.samsung.preload.Pocket_Fox.stickerb1,tr,Pocket Fox etiket seti,,,
83,1,com.samsung.preload.Pocket_Fox.stickerb1,uk,Набір стікерів з лисеням,,,
84,1,com.samsung.preload.Pocket_Fox.stickerb1,ur_PK,جیبی فاکس کا اسٹیکر سیٹ ہے,,,
85,1,com.samsung.preload.Pocket_Fox.stickerb1,ug,يانچۇق تۈلكىسى چاپلاق توپى,,,
86,1,com.samsung.preload.Pocket_Fox.stickerb1,uz_UZ,Pocket Fox stikerlar to‘plami,,,
87,1,com.samsung.preload.Pocket_Fox.stickerb1,vi,Bộ sticker Pocket Fox,,,
88,2,com.samsung.preload.Jim_and_Kim.stickerb1,en,Jim and Kim sticker set,,,
89,2,com.samsung.preload.Jim_and_Kim.stickerb1,en_US,Jim and Kim sticker set,,,
90,2,com.samsung.preload.Jim_and_Kim.stickerb1,en_CA,Jim and Kim sticker set,,,
91,2,com.samsung.preload.Jim_and_Kim.stickerb1,sq_AL,Paketa e adezivëve Jim and Kim,,,
92,2,com.samsung.preload.Jim_and_Kim.stickerb1,ar,مجموعة ملصقات Jim and Kim,,,
93,2,com.samsung.preload.Jim_and_Kim.stickerb1,hy_AM,Ջիմի և Քիմի պիտակների լրակազմ,,,
94,2,com.samsung.preload.Jim_and_Kim.stickerb1,as,জিম আৰু কিম ষ্টিকাৰ ছেট,,,
95,2,com.samsung.preload.Jim_and_Kim.stickerb1,az_AZ,Jim və Kim stiker dəsti,,,
96,2,com.samsung.preload.Jim_and_Kim.stickerb1,eu_ES,Jim eta Kimen sticker sorta,,,
97,2,com.samsung.preload.Jim_and_Kim.stickerb1,be_BY,Набор стыкераў Jim and Kim,,,
98,2,com.samsung.preload.Jim_and_Kim.stickerb1,bn_IN,জিম ও কিম স্টিকার সেট,,,
99,2,com.samsung.preload.Jim_and_Kim.stickerb1,bn_BD,Jim অ্যান্ড Kim স্টিকার সেট,,,
100,2,com.samsung.preload.Jim_and_Kim.stickerb1,bs,Set naljepnica Jima i Kima,,,
101,2,com.samsung.preload.Jim_and_Kim.stickerb1,bg,Комплект стикери Jim и Kim,,,
102,2,com.samsung.preload.Jim_and_Kim.stickerb1,ca,Conjunt d'adhesius Jim i Kim,,,
103,2,com.samsung.preload.Jim_and_Kim.stickerb1,zn_CN,Jim 和 Kim 贴纸包,,,
104,2,com.samsung.preload.Jim_and_Kim.stickerb1,zn_HK,Jim 和 Kim 貼紙集,,,
105,2,com.samsung.preload.Jim_and_Kim.stickerb1,zn_TW,Jim and Kim 貼圖組,,,
106,2,com.samsung.preload.Jim_and_Kim.stickerb1,hr,Set naljepnica Jim i Kim,,,
107,2,com.samsung.preload.Jim_and_Kim.stickerb1,cs,Sada nálepek Jim and Kim,,,
108,2,com.samsung.preload.Jim_and_Kim.stickerb1,da,Jim and Kim-stickersæt,,,
109,2,com.samsung.preload.Jim_and_Kim.stickerb1,nl,Jim en Kim-stickerset,,,
110,2,com.samsung.preload.Jim_and_Kim.stickerb1,et_EE,Jimi ja Kimi kleebiste komplekt,,,
111,2,com.samsung.preload.Jim_and_Kim.stickerb1,fa,مجموعه برچسب جیم و کیم,,,
112,2,com.samsung.preload.Jim_and_Kim.stickerb1,tl,Jim at Kim sticker set,,,
113,2,com.samsung.preload.Jim_and_Kim.stickerb1,fi,Jim ja Kim -tarrasarja,,,
114,2,com.samsung.preload.Jim_and_Kim.stickerb1,fr,Ensemble d'autocollants Jim and Kim,,,
115,2,com.samsung.preload.Jim_and_Kim.stickerb1,fr_CA,Ensemble de symboles Jim and Kim,,,
116,2,com.samsung.preload.Jim_and_Kim.stickerb1,gl_ES,Conxunto de stickers de Jim e Kim,,,
117,2,com.samsung.preload.Jim_and_Kim.stickerb1,ka_GE,Jim and Kim სტიკერების ნაკრები,,,
118,2,com.samsung.preload.Jim_and_Kim.stickerb1,de,„Jim und Kim“-Sticker-Set,,,
119,2,com.samsung.preload.Jim_and_Kim.stickerb1,el,Σετ αυτοκόλλητων Jim and Kim,,,
120,2,com.samsung.preload.Jim_and_Kim.stickerb1,gu_IN,જીમ અને કીમનો સ્ટીકર સેટ,,,
121,2,com.samsung.preload.Jim_and_Kim.stickerb1,iw,סדרת מדבקות 'ג'ים וקים',,,
122,2,com.samsung.preload.Jim_and_Kim.stickerb1,hi,जिम और किम स्टिकर सेट,,,
123,2,com.samsung.preload.Jim_and_Kim.stickerb1,hu,Jim és Kim matricakészlet,,,
124,2,com.samsung.preload.Jim_and_Kim.stickerb1,is_IS,Límmiðasafn með Jim og Kim,,,
125,2,com.samsung.preload.Jim_and_Kim.stickerb1,in,Set stiker Jim dan Kim,,,
126,2,com.samsung.preload.Jim_and_Kim.stickerb1,ga,Sraith greamán Jim agus Kim,,,
127,2,com.samsung.preload.Jim_and_Kim.stickerb1,it,Set di adesivi Jim and Kim,,,
128,2,com.samsung.preload.Jim_and_Kim.stickerb1,ja,ジムとキムのスタンプセット,,,
129,2,com.samsung.preload.Jim_and_Kim.stickerb1,kn_IN,ಜಿಮ್ ಮತ್ತು ಕಿಮ್ ಸ್ಟಿಕ್ಕರ್ ಸೆಟ್,,,
130,2,com.samsung.preload.Jim_and_Kim.stickerb1,kk_KZ,Джим және Ким жапсырмалар жинағы,,,
131,2,com.samsung.preload.Jim_and_Kim.stickerb1,km_KH,សំណុំ​ស្ទីកឃ័រ Jim និង Kim,,,
132,2,com.samsung.preload.Jim_and_Kim.stickerb1,ko,짐 & 킴 스티커 세트,,,
133,2,com.samsung.preload.Jim_and_Kim.stickerb1,ky_KG,Джим жана Ким стикерлер таңгагы,,,
134,2,com.samsung.preload.Jim_and_Kim.stickerb1,lo_LA,ຊຸດສະຕິກເກີຈິມ ແລະ ຄິມ,,,
135,2,com.samsung.preload.Jim_and_Kim.stickerb1,lv,Jim and Kim uzlīmju komplekts,,,
136,2,com.samsung.preload.Jim_and_Kim.stickerb1,lt,Jim ir Kim lipdukų rinkinys,,,
137,2,com.samsung.preload.Jim_and_Kim.stickerb1,mk_MK,Комплет со налепници „Џим и Ким“,,,
138,2,com.samsung.preload.Jim_and_Kim.stickerb1,ms_MY,Set pelekat Jim dan Kim,,,
139,2,com.samsung.preload.Jim_and_Kim.stickerb1,ml_IN,ജിം ആന്‍റ് കിം സ്റ്റിക്കർ സെറ്റ്,,,
140,2,com.samsung.preload.Jim_and_Kim.stickerb1,mr_IN,जिम आणि किम स्टिकर संच,,,
141,2,com.samsung.preload.Jim_and_Kim.stickerb1,my_ZG,ဂ်င္မ္ႏွင့္ ကင္မ္ စတစ္ကာတစ္စံု,,,
142,2,com.samsung.preload.Jim_and_Kim.stickerb1,mn_MN,Jim and Kim стикер багц,,,
143,2,com.samsung.preload.Jim_and_Kim.stickerb1,my_MM,ဂျင်မ်နှင့် ကင်မ် စတစ်ကာတစ်စုံ,,,
144,2,com.samsung.preload.Jim_and_Kim.stickerb1,ne,जिम र किमको स्टिकर सेट,,,
145,2,com.samsung.preload.Jim_and_Kim.stickerb1,ne_NP,जिम र किमको स्टिकर सेट,,,
146,2,com.samsung.preload.Jim_and_Kim.stickerb1,nb,Jim og Kim-klistremerkesett,,,
147,2,com.samsung.preload.Jim_and_Kim.stickerb1,or,ଜିମ୍ ଏବଂ କିମ୍ ଷ୍ଟିକର୍ ସେଟ୍ କରନ୍ତୁ,,,
148,2,com.samsung.preload.Jim_and_Kim.stickerb1,pl,Zbiór naklejek z Jimem i Kim,,,
149,2,com.samsung.preload.Jim_and_Kim.stickerb1,pt_PT,Conjunto de autocolantes Jim and Kim,,,
150,2,com.samsung.preload.Jim_and_Kim.stickerb1,pt_BR,Conjunto de stickers Jim e Kim,,,
151,2,com.samsung.preload.Jim_and_Kim.stickerb1,pa_IN,ਜਿਮ ਅਤੇ ਕਿਮ ਸਟਿੱਕਰ ਸੈੱਟ,,,
152,2,com.samsung.preload.Jim_and_Kim.stickerb1,ro,Set de abțibilduri Jim și Kim,,,
153,2,com.samsung.preload.Jim_and_Kim.stickerb1,ru,Набор стикеров с Джимом и Ким,,,
154,2,com.samsung.preload.Jim_and_Kim.stickerb1,sr,Komplet nalepnica Džim i Kim,,,
155,2,com.samsung.preload.Jim_and_Kim.stickerb1,si,ජිම් සහ කිම් ස්ටිකර් කට්ටලය,,,
156,2,com.samsung.preload.Jim_and_Kim.stickerb1,si_LK,ජිම් සහ කිම් ස්ටිකර් කට්ටලය,,,
157,2,com.samsung.preload.Jim_and_Kim.stickerb1,pl_SP,Zbiōr nalepek z Jimym i Kim,,,
158,2,com.samsung.preload.Jim_and_Kim.stickerb1,sk,Súprava nálepiek Jim a Kim,,,
159,2,com.samsung.preload.Jim_and_Kim.stickerb1,sl,Komplet nalepk Jim in Kim,,,
160,2,com.samsung.preload.Jim_and_Kim.stickerb1,es_ES,Colección de stickers de Jim y Kim,,,
161,2,com.samsung.preload.Jim_and_Kim.stickerb1,es_US,Colección de adhesivos de Jim y Kim,,,
162,2,com.samsung.preload.Jim_and_Kim.stickerb1,sv,Jim och Kim-klistermärken,,,
163,2,com.samsung.preload.Jim_and_Kim.stickerb1,tg,Маҷмуи стикерҳои Jim ва Kim,,,
164,2,com.samsung.preload.Jim_and_Kim.stickerb1,ta_IN,ஜிம் மற்றும் கிம் ஸ்டிக்கர் கிட்,,,
165,2,com.samsung.preload.Jim_and_Kim.stickerb1,te_IN,జిమ్ అండ్ కిమ్ స్టిక్కర్ సెట్,,,
166,2,com.samsung.preload.Jim_and_Kim.stickerb1,tk,Jim we Kim stiker toplumy,,,
167,2,com.samsung.preload.Jim_and_Kim.stickerb1,th,ชุดสติกเกอร์จิมกับคิม,,,
168,2,com.samsung.preload.Jim_and_Kim.stickerb1,bo,Jim་དང་Kim་སྦྱར་ཤོག,,,
169,2,com.samsung.preload.Jim_and_Kim.stickerb1,tr,Jim ve Kim etiket seti,,,
170,2,com.samsung.preload.Jim_and_Kim.stickerb1,uk,Набір стікерів із Джимом і Кім,,,
171,2,com.samsung.preload.Jim_and_Kim.stickerb1,ur_PK,جم اور کم اسٹکر سیٹ ہے,,,
172,2,com.samsung.preload.Jim_and_Kim.stickerb1,ug,جىم-كىم چاپلاق بولىقى,,,
173,2,com.samsung.preload.Jim_and_Kim.stickerb1,uz_UZ,Jim va Kim stikerlar to‘plami,,,
174,2,com.samsung.preload.Jim_and_Kim.stickerb1,vi,Bộ sticker Jim & Kim,,,
175,3,com.samsung.preload.Sluggy.stickerb1,en,Sluggy sticker set,,,
176,3,com.samsung.preload.Sluggy.stickerb1,en_US,Sluggy sticker set,,,
177,3,com.samsung.preload.Sluggy.stickerb1,en_CA,Sluggy sticker set,,,
178,3,com.samsung.preload.Sluggy.stickerb1,sq_AL,Paketa e adezivëve Sluggy,,,
179,3,com.samsung.preload.Sluggy.stickerb1,ar,مجموعة ملصقات Sluggy,,,
180,3,com.samsung.preload.Sluggy.stickerb1,hy_AM,Կողինջի պիտակների լրակազմ,,,
181,3,com.samsung.preload.Sluggy.stickerb1,as,শ্লাগি ষ্টিকাৰ ছেট,,,
182,3,com.samsung.preload.Sluggy.stickerb1,az_AZ,Gülməli stiker dəsti,,,
183,3,com.samsung.preload.Sluggy.stickerb1,eu_ES,Bareen sticker sorta,,,
184,3,com.samsung.preload.Sluggy.stickerb1,be_BY,Набор стыкераў Sluggy,,,
185,3,com.samsung.preload.Sluggy.stickerb1,bn_IN,অলস স্টিকার সেট,,,
186,3,com.samsung.preload.Sluggy.stickerb1,bn_BD,Sluggy স্টিকার সেট,,,
187,3,com.samsung.preload.Sluggy.stickerb1,bs,Set naljepnica puža golaća,,,
188,3,com.samsung.preload.Sluggy.stickerb1,bg,Комплект стикери Sluggy,,,
189,3,com.samsung.preload.Sluggy.stickerb1,ca,Conjunt d'adhesius Sluggy,,,
190,3,com.samsung.preload.Sluggy.stickerb1,zn_CN,Sluggy 贴纸包,,,
191,3,com.samsung.preload.Sluggy.stickerb1,zn_HK,Sluggy 貼紙集,,,
192,3,com.samsung.preload.Sluggy.stickerb1,zn_TW,Sluggy 貼圖組,,,
193,3,com.samsung.preload.Sluggy.stickerb1,hr,Set naljepnica Pužići,,,
194,3,com.samsung.preload.Sluggy.stickerb1,cs,Šnečí sada nálepek,,,
195,3,com.samsung.preload.Sluggy.stickerb1,da,Sluggy-stickersæt,,,
196,3,com.samsung.preload.Sluggy.stickerb1,nl,Sluggy-stickerset,,,
197,3,com.samsung.preload.Sluggy.stickerb1,et_EE,Sluggy kleebiste komplekt,,,
198,3,com.samsung.preload.Sluggy.stickerb1,fa,مجموعه برچسب اسلاگی,,,
199,3,com.samsung.preload.Sluggy.stickerb1,tl,Sluggy sticker set,,,
200,3,com.samsung.preload.Sluggy.stickerb1,fi,Sluggy-tarrasarja,,,
201,3,com.samsung.preload.Sluggy.stickerb1,fr,Ensemble d'autocollants Sluggy,,,
202,3,com.samsung.preload.Sluggy.stickerb1,fr_CA,Ensemble de symboles Sluggy,,,
203,3,com.samsung.preload.Sluggy.stickerb1,gl_ES,Conxunto de stickers de lesma,,,
204,3,com.samsung.preload.Sluggy.stickerb1,ka_GE,Sluggy სტიკერების ნაკრები,,,
205,3,com.samsung.preload.Sluggy.stickerb1,de,Sluggy-Sticker-Set,,,
206,3,com.samsung.preload.Sluggy.stickerb1,el,Σετ αυτοκόλλητων Sluggy,,,
207,3,com.samsung.preload.Sluggy.stickerb1,gu_IN,સ્લગી સ્ટીકર સેટ,,,
208,3,com.samsung.preload.Sluggy.stickerb1,iw,סדרת מדבקות 'סלאגי',,,
209,3,com.samsung.preload.Sluggy.stickerb1,hi,स्लगी स्टिकर सेट,,,
210,3,com.samsung.preload.Sluggy.stickerb1,hu,Csigabiga matricakészlet,,,
211,3,com.samsung.preload.Sluggy.stickerb1,is_IS,Sluggy-límmiðasafn,,,
212,3,com.samsung.preload.Sluggy.stickerb1,in,Set stiker sluggy,,,
213,3,com.samsung.preload.Sluggy.stickerb1,ga,Sraith greamán Sluggy,,,
214,3,com.samsung.preload.Sluggy.stickerb1,it,Set di adesivi Sluggy,,,
215,3,com.samsung.preload.Sluggy.stickerb1,ja,スラッギースタンプセット,,,
216,3,com.samsung.preload.Sluggy.stickerb1,kn_IN,ಸ್ಲಗ್ಗಿ ಸ್ಟಿಕರ್ ಸೆಟ್,,,
217,3,com.samsung.preload.Sluggy.stickerb1,kk_KZ,Слаги жапсырмалар жинағы,,,
218,3,com.samsung.preload.Sluggy.stickerb1,km_KH,សំណុំ​ស្ទីកឃ័រ Sluggy,,,
219,3,com.samsung.preload.Sluggy.stickerb1,ko,달팽이 스티커 세트,,,
220,3,com.samsung.preload.Sluggy.stickerb1,ky_KG,Былжырак стикерлер таңгагы,,,
221,3,com.samsung.preload.Sluggy.stickerb1,lo_LA,ຊຸດສະຕິກເກີແບບຂີ້ຄ້ານ,,,
222,3,com.samsung.preload.Sluggy.stickerb1,lv,Sluggy uzlīmju komplekts,,,
223,3,com.samsung.preload.Sluggy.stickerb1,lt,Vangių lipdukų rinkinys,,,
224,3,com.samsung.preload.Sluggy.stickerb1,mk_MK,Комплет со налепници „Слаги“,,,
225,3,com.samsung.preload.Sluggy.stickerb1,ms_MY,Set pelekat Si Ulat,,,
226,3,com.samsung.preload.Sluggy.stickerb1,ml_IN,സ്ലഗ്ഗി സ്റ്റിക്കർ സെറ്റ്,,,
227,3,com.samsung.preload.Sluggy.stickerb1,mr_IN,स्लगी स्टिकर संच,,,
228,3,com.samsung.preload.Sluggy.stickerb1,my_ZG,မလႈပ္ရွားေသာ စတစ္ကာတစ္စံု,,,
229,3,com.samsung.preload.Sluggy.stickerb1,mn_MN,Sluggy стикер багц,,,
230,3,com.samsung.preload.Sluggy.stickerb1,my_MM,မလှုပ်ရှားသော စတစ်ကာတစ်စုံ,,,
231,3,com.samsung.preload.Sluggy.stickerb1,ne,आलसीको स्टिकर सेट,,,
232,3,com.samsung.preload.Sluggy.stickerb1,ne_NP,आलसीको स्टिकर सेट,,,
233,3,com.samsung.preload.Sluggy.stickerb1,nb,Sluggy-klistremerkesett,,,
234,3,com.samsung.preload.Sluggy.stickerb1,or,ସ୍ଲଗୀ ଷ୍ଟିକର୍ ସେଟ୍,,,
235,3,com.samsung.preload.Sluggy.stickerb1,pl,Zbiór naklejek ze ślimakiem,,,
236,3,com.samsung.preload.Sluggy.stickerb1,pt_PT,Conjunto de autocolantes Sluggy,,,
237,3,com.samsung.preload.Sluggy.stickerb1,pt_BR,Conjunto de stickers Sluggy,,,
238,3,com.samsung.preload.Sluggy.stickerb1,pa_IN,ਸਲੱਗੀ ਸਟਿੱਕਰ ਸੈੱਟ,,,
239,3,com.samsung.preload.Sluggy.stickerb1,ro,Set de abțibilduri Melc,,,
240,3,com.samsung.preload.Sluggy.stickerb1,ru,Набор стикеров с моллюском,,,
241,3,com.samsung.preload.Sluggy.stickerb1,sr,Kolekcija nalepnica Zelembać,,,
242,3,com.samsung.preload.Sluggy.stickerb1,si,ස්ලගී ස්ටිකර් කට්ටලය,,,
243,3,com.samsung.preload.Sluggy.stickerb1,si_LK,ස්ලගී ස්ටිකර් කට්ටලය,,,
244,3,com.samsung.preload.Sluggy.stickerb1,pl_SP,Zbiōr nalepek ze ślimŏkym,,,
245,3,com.samsung.preload.Sluggy.stickerb1,sk,Slimačia súprava nálepiek,,,
246,3,com.samsung.preload.Sluggy.stickerb1,sl,Komplet nalepk Sluggy,,,
247,3,com.samsung.preload.Sluggy.stickerb1,es_ES,Colección de stickers de la babosa,,,
248,3,com.samsung.preload.Sluggy.stickerb1,es_US,Colección de adhesivos Sluggy,,,
249,3,com.samsung.preload.Sluggy.stickerb1,sv,Sluggy-klistermärken,,,
250,3,com.samsung.preload.Sluggy.stickerb1,tg,Маҷмуи стикерҳои Sluggy,,,
251,3,com.samsung.preload.Sluggy.stickerb1,ta_IN,ஸ்லக்கி ஸ்டிக்கர் செட்,,,
252,3,com.samsung.preload.Sluggy.stickerb1,te_IN,స్లగ్గీ స్టిక్కర్ సెట్,,,
253,3,com.samsung.preload.Sluggy.stickerb1,tk,Durgun stiker toplumy,,,
254,3,com.samsung.preload.Sluggy.stickerb1,th,ชุดสติกเกอร์ทาก,,,
255,3,com.samsung.preload.Sluggy.stickerb1,bo,Sluggy་སྦྱར་ཤོག,,,
256,3,com.samsung.preload.Sluggy.stickerb1,tr,Sluggy etiket seti,,,
257,3,com.samsung.preload.Sluggy.stickerb1,uk,Набір стікерів з молюском,,,
258,3,com.samsung.preload.Sluggy.stickerb1,ur_PK,سلگی اسٹکرز سیٹ,,,
