tableName,columnId,colName
MediaRelationship_Backup,col3,Scene
MediaRelationship_Backup,id,id
FaceRelationship,col1,Face
FaceRelationship,col2,Location
FaceRelationship,col3,Media
FaceRelationship,col4,Scene
FaceRelationship,col5,Story
FaceRelationship,col6,Age
FaceRelationship,id,id
LocationRelationship,col1,Face
LocationRelationship,col2,Location
LocationRelationship,col3,Media
LocationRelationship,col4,Scene
LocationRelationship,id,id
SceneRelationship,col1,Face
SceneRelationship,col2,Location
SceneRelationship,col3,Media
SceneRelationship,col4,Scene
SceneRelationship,id,id
StoryRelationship,col1,Face
StoryRelationship,col2,Media
StoryRelationship,id,id
AgeRelationship,col1,Face
AgeRelationship,id,id
StatusAttribute,col1,name
StatusAttribute,col2,Int_count
StatusAttribute,col3,timestamp
StatusAttribute,id,id
ParentAttribute,col1,name
ParentAttribute,col2,Int_count
ParentAttribute,col3,timestamp
ParentAttribute,id,id
BrandAttribute,col1,name
BrandAttribute,col2,Int_count
BrandAttribute,col3,timestamp
BrandAttribute,id,id
ShoppingCategoryAttribute,col1,name
ShoppingCategoryAttribute,col2,Int_count
ShoppingCategoryAttribute,col3,timestamp
ShoppingCategoryAttribute,id,id
TransactionAttribute,col1,transactionId
TransactionAttribute,col2,rating
TransactionAttribute,col3,ratingCount
TransactionAttribute,col4,price
TransactionAttribute,col5,Int_count
TransactionAttribute,col6,timestamp
TransactionAttribute,col7,vendor
TransactionAttribute,id,id
ProductInfoAttribute,col1,name
ProductInfoAttribute,col2,Int_count
ProductInfoAttribute,col3,timestamp
ProductInfoAttribute,id,id
SessionCategoryAttribute,col1,name
SessionCategoryAttribute,col2,Int_count
SessionCategoryAttribute,col3,timestamp
SessionCategoryAttribute,id,id
ParentRelationship,col1,Transaction
ParentRelationship,col2,Brand
ParentRelationship,col3,ShoppingCategory
ParentRelationship,id,id
StatusRelationship,col1,Transaction
StatusRelationship,id,id
BrandRelationship,col1,Transaction
BrandRelationship,col2,ShoppingCategory
BrandRelationship,id,id
TransactionRelationship,col1,Brand
TransactionRelationship,col2,ShoppingCategory
TransactionRelationship,col3,Status
TransactionRelationship,col4,Parent
TransactionRelationship,col5,ProductInfo
TransactionRelationship,col6,SessionCategory
TransactionRelationship,id,id
ShoppingCategoryRelationship,col1,Transaction
ShoppingCategoryRelationship,col2,Brand
ShoppingCategoryRelationship,col3,Parent
ShoppingCategoryRelationship,id,id
ProductInfoRelationship,col1,Transaction
ProductInfoRelationship,id,id
SessionCategoryRelationship,col1,Transaction
SessionCategoryRelationship,id,id
PlaceTransactionAttribute,col1,transaction_id
PlaceTransactionAttribute,col2,Int_count
PlaceTransactionAttribute,col3,timestamp
PlaceTransactionAttribute,id,id
VenueAttribute,col1,venue_id
VenueAttribute,col2,venue_name
VenueAttribute,col3,Int_count
VenueAttribute,col4,timestamp
VenueAttribute,id,id
ChainAttribute,col1,chain_id
ChainAttribute,col2,chain_name
ChainAttribute,col3,Int_count
ChainAttribute,col4,timestamp
ChainAttribute,id,id
PlaceCategoryAttribute,col1,category_id
PlaceCategoryAttribute,col2,category_name
PlaceCategoryAttribute,col3,Int_count
PlaceCategoryAttribute,col4,timestamp
PlaceCategoryAttribute,id,id
LocationContextAttribute,col1,location_name
LocationContextAttribute,col2,Int_count
LocationContextAttribute,col3,timestamp
LocationContextAttribute,id,id
TimeContextAttribute,col1,time_context
TimeContextAttribute,col2,Int_count
TimeContextAttribute,col3,timestamp
TimeContextAttribute,id,id
DayContextAttribute,col1,day_context
DayContextAttribute,col2,Int_count
DayContextAttribute,col3,timestamp
DayContextAttribute,id,id
PlaceStatusAttribute,col1,name
PlaceStatusAttribute,col2,Int_count
PlaceStatusAttribute,col3,timestamp
PlaceStatusAttribute,id,id
PlaceTransactionRelationship,col1,Venue
PlaceTransactionRelationship,col2,Chain
PlaceTransactionRelationship,col3,PlaceCategory
PlaceTransactionRelationship,col4,TimeContext
PlaceTransactionRelationship,col5,DayContext
PlaceTransactionRelationship,col6,LocationContext
PlaceTransactionRelationship,col7,PlaceStatus
PlaceTransactionRelationship,id,id
VenueRelationship,col1,PlaceTransaction
VenueRelationship,id,id
ChainRelationship,col1,PlaceTransaction
ChainRelationship,id,id
PlaceCategoryRelationship,col1,PlaceTransaction
PlaceCategoryRelationship,id,id
LocationContextRelationship,col1,PlaceTransaction
LocationContextRelationship,id,id
TimeContextRelationship,col1,PlaceTransaction
TimeContextRelationship,id,id
DayContextRelationship,col1,PlaceTransaction
DayContextRelationship,id,id
PlaceStatusRelationship,col1,PlaceTransaction
PlaceStatusRelationship,id,id
BeautyTransactionAttribute,col1,transaction_id
BeautyTransactionAttribute,col2,Int_count
BeautyTransactionAttribute,col3,timestamp
BeautyTransactionAttribute,id,id
BeautyBrandAttribute,col1,brand_id
BeautyBrandAttribute,col2,brand_name
BeautyBrandAttribute,col3,Int_count
BeautyBrandAttribute,col4,timestamp
BeautyBrandAttribute,id,id
BeautyCategoryAttribute,col1,name
BeautyCategoryAttribute,col2,Int_count
BeautyCategoryAttribute,col3,timestamp
BeautyCategoryAttribute,id,id
BeautyStatusAttribute,col1,name
BeautyStatusAttribute,col2,Int_count
BeautyStatusAttribute,col3,timestamp
BeautyStatusAttribute,id,id
BeautyTransactionRelationship,col1,BeautyBrand
BeautyTransactionRelationship,col2,BeautyCategory
BeautyTransactionRelationship,col3,BeautyStatus
BeautyTransactionRelationship,id,id
BeautyBrandRelationship,col1,BeautyTransaction
BeautyBrandRelationship,col2,BeautyCategory
BeautyBrandRelationship,id,id
BeautyCategoryRelationship,col1,BeautyTransaction
BeautyCategoryRelationship,col2,BeautyBrand
BeautyCategoryRelationship,col3,BeautyStatus
BeautyCategoryRelationship,id,id
BeautyStatusRelationship,col1,BeautyTransaction
BeautyStatusRelationship,col2,BeautyCategory
BeautyStatusRelationship,id,id
BookTransactionAttribute,col1,transaction_id
BookTransactionAttribute,col2,Int_count
BookTransactionAttribute,col3,timestamp
BookTransactionAttribute,id,id
BookCategoryAttribute,col1,categoryName
BookCategoryAttribute,col2,Int_count
BookCategoryAttribute,col3,timestamp
BookCategoryAttribute,id,id
BookAuthorAttribute,col1,authorName
BookAuthorAttribute,col2,Int_count
BookAuthorAttribute,col3,timestamp
BookAuthorAttribute,id,id
BookStatusAttribute,col1,name
BookStatusAttribute,col2,Int_count
BookStatusAttribute,col3,timestamp
BookStatusAttribute,id,id
BookTransactionRelationship,col1,BookCategory
BookTransactionRelationship,col2,BookAuthor
BookTransactionRelationship,col3,BookStatus
BookTransactionRelationship,id,id
BookCategoryRelationship,col1,BookTransaction
BookCategoryRelationship,id,id
BookAuthorRelationship,col1,BookTransaction
BookAuthorRelationship,id,id
BookStatusRelationship,col1,BookTransaction
BookStatusRelationship,id,id
WineTransactionAttribute,col1,transaction_id
WineTransactionAttribute,col2,Int_count
WineTransactionAttribute,col3,timestamp
WineTransactionAttribute,id,id
WineTypeAttribute,col1,typeName
WineTypeAttribute,col2,Int_count
WineTypeAttribute,col3,timestamp
WineTypeAttribute,id,id
GrapeAttribute,col1,grapeName
GrapeAttribute,col2,Int_count
GrapeAttribute,col3,timestamp
GrapeAttribute,id,id
CountryAttribute,col1,countryName
CountryAttribute,col2,Int_count
CountryAttribute,col3,timestamp
CountryAttribute,id,id
RegionAttribute,col1,regionName
RegionAttribute,col2,Int_count
RegionAttribute,col3,timestamp
RegionAttribute,id,id
WineStatusAttribute,col1,name
WineStatusAttribute,col2,Int_count
WineStatusAttribute,col3,timestamp
WineStatusAttribute,id,id
WineTransactionRelationship,col1,WineType
WineTransactionRelationship,col2,Grape
WineTransactionRelationship,col3,Country
WineTransactionRelationship,col4,Region
WineTransactionRelationship,col5,WineStatus
WineTransactionRelationship,id,id
WineTypeRelationship,col1,WineTransaction
WineTypeRelationship,id,id
GrapeRelationship,col1,WineTransaction
GrapeRelationship,id,id
CountryRelationship,col1,WineTransaction
CountryRelationship,id,id
RegionRelationship,col1,WineTransaction
RegionRelationship,id,id
WineStatusRelationship,col1,WineTransaction
WineStatusRelationship,id,id
ShowroomTransactionAttribute,col1,transaction_id
ShowroomTransactionAttribute,col2,Int_count
ShowroomTransactionAttribute,col3,timestamp
ShowroomTransactionAttribute,id,id
ShowroomBrandAttribute,col1,brand_id
ShowroomBrandAttribute,col2,Int_count
ShowroomBrandAttribute,col3,timestamp
ShowroomBrandAttribute,id,id
ShowroomCategoryAttribute,col1,name
ShowroomCategoryAttribute,col2,Int_count
ShowroomCategoryAttribute,col3,timestamp
ShowroomCategoryAttribute,id,id
ShowroomStatusAttribute,col1,name
ShowroomStatusAttribute,col2,Int_count
ShowroomStatusAttribute,col3,timestamp
ShowroomStatusAttribute,id,id
ShowroomTransactionRelationship,col1,ShowroomBrand
ShowroomTransactionRelationship,col2,ShowroomCategory
ShowroomTransactionRelationship,col3,ShowroomStatus
ShowroomTransactionRelationship,id,id
ShowroomBrandRelationship,col1,ShowroomTransaction
ShowroomBrandRelationship,col2,ShowroomCategory
ShowroomBrandRelationship,id,id
ShowroomCategoryRelationship,col1,ShowroomTransaction
ShowroomCategoryRelationship,col2,ShowroomBrand
ShowroomCategoryRelationship,col3,ShowroomStatus
ShowroomCategoryRelationship,id,id
ShowroomStatusRelationship,col1,ShowroomTransaction
ShowroomStatusRelationship,col2,ShowroomCategory
ShowroomStatusRelationship,id,id
SkinCareTransactionAttribute,col1,transaction_id
SkinCareTransactionAttribute,col2,Int_count
SkinCareTransactionAttribute,col3,timestamp
SkinCareTransactionAttribute,id,id
SkinCareBrandAttribute,col1,brand_id
SkinCareBrandAttribute,col2,Int_count
SkinCareBrandAttribute,col3,timestamp
SkinCareBrandAttribute,id,id
SkinCareCategoryAttribute,col1,name
SkinCareCategoryAttribute,col2,Int_count
SkinCareCategoryAttribute,col3,timestamp
SkinCareCategoryAttribute,id,id
SkinCareStatusAttribute,col1,name
SkinCareStatusAttribute,col2,Int_count
SkinCareStatusAttribute,col3,timestamp
SkinCareStatusAttribute,id,id
SkinCareTransactionRelationship,col1,SkinCareBrand
SkinCareTransactionRelationship,col2,SkinCareCategory
SkinCareTransactionRelationship,col3,SkinCareStatus
SkinCareTransactionRelationship,id,id
SkinCareBrandRelationship,col1,SkinCareTransaction
SkinCareBrandRelationship,col2,SkinCareCategory
SkinCareBrandRelationship,id,id
SkinCareCategoryRelationship,col1,SkinCareTransaction
SkinCareCategoryRelationship,col2,SkinCareBrand
SkinCareCategoryRelationship,col3,SkinCareStatus
SkinCareCategoryRelationship,id,id
SkinCareStatusRelationship,col1,SkinCareTransaction
SkinCareStatusRelationship,col2,SkinCareCategory
SkinCareStatusRelationship,id,id
version,7,
