key,type,value
/settings/connection_manager/conn_tracking/14/1,4,0
/settings/connection_manager/conn_tracking/14/0,4,3600000
/settings/connection_manager/conn_tracking/15/3,4,0
/settings/connection_manager/conn_tracking/15/2,4,0
/settings/connection_manager/conn_tracking/15/1,4,0
/settings/connection_manager/conn_tracking/15/0,4,3600000
/config/sessionless_gk/last_fetch_time_ms,4,1618546970344
/X.5Vj/X.5WT,4,1618546970347
/X.5Vj/X.5WS,4,1618546970346
/X.5Vj/X.5Vr,4,1618546970347
/X.5Vj/X.5Wy,4,1618546970345
/X.5Vj/failures/X.5X1,3,8
/X.5Vj/X.2gy,4,1618546970345
/X.5Vj/X.5WH,4,1618546970347
/X.5Vj/X.5X1,4,1618546970347
/settings/connection_manager/conn_tracking/16/2,4,0
/settings/connection_manager/conn_tracking/16/1,4,0
/settings/connection_manager/conn_tracking/16/0,4,3600000
/settings/connection_manager/conn_tracking/16/3,4,0
/X.5Vj/executed/X.5WO,2,0
/settings/connection_manager/conn_tracking/17/1,4,0
/settings/connection_manager/conn_tracking/17/0,4,15847
/settings/connection_manager/conn_tracking/17/3,4,0
/settings/connection_manager/conn_tracking/17/2,4,3584152
/X.5Vj/X.5WN,4,1618924209481
/settings/connection_manager/conn_tracking/18/0,4,0
/settings/connection_manager/conn_tracking/18/3,4,0
/settings/connection_manager/conn_tracking/18/2,4,3600000
/settings/connection_manager/conn_tracking/18/1,4,0
/settings/connection_manager/conn_tracking/19/3,4,0
/settings/connection_manager/conn_tracking/19/2,4,3600000
/settings/connection_manager/conn_tracking/19/1,4,0
/settings/connection_manager/conn_tracking/19/0,4,0
/settings/connection_manager/conn_tracking/20/1,4,0
/settings/connection_manager/conn_tracking/20/0,4,3600000
/settings/connection_manager/conn_tracking/20/3,4,0
/settings/connection_manager/conn_tracking/20/2,4,0
/settings/connection_manager/conn_tracking/21/0,4,148324
/settings/connection_manager/conn_tracking/21/3,4,0
/settings/connection_manager/conn_tracking/21/2,4,3451675
/settings/connection_manager/conn_tracking/21/1,4,0
/settings/connection_manager/conn_tracking/22/3,4,0
/settings/connection_manager/conn_tracking/22/2,4,0
/settings/connection_manager/conn_tracking/22/1,4,0
/settings/connection_manager/conn_tracking/22/0,4,3600000
/settings/connection_manager/conn_tracking/23/3,4,0
/settings/connection_manager/conn_tracking/23/2,4,0
/settings/connection_manager/conn_tracking/23/1,4,0
/settings/connection_manager/conn_tracking/23/0,4,3600000
/settings/connection_manager/conn_tracking/24/3,4,0
/settings/connection_manager/conn_tracking/24/2,4,0
/settings/connection_manager/conn_tracking/24/1,4,0
/settings/connection_manager/conn_tracking/24/0,4,3600000
/settings/connection_manager/conn_tracking/25/3,4,0
/settings/connection_manager/conn_tracking/25/2,4,0
/settings/connection_manager/conn_tracking/25/1,4,0
/settings/connection_manager/conn_tracking/25/0,4,3600000
/settings/connection_manager/conn_tracking/26/3,4,0
/settings/connection_manager/conn_tracking/26/2,4,1217602
/settings/connection_manager/conn_tracking/26/1,4,0
/settings/connection_manager/conn_tracking/26/0,4,2382398
/settings/connection_manager/conn_tracking/27/2,4,1714509
/settings/connection_manager/conn_tracking/27/1,4,0
/settings/connection_manager/conn_tracking/27/0,4,1885491
/settings/connection_manager/conn_tracking/27/3,4,0
/settings/connection_manager/conn_tracking/28/1,4,0
/settings/connection_manager/conn_tracking/28/0,4,1852703
/settings/connection_manager/conn_tracking/28/3,4,0
/settings/connection_manager/conn_tracking/28/2,4,1747296
/config/path_provider/eviction.v2/1598825742,1,"{""size_config"":{""max_size"":62914560,""max_size_low_space_bytes"":20971520,""max_size_very_low_space_bytes"":4194304,""delete_only_on_init"":false,""is_itemized"":false},""staleness_config"":{""stale_age_s"":5184000,""is_itemized"":false},""eviction_type"":""stash"",""cache_name"":""fresco"",""feature_name"":""image"",""path"":""\/data\/user\/0\/com.facebook.orca\/cache\/image""}"
/config/path_provider/eviction.v2/1361508925,1,"{""size_config"":{""max_size"":4194304,""max_size_low_space_bytes"":4194304,""max_size_very_low_space_bytes"":262144,""delete_only_on_init"":false,""is_itemized"":false},""staleness_config"":{""stale_age_s"":5184000,""is_itemized"":false},""eviction_type"":""stash"",""cache_name"":""fresco_small"",""feature_name"":""image"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_image""}"
/version/,3,3
/messenger/debug_messenger_notificaiton_service_last_intent_action,1,com.facebook.orca.notify.ACTION_CLEAR_SWITCH_TO_FB_ACCOUNT_NOTIFICATION
/messenger/debug_messenger_notificaiton_service_last_intent_timestamp,4,7394797
/netchecker/last_not_captive_portal_time,4,65286
/netchecker/last_not_captive_portal_network_name,1,WIFI/
