history_id,time_stamp,attack_type,reason
11,210505041320,18,hotspotandroid s 451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c : NOT_DETECTED
12,210505041320,19,hotspotios s 451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c : NOT_DETECTED
13,210505041320,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
14,210505041324,8,Beacon timing inspection EVENT: Start on 8471b3b80a96f9977082305f0b5fda5986c1ee81a09e7453d15f4a3e5f8591c3 [451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c]
15,210505041330,8,"Unstable frames: 0
Beacon loss rate: 0/59 = 0 %
PN Ratio: (30:30)"
16,210505041330,8,Beacon timing inspection EVENT: Estimated as normal on 8471b3b80a96f9977082305f0b5fda5986c1ee81a09e7453d15f4a3e5f8591c3 [451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c]
17,210505041330,8,beacontiming s 451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c : NOT_DETECTED
18,210505042131,17,setCurrentBss - isBeacon : false - bssid : dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050500190000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180205001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
19,210505042131,17,setCurrentBss - isBeacon : false - bssid : dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050500190000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180205001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
20,210505042131,18,hotspotandroid s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
21,210505042132,19,hotspotios s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
22,210505042132,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
23,210505042135,8,Beacon timing inspection EVENT: Start on 53edb948a48e2368b4b422d57986761a84012a650d00ee9f6317201d2670b5b1 [dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005]
24,210505042139,8,Beacon timing inspection EVENT: Start on 53edb948a48e2368b4b422d57986761a84012a650d00ee9f6317201d2670b5b1 [dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005]
25,210505042144,8,"Unstable frames: 0
Beacon loss rate: 0/46 = 0 %
PN Ratio: (40:42)"
26,210505042144,8,Beacon timing inspection EVENT: Estimated as normal on 53edb948a48e2368b4b422d57986761a84012a650d00ee9f6317201d2670b5b1 [dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005]
27,210505042144,8,beacontiming s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
28,210507225429,17,setCurrentBss - isBeacon : true - bssid : dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 - 01088c129824b048606c05040001010030140100000fac040100000fac040100000fac020c000b050200890000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d04000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd310050f204104a0001101044000102104700102915df3266e929444451375a712f9321103c0001031049000600372a000120dd090010180202001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
29,210507225429,18,hotspotandroid s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
30,210507225429,19,hotspotios s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
31,210507225433,8,Beacon timing inspection EVENT: Start on 53edb948a48e2368b4b422d57986761a84012a650d00ee9f6317201d2670b5b1 [dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005]
32,210507225442,8,"Unstable frames: 0
Beacon loss rate: 33/90 = 36 %
PN Ratio: (29:33)"
33,210507225442,8,Beacon timing inspection EVENT: Estimated as normal on 53edb948a48e2368b4b422d57986761a84012a650d00ee9f6317201d2670b5b1 [dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005]
34,210507225442,8,beacontiming s dd92f1a3e788bd355c067d31f17ee36b1a300ac8849925c52f855a8700a43005 : NOT_DETECTED
35,210520212031,17,setCurrentBss - isBeacon : false - bssid : d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050400b80000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180204001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
36,210520212031,18,hotspotandroid s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
37,210520212031,19,hotspotios s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
38,210520212038,8,Beacon timing inspection EVENT: Start on f944f2a6cfb627f0a73ad4285c483b2352cbb52d41a166451eaa6c8fcd5641e1 [d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b]
39,210520212047,8,"Unstable frames: 0
Beacon loss rate: 4/88 = 4 %
PN Ratio: (43:47)"
40,210520212047,8,Beacon timing inspection EVENT: Estimated as normal on f944f2a6cfb627f0a73ad4285c483b2352cbb52d41a166451eaa6c8fcd5641e1 [d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b]
41,210520212047,8,beacontiming s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
42,210525152714,17,setCurrentBss - isBeacon : false - bssid : d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050100100000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180201001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
43,210525152714,18,hotspotandroid s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
44,210525152714,19,hotspotios s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
45,210525152715,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
46,210525152718,8,Beacon timing inspection EVENT: Start on f944f2a6cfb627f0a73ad4285c483b2352cbb52d41a166451eaa6c8fcd5641e1 [d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b]
47,210525152727,8,"Unstable frames: 0
Beacon loss rate: 9/90 = 10 %
PN Ratio: (70:65)"
48,210525152727,8,Beacon timing inspection EVENT: Estimated as normal on f944f2a6cfb627f0a73ad4285c483b2352cbb52d41a166451eaa6c8fcd5641e1 [d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b]
49,210525152727,8,beacontiming s d959390766a8d787f58b19c29f4c2d1e7ba6eb504dfc3fe50d15a78bceeaa05b : NOT_DETECTED
50,210613135341,17,setCurrentBss - isBeacon : false - bssid : 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050200190000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180202001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
51,210613135341,18,hotspotandroid s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : NOT_DETECTED
52,210613135341,19,hotspotios s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : NOT_DETECTED
53,210613135341,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
54,210613135346,8,Beacon timing inspection EVENT: Start on 2624732ec98a9dded503c158a2a6e7947ff0f544baaeb4f309387e11c3242014 [0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75]
55,210613135355,8,"Unstable frames: 0
Beacon loss rate: 8/93 = 8 %
PN Ratio: (54:60)"
56,210613135355,8,Beacon timing inspection EVENT: Estimated as normal on 2624732ec98a9dded503c158a2a6e7947ff0f544baaeb4f309387e11c3242014 [0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75]
57,210613135355,8,beacontiming s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : NOT_DETECTED
58,210613212319,17,setCurrentBss - isBeacon : false - bssid : 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050300150000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d04000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180203001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
59,210613212320,18,hotspotandroid s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : NOT_DETECTED
60,210613212320,19,hotspotios s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : NOT_DETECTED
61,210613212320,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
62,210613212323,8,Beacon timing inspection EVENT: Start on 2624732ec98a9dded503c158a2a6e7947ff0f544baaeb4f309387e11c3242014 [0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75]
63,210613212328,8,Inspection complete [0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75] Congested (5.02 sec)
64,210613212328,8,beacontiming s 0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75 : UNKNOWN
65,210613212328,8,"Beacon timing inspection EVENT: Stopped on 2624732ec98a9dded503c158a2a6e7947ff0f544baaeb4f309387e11c3242014 [0c1d1e47f685797662fb32ac5dac6e37fc1112965b112a1d5d802002b0572d75], Result: Congested, RF classified as Unknown type"
66,210622024522,17,setCurrentBss - isBeacon : false - bssid : 70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b0502000f0000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180202001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
67,210622024522,18,hotspotandroid s 70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d : NOT_DETECTED
68,210622024522,19,hotspotios s 70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d : NOT_DETECTED
69,210622024522,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
70,210622024526,8,Beacon timing inspection EVENT: Start on 6d52d07c90f4e298624c6c86b4246a763f56fdeec0758c571d9f0baa90b08a4a [70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d]
71,210622024535,8,"Unstable frames: 0
Beacon loss rate: 0/88 = 0 %
PN Ratio: (57:49)"
72,210622024535,8,Beacon timing inspection EVENT: Estimated as normal on 6d52d07c90f4e298624c6c86b4246a763f56fdeec0758c571d9f0baa90b08a4a [70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d]
73,210622024535,8,beacontiming s 70cdf5f58aa05737966010aa6d9f7140da369352cfb514d2b8156c8e50bdcc3d : NOT_DETECTED
74,210622141645,17,setCurrentBss - isBeacon : false - bssid : 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050400150000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180204001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
75,210622141645,18,hotspotandroid s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
76,210622141645,19,hotspotios s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
77,210622141646,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
78,210622141649,8,Beacon timing inspection EVENT: Start on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
79,210622141653,8,Beacon timing inspection EVENT: Start on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
80,210622141700,8,"Unstable frames: 0
Beacon loss rate: 0/66 = 0 %
PN Ratio: (61:59)"
81,210622141700,8,Beacon timing inspection EVENT: Estimated as normal on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
82,210622141700,8,beacontiming s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
83,210622201325,17,setCurrentBss - isBeacon : false - bssid : 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050400050000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180204001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
84,210622201325,18,hotspotandroid s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
85,210622201325,19,hotspotios s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
86,210622201326,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
87,210623034246,17,setCurrentBss - isBeacon : false - bssid : 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b0507000e0000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180207001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
88,210623034247,18,hotspotandroid s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
89,210623034247,19,hotspotios s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
90,210623034247,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
91,210623194851,17,setCurrentBss - isBeacon : false - bssid : 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050200270000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180202001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
92,210623194851,18,hotspotandroid s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
93,210623194851,19,hotspotios s 1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556 : NOT_DETECTED
94,210623194852,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
95,210623194903,8,Beacon timing inspection EVENT: Start on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
96,210623194905,8,Beacon timing inspection EVENT: Start on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
97,210623194906,8,Beacon timing inspection EVENT: Start on 4dae3f99c7aaa7aab151ca0d854ed25779a56bf7116743944f32386e83814516 [1b15eb401ad795e80e20553a1799b59bb8c011f7ccc43a31d37287c45b2d5556]
98,210628231822,17,setCurrentBss - isBeacon : false - bssid : 579d735f3b42da2233291383ad2ccd753ec5317bde81df39bd997751eb74b01c - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050400180000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180204001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
99,210628231822,18,hotspotandroid s 579d735f3b42da2233291383ad2ccd753ec5317bde81df39bd997751eb74b01c : NOT_DETECTED
100,210628231822,19,hotspotios s 579d735f3b42da2233291383ad2ccd753ec5317bde81df39bd997751eb74b01c : NOT_DETECTED
101,210628231826,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
102,210628231826,8,Beacon timing inspection EVENT: Start on 82d47ae880e866a38f346b4574f66c39e9f1bb8ca9b5e8dad307770dcf58822e [579d735f3b42da2233291383ad2ccd753ec5317bde81df39bd997751eb74b01c]
103,210628231832,8,Beacon timing inspection EVENT: Start on 82d47ae880e866a38f346b4574f66c39e9f1bb8ca9b5e8dad307770dcf58822e [579d735f3b42da2233291383ad2ccd753ec5317bde81df39bd997751eb74b01c]
104,210628232258,17,setCurrentBss - isBeacon : false - bssid : 8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050300140000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180203001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
105,210628232258,18,hotspotandroid s 8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f : NOT_DETECTED
106,210628232258,19,hotspotios s 8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f : NOT_DETECTED
107,210628232300,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
108,210628232302,8,Beacon timing inspection EVENT: Start on 9ba1e5a1ffbaa4149f9ac1c89274ed15520ef19ddce474780e456aeb9ca85886 [8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f]
109,210628232306,8,"Unstable frames: 0
Beacon loss rate: 0/33 = 0 %
PN Ratio: (29:28)"
110,210628232306,8,Beacon timing inspection EVENT: Estimated as normal on 9ba1e5a1ffbaa4149f9ac1c89274ed15520ef19ddce474780e456aeb9ca85886 [8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f]
111,210628232306,8,beacontiming s 8efbe4b5efdb04e0bce5c6944290f37784506ea379e0e7948e6321076b0cac9f : NOT_DETECTED
112,210702010853,17,setCurrentBss - isBeacon : false - bssid : 18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b0503000f0000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180203001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
113,210702010853,18,hotspotandroid s 18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49 : NOT_DETECTED
114,210702010853,19,hotspotios s 18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49 : NOT_DETECTED
115,210702010855,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
116,210702010857,8,Beacon timing inspection EVENT: Start on f14ed9b4a5844bfd9b454d14dbeaa6aca61e2733cf0e75ee382c2dd4d9c80331 [18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49]
117,210702010906,8,"Unstable frames: 0
Beacon loss rate: 2/88 = 2 %
PN Ratio: (53:57)"
118,210702010906,8,Beacon timing inspection EVENT: Estimated as normal on f14ed9b4a5844bfd9b454d14dbeaa6aca61e2733cf0e75ee382c2dd4d9c80331 [18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49]
119,210702010906,8,beacontiming s 18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49 : NOT_DETECTED
120,210702170543,17,setCurrentBss - isBeacon : false - bssid : 18a59cda08a66e7ae92cb35fae1cc5829f050a4d6ac19bef962dc43095594e49 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050400120000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180204001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
