parent_class,child_class,parent_title,child_title
com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,Advanced,Ask to use Bluetooth
com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Single-tap typing
com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,Mouse/trackpad,Pointer speed
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Internet settings,Sites and downloads
com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Lock screen,Notifications
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Wi-Fi scan throttling
com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Navigation type
com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Real Time Text
com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Show notification icons
com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,Software information,Knox Configure
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,System sound
com.samsung.android.app.calendar.activity.ReminderSettingsActivity,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,Alert settings,Events
com.samsung.android.honeyboard.settings.handwriting.HwrSettings,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,Handwriting,Switch Simp./Trad. Ch.
com.android.settings.datetime.DateTimeSettings,com.android.settings.datetime.DateTimeSettings,Date and time,Use 24-hour format
com.samsung.android.settings.activekey.ActiveKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Active key,Press and hold
com.samsung.android.settings.security.OtherSecuritySettings,com.android.settings.applications.specialaccess.deviceadmin.DeviceAdminSettings,Other security settings,Device admin apps
com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Google subtitles (CC)
com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.homepage.AccessibilityHomepageActivity,Accessibility,Advanced settings
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.wifi.savedaccesspoints.SavedAccessPointsSettings,Status information,Wi-Fi MAC address
com.android.settings.system.ResetDashboardFragment,com.android.settings.MasterClear,Reset,Factory data reset
com.android.settings.tts.TextToSpeechSettings,com.android.settings.tts.TextToSpeechSettings,Text-to-speech,Language
com.samsung.android.settings.connection.ConnectionsSettings,com.android.settings.wifi.WifiSettings,Connections,Wi-Fi
com.android.settings.deviceinfo.aboutphone.MyDeviceInfoFragment,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,About phone,Software information
com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Mobile networks
com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak the number of list items on the screen
com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Block numbers and messages,Block numbers
com.android.settings.applications.manageapplications.ManageApplications,com.android.settings.applications.manageapplications.ManageApplications,Apps,Samsung app settings
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Show view updates
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Ringtone
com.android.settings.DisplaySettings,com.samsung.android.settings.display.NewModePreview,Display,Screen mode
com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,Mouse and trackpad,Tap to click
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Notification sounds
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.RunningServices,Developer options,Running services
com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.applications.specialaccess.interactacrossprofiles.InteractAcrossProfilesSettings,Special access,Connected personal and work apps
com.samsung.android.settings.security.OtherSecuritySettings,com.android.settings.security.trustagent.TrustAgentSettings,Other security settings,Trust agents
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable Wi-Fi Verbose Logging
com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Customization Service
com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,Bring data from old device
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Allow screen overlays on Settings
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Keyboard toolbar
com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Touch interactions
com.samsung.android.sm.score.ui.ScoreBoardActivity,com.samsung.android.sm.advanced.AdvancedSettingsActivity,Battery and device care,Automation
com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,LED indicator
com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Customize My Files home
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Play sound for keypad taps
com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,More typing options,Auto capitalize
com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,Chinese input options,Suggest trad. Chinese
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable ScrollFilter
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.samsung.android.settings.development.actions.ActionsTestFragment,Developer options,Actions UI demo
com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,com.android.settings.datausage.UnrestrictedDataAccess,Restrict background data,Use data without restrictions
com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,Multimedia messages,Group conversation
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Verbose vendor logging
com.samsung.android.settings.connection.WirelessSettings,com.android.settings.vpn2.VpnSettings,More connection settings,VPN
com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Show Wi-Fi pop-up
com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,More settings,Delete old messages
com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeLimiterSettings,Volume,Media volume limit
com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchfeedback.KeyTapFeedbackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchfeedback.KeyTapFeedbackSettings,Touch feedback,Sound
com.android.settings.datetime.timezone.TimeZoneSettings,com.android.settings.datetime.timezone.TimeZoneSettings,Select time zone,Region
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Verify apps over USB
com.samsung.android.samsungaccount.setting.ui.main.SettingMainPreference,com.samsung.android.samsungaccount.setting.ui.personalinfo.SettingPersonalInfoPreference,Samsung account,Profile info
com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Show button to hide keyboard
com.android.settings.DisplaySettings,com.android.settings.DisplaySettings,Display,Outdoor mode
com.android.settings.security.InstallCertificateFromStorage,com.android.settings.security.InstallCertificateFromStorage,Install from device storage,CA certificate
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Appearance,Show tabs below address bar
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Minimum width
com.android.settings.AllInOneTetherSettings,com.android.settings.AllInOneTetherSettings,Mobile Hotspot and Tethering,Turn off hotspot automatically
com.android.settings.tts.TextToSpeechSettings,com.android.settings.tts.TtsEnginePreferenceFragment,Text-to-speech,Preferred engine
com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,About My Files
com.samsung.accessibility.assistantmenu.settings.AssistantMenuSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuSettingsActivity,Assistant menu,Assistant menu size
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Camera Laser Sensor
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,General
com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Never sleeping apps
com.samsung.android.sm.battery.ui.BatteryActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Battery,Power saving mode
com.android.launcher3.settings.usedex.HowToUseDex,com.android.launcher3.settings.usedex.UseKeyboardShortcut,How to use Samsung DeX,Use keyboard shortcuts
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth Audio LDAC Codec: Playback Quality
com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Reduce window announcement delay
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Up time
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Caller ID and spam protection,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Caller ID and spam protection,Caller ID and spam protection,Block spam and scam calls
com.android.settings.applications.manageapplications.ManageApplications,com.android.settings.applications.specialaccess.SpecialAccessSettings,Apps,Special access
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,4G MAC address
com.android.homescreen.settings.HomeScreenSettingsActivity,com.android.homescreen.settings.HomeScreenSettingsActivity,Home screen settings,Add new apps to Home screen
com.samsung.android.samsungaccount.authentication.ui.signup.AccountHelpPreference,com.samsung.android.samsungaccount.authentication.ui.signup.AccountHelpPreference,Help,Forgot your ID or password?
com.android.settings.wifi.WifiSettings,com.android.settings.wifi.p2p.WifiP2pSettings,Wi-Fi,Wi-Fi Direct
com.android.settings.localepicker.LocaleListEditor,com.android.settings.localepicker.LocaleListEditor,Language,Add language
com.samsung.android.forest.home.DefaultActivity,com.samsung.android.forest.weekly.WeeklyReportActivity,Digital Wellbeing and parental controls,Weekly report
com.android.settings.system.ResetDashboardFragment,com.samsung.android.settings.general.ResetAccSettings,Reset,Reset accessibility settings
com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,Secure lock settings,Lock instantly with Side key
com.samsung.android.settings.notification.SecVolumeLimiterSettings,com.samsung.android.settings.notification.SecVolumeLimiterSettings,Media volume limit,Custom volume limit
com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,Advanced,Received files
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Store logger data persistently on device
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable Gabeldorsche
com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Flash notification
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,App lock
com.samsung.android.honeyboard.settings.styleandlayout.modes.ModesSettings,com.samsung.android.honeyboard.settings.styleandlayout.modes.ModesSettings,Mode,Split keyboard
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Strict mode enabled
com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,Software information,Kernel version
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Profile HWUI rendering
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Show contacts when sharing content
com.samsung.android.honeyboard.settings.handwriting.HwrSettings,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,Handwriting,Pen detection
com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,"Swipe, touch, and feedback",Touch feedback
com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Service provider
com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Magnification
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Background process limit
com.android.settings.LegalSettings,com.android.settings.LegalSettings,Legal information,License
com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Register face
com.samsung.android.settings.notification.SecVibrationIntensitySettings,com.samsung.android.settings.notification.SecVibrationIntensitySettings,Vibration intensity,Touch interaction
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,OEM unlocking
com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak element type
com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,Secure lock settings,Lock when folded
com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Magnifier window
com.samsung.android.settings.notification.SecVibrationIntensitySettings,com.samsung.android.settings.notification.SecVibrationIntensitySettings,Vibration intensity,Incoming call
com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Ask to use WLAN
com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Explore by touch
com.android.homescreen.settings.HomeScreenSettingsActivity,com.android.homescreen.settings.HomeScreenSettingsActivity,Home screen settings,Lock Home screen layout
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Festival effect
com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,com.samsung.accessibility.Activities$AccessibilitySettingsMobilityActivity,Interaction and dexterity,Touch and hold delay
com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Advanced Calling
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Link to Windows
com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.homepage.AccessibilityHomepageActivity,Accessibility,Visibility enhancements
com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.GigaLteSettings,Connections,GIGA 4.5G
com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.connection.GigaMultiPath,More connection settings,Giga Multi-Path
com.android.settings.system.ResetDashboardFragment,com.android.settings.ResetNetwork,Reset,Reset network settings
com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.connection.ethernet.EthernetSettings,More connection settings,Ethernet
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Chinese input options
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Shared data
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,System sound theme
com.samsung.android.settings.deviceinfo.status.SimStatus,com.samsung.android.settings.deviceinfo.status.SimStatus,SIM card status,EID
com.samsung.android.forest.home.DefaultActivity,com.samsung.android.forest.home.DefaultActivity,Digital Wellbeing and parental controls,Focus mode
com.samsung.android.settings.activekey.XcoverTopKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Top key,Press and hold
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,HD audio
com.samsung.android.settings.activekey.ActiveKeySettings,com.samsung.android.settings.activekey.ActiveKeySettings,Active key,Use while screen locked
com.samsung.accessibility.advanced.flashnotification.FlashNotificationPreferenceFragment,com.samsung.accessibility.Activities$FlashNotificationActivity,Flash notification,Screen flash notification
com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,Tutorial and help,Tutorial
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,Sounds and vibration,System sound
com.android.settings.datausage.DataUsageSummary,com.android.settings.datausage.DataUsageSummary,Data usage,Roaming
com.samsung.android.settings.display.HighRefreshRateFragment,com.samsung.android.settings.display.HighRefreshRateFragment,Motion smoothness,Standard
com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.LockScreenSettings,Lock screen,Smart Lock
com.samsung.android.settings.inputmethod.ChangeLanguageShortcutOptionFragment,com.samsung.android.settings.inputmethod.ChangeLanguageShortcutOptionFragment,Change language shortcut,Left Alt + Shift
com.samsung.accessibility.assistantmenu.settings.AssistantMenuMoreSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuMoreSettingsActivity,"Touchpad, cursor, and magnifier settings",Touchpad size
com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Fingerprints,Check added fingerprints
com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionSettings,com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionSettings,Suggest stickers while typing,AR Emoji
com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,Software information,Knox version
com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Power saving mode,Limit apps and Home screen
com.samsung.android.settings.deviceinfo.status.SimStatus,com.samsung.android.settings.deviceinfo.status.SimStatus,SIM card status,ICCID
com.samsung.android.settings.deviceinfo.ServiceInfoSettings,com.samsung.android.settings.deviceinfo.ServiceInfoSettings,Service information,Contact us
