_id,table_name,name,type_name,default_value,is_nullable,is_primary,is_autoincrement,is_deleted,is_added,foreign_table,foreign_column,on_foreign_key_update,on_foreign_key_delete
1041,messages,montage_reply_story_media_type,TEXT,,1,0,0,0,0,,,,
1042,messages,montage_reply_story_name,TEXT,,1,0,0,0,0,,,,
1043,messages,montage_reply_story_type,TEXT,,1,0,0,0,0,,,,
1044,messages,montage_story_type,TEXT,,1,0,0,0,0,,,,
1045,messages,montage_branded_camera_share_attribution,TEXT,,1,0,0,0,0,,,,
1046,messages,montage_attribution,TEXT,,1,0,0,0,0,,,,
1047,messages,generic_admin_message_extensible_data,TEXT,,1,0,0,0,0,,,,
1048,messages,profile_ranges,TEXT,,1,0,0,0,0,,,,
1049,messages,admin_relationship_message_title,TEXT,,1,0,0,1,0,,,,
1050,messages,tree_message_replied_to_data,TEXT,,1,0,0,0,1,,,,
1051,messages,message_replied_to_data,TEXT,,1,0,0,1,0,,,,
1052,messages,copy_message_id,TEXT,,1,0,0,0,0,,,,
1053,messages,montage_metadata,TEXT,,1,0,0,0,0,,,,
1054,messages,work_bot_should_show_get_started_cta,INTEGER,,1,0,0,0,0,,,,
1055,messages,translations,TEXT,,1,0,0,1,0,,,,
1056,messages,transcriptions,TEXT,,1,0,0,1,1,,,,
1057,messages,transcriptions_v2,TEXT,,1,0,0,0,1,,,,
1058,messages,unsent_timestamp_ms,INTEGER,0,1,0,0,0,1,,,,
1059,messages,unsendability_status,TEXT,,1,0,0,0,1,,,,
1060,messages,snippet,TEXT,,1,0,0,0,1,,,,
1061,messages,message_replied_to_id,TEXT,,1,0,0,0,1,,,,
1062,messages,message_replied_to_status,TEXT,NONE,1,0,0,0,1,,,,
1063,messages,genie_original_sender,TEXT,,1,0,0,0,1,,,,
1064,messages,ad_client_token,TEXT,,1,0,0,0,1,,,,
1065,messages,powerup_type,INTEGER,0,1,0,0,0,1,,,,
1066,messages,sound_bite,TEXT,,1,0,0,0,1,,,,
1067,threads,_id,INTEGER,,0,1,1,0,0,,,,
1068,threads,unopened_montage_directs,TEXT,,1,0,0,1,0,,,,
1069,threads,me_bubble_color,INTEGER,,1,0,0,1,0,,,,
1070,threads,other_bubble_color,INTEGER,,1,0,0,1,0,,,,
1071,threads,wallpaper_color,INTEGER,,1,0,0,1,0,,,,
1072,threads,had_messenger_call,INTEGER,0,1,0,0,1,0,,,,
1073,threads,last_aloha_call_conference_id,TEXT,,1,0,0,1,0,,,,
1074,threads,page_comm_item_data,TEXT,,1,0,0,1,0,,,,
1075,threads,landing_screen_display_status,INTEGER,0,1,0,0,1,1,,,,
1076,threads,landing_screen_change_key,TEXT,,1,0,0,1,1,,,,
1077,threads,bonfire_user_id,TEXT,,1,0,0,1,0,,,,
1078,threads,should_show_school_chat_invite,INTEGER,0,1,0,0,1,1,,,,
1079,threads,is_high_school_course_chat,INTEGER,0,1,0,0,1,1,,,,
1080,threads,policy_violation_content_visibility,INTEGER,0,1,0,0,1,1,,,,
1081,threads,thread_key,TEXT,,1,0,0,0,0,,,,
1082,threads,legacy_thread_id,TEXT,,1,0,0,0,0,,,,
1083,threads,sequence_id,INTEGER,,1,0,0,0,0,,,,
1084,threads,name,TEXT,,1,0,0,0,0,,,,
1085,threads,senders,TEXT,,1,0,0,0,0,,,,
1086,threads,snippet,TEXT,,1,0,0,0,0,,,,
1087,threads,snippet_sender,TEXT,,1,0,0,0,0,,,,
1088,threads,admin_snippet,TEXT,,1,0,0,0,0,,,,
1089,threads,timestamp_ms,INTEGER,,1,0,0,0,0,,,,
1090,threads,last_read_timestamp_ms,INTEGER,,1,0,0,0,0,,,,
1091,threads,approx_total_message_count,INTEGER,,1,0,0,0,0,,,,
1092,threads,unread_message_count,INTEGER,,1,0,0,0,0,,,,
1093,threads,last_fetch_time_ms,INTEGER,,1,0,0,0,0,,,,
1094,threads,pic_hash,TEXT,,1,0,0,0,0,,,,
