packageName,count
com.google.ar.sceneviewer.android.user#com.google.android.googlequicksearchbox,19
com.google.android.gms.icing.mdd#com.google.android.gms,19
com.google.android.gms.geotimezone,6
com.google.android.gms.vision,3
com.google.android.gms.icing.mdd#com.google.android.googlequicksearchbox,25
com.google.android.gms.icing.mdd,22
com.google.android.gms.audit,4
com.google.android.tts#com.google.android.tts,11
com.google.android.libraries.notifications#com.google.android.googlequicksearchbox,29
com.google.android.libraries.notifications#com.google.android.gm,12
com.google.android.libraries.notifications#com.google.android.apps.docs,13
com.google.android.libraries.notifications#com.google.android.apps.maps,15
com.google.android.libraries.notifications#com.google.android.syncadapters.calendar,10
com.google.android.libraries.subscriptions#com.google.android.apps.photos,23
com.google.android.videos,38
com.google.android.libraries.subscriptions#com.google.android.apps.docs,22
com.google.android.platform.device_personalization_services,38
com.google.android.gms.chimera,10
com.google.android.gms.auth.api.credentials,8
com.google.android.gms.icing,38
com.google.android.gms.instantapps,13
com.google.android.platform.app_compat_overrides,1
com.google.android.platform.alarm_manager,1
com.google.android.platform.surface_flinger_native_boot,1
com.google.android.platform.media,1
com.google.android.setupwizard,11
com.google.android.gms.credential_manager,5
com.google.android.gms.contextmanager,27
com.google.android.gms.games,30
com.google.android.libraries.notifications#com.google.android.apps.photos,23
com.google.android.gms.cast,15
com.google.android.gms.accountsettings,21
com.google.android.libraries.search.rendering.xuikit.device#com.android.chrome,7
com.google.android.gms.gcm,25
assistant_auto_tng_libraries_user#com.google.android.googlequicksearchbox,22
com.google.android.libraries.mediahome.providers.video#com.google.android.videos,15
com.google.android.platform.netd_native,4
com.google.android.gms.trustlet_place,14
com.google.ar.core.services,13
com.google.android.gms.maps,9
com.google.android.libraries.search.rendering.xuikit.device#com.google.android.googlequicksearchbox,29
com.google.android.gms.autofill,51
com.google.android.gms.trustagent,8
com.google.android.gms.locationsharing,9
com.google.android.gms.auth_account,53
com.google.android.gms.auth.blockstore,16
com.google.android.gms.nnapi.drivermanager,5
com.google.android.libraries.surveys#com.google.android.gms,20
com.google.android.gms.presencemanager,3
com.google.android.gms.gmscompliance.gservices,11
com.google.android.gms.permissions,19
com.google.android.gms.ads,17
com.google.android.gms.ulr,18
com.google.android.gms.setupservices,19
com.google.android.gms.constellation,29
com.google.android.gms.feedback,17
com.google.android.gms.adsidentity,14
com.google.android.gms.auth_cryptauth,19
com.google.android.gms.fitness,35
com.google.android.gms.locationsharingreporter,11
com.google.android.gms.auth_managed,19
com.google.android.gms.potokens,31
com.google.android.gms.learning.platformservices.sharing,14
com.google.android.gms.statementservice,5
com.google.android.gms.chimera_debug,14
com.google.android.gms.fido,19
com.google.android.gms.gass,19
com.google.android.gms.gmscompliance,17
com.google.android.gms.findmydevice,9
com.google.android.gms.checkin,18
com.google.android.gms.smartdevice,42
com.google.lighter.android#com.google.android.gms,34
com.google.android.libraries.vpn.gcs.autowifi#com.google.android.gms,16
com.google.android.libraries.user.profile.photopicker#com.google.android.gm,12
com.google.android.libraries.performance.primes#com.google.android.videos,21
com.google.android.libraries.performance.primes#com.google.android.apps.tachyon,18
com.google.android.libraries.performance.primes#com.google.android.gm,6
com.google.android.libraries.performance.primes#com.google.android.music,15
com.google.android.libraries.performance.primes#com.google.android.projection.gearhead,5
com.google.android.libraries.performance.primes#com.google.ar.core,17
com.google.android.libraries.performance.primes#com.google.android.googlequicksearchbox,31
com.google.android.libraries.performance.primes#com.google.android.apps.turbo,8
com.google.android.libraries.performance.primes#com.google.android.apps.maps,14
com.google.android.libraries.performance.primes#com.google.android.youtube,17
com.google.android.libraries.performance.primes#com.google.android.tts,8
com.google.android.libraries.performance.primes#com.google.android.apps.photos,29
com.google.android.libraries.performance.primes#com.google.android.gms,24
com.google.android.libraries.performance.primes#com.google.android.apps.docs,21
com.google.android.gms.auth_api_phone,21
com.google.android.apps.search.transcription.device#com.google.android.googlequicksearchbox,29
com.google.android.libraries.search.device#com.google.android.googlequicksearchbox,28
com.google.android.gms.growth,7
com.google.android.libraries.social.populous#com.google.android.apps.photos,16
com.google.android.libraries.communications.conference.device#com.google.android.gm,17
com.google.android.gms.vision.sdk,8
com.google.android.gms.thunderbird,21
com.google.android.gms.kids,34
com.google.android.gms.semanticlocation,16
com.google.android.gms.auth.proximity,21
com.google.android.gms.security,28
com.google.android.gms.netrec,7
com.google.android.gms.backup,40
com.google.android.gms.measurement,9
com.google.android.gms.matchstick,43
com.google.android.libraries.performance.primes#com.android.vending,48
com.google.android.finsky.instantapps,54
com.google.android.libraries.mdi.sync#com.android.vending,3
com.google.android.libraries.onegoogle#com.android.vending,34
com.google.android.libraries.personalization.footprints#com.android.vending,34
com.google.android.libraries.consentverifier#com.android.vending,30
com.google.geo.ar#com.google.ar.core,15
com.google.android.gms.phenotype,56
com.google.apps.drive.android#com.google.android.apps.docs,49
com.google.android.gms.playlog.uploader,97
com.google.android.partnersetup,15
com.google.android.gms.update,24
com.google.android.gms.ipa,31
com.google.android.partnersetup#com.android.chrome,17
com.google.android.gms,111
com.google.android.libraries.communications.conference.user#com.google.android.gm,27
com.google.android.apps.search.assistant.user#com.google.android.googlequicksearchbox,30
com.google.android.apps.turbo,10
com.google.android.gms.enterprise,26
com.google.android.gms.droidguard,22
com.google.android.gm,32
com.google.lighter.android#com.google.android.apps.maps,28
com.google.android.libraries.social.populous#com.google.android.apps.maps,13
com.google.android.gms.tapandpay,73
com.google.android.gms.learning#com.google.android.gms,39
com.google.android.gms.learning#com.google.android.googlequicksearchbox,8
assistant_auto_tng_libraries_device#com.google.android.googlequicksearchbox,26
com.google.android.gms.romanesco,50
com.google.android.gm#com.google.android.gm_Hub,31
com.google.android.apps.photos,123
com.google.android.gms.pay,62
com.google.android.westworld,98
com.google.android.gms.auth_folsom,18
com.google.apps.dynamite#com.google.android.gm_Hub,18
com.google.android.gms.platformconfigurator,13
com.google.android.location,116
com.google.android.gms.admob,19
com.google.android.projection.gearhead,48
