_id,mccmnc,gid1,gid2,plmn,imsi_prefix_xpattern,spn,apn,iccid_prefix,privilege_access_rule,carrier_name,carrier_id,parent_carrier_id
1227,90122,,,,,,,,,Denver Consultants Ltd,1774,-1
1228,90188,,,,,,,,,Telecommunications for Disaster Relief (TDR) (OCHA),1775,-1
1229,310010,,,,,,,,,MCI,1776,-1
1230,310013,,,,,,,,,Mobile Tel Inc.,1778,-1
1231,310150,,,,,,,,,Cricket Wireless,1779,-1
1232,310017,,,,,,,,,North Sight Communications Inc.,1780,-1
1233,310020,,,,,,,,,Union Telephone Company,1781,-1
1234,310034,,,,,,,,,Nevada Wireless LLC,1783,-1
1235,310040,,,,,,,,,MTA Communications dba MTA Wireless,1784,-1
1236,310050,,,,,,,,,ACS Wireless Inc.,1785,-1
1237,310110,,,,,,,,,Pacific Telecom Inc,1787,-1
1238,310120,,,,,,,,,Sprint,1788,-1
1239,312530,,,,,,,,,Sprint,1788,-1
1240,310130,,,,,,,,,Carolina West Wireless,1789,-1
1241,310140,,,,,,,,,GTA Wireless LLC,1790,-1
1242,310180,,,,,,,,,West Central Wireless,1792,-1
1243,310190,,,,,,,,,Alaska Wireless Communications LLC,1793,-1
1244,310290,,,,,,,,,Nep Cellcorp Inc.,1795,-1
1245,310320,,,,,,,,,"Smith Bagley Inc, dba Cellular One",1796,-1
1246,310330,,,,,,,,,AN Subsidiary LLC,1797,-1
1247,310550,,,,,,,,,Wireless Solutions International,1798,-1
1248,310570,,,,,,,,,MTPCS LLC,1800,-1
1249,310600,,,,,,,,,cellcom,1802,-1
1250,311480,ba00040000000000,,,,,,,,cellcom,1802,-1
1251,311840,c1000000,,,,,,,,cellcom,1802,-1
1252,310610,,,,,,,,,Elkhart Telephone Co. Inc. dba Epic Touch Co.,1803,-1
1253,310620,,,,,,,,,Coleman County Telecommunications Inc. (Trans Texas PCS),1804,-1
1254,310650,,,,,,,,,Jasper Wireless Inc.,1806,-1
1255,310670,,,,,,,,,AT&T Mobility Vanguard Services,1807,-1
1256,310690,,,,,,,,,Limitless Mobile,1808,-1
1257,310700,,,,,,,,,Cross Valiant Cellular Partnership,1809,-1
1258,310710,,,,,,,,,Arctic Slopo Telephone Association Cooperative,1810,-1
1259,310720,,,,,,,,,Wireless Solutions International Inc.,1811,-1
1260,310730,,,,,,,,,Sea Mobile,1812,-1
1261,310750,,,,,,,,,East Kentucky Network LLC dba Appalachian Wireless,1813,-1
1262,310760,,,,,,,,,Panhandle Telecommunications Systems Inc.,1814,-1
1263,310770,,,,,,,,,Iowa Wireless Services LLC dba I Wireless,1815,-1
1264,310780,,,,,,,,,Connect Net Inc,1816,-1
1265,310790,,,,,,,,,PinPoint Communications Inc.,1817,-1
1266,310810,,,,,,,,,Brazos Cellular Communications Ltd.,1818,-1
1267,310820,,,,,,,,,South Canaan Cellular Communications Co. LP,1819,-1
1268,310830,,,,,,,,,Caprock Cellular Ltd. Partnership,1820,-1
1269,310840,,,,,,,,,Edge Mobile LLC,1821,-1
1270,310850,,,,,,,,,"Aeris Communications, Inc.",1822,-1
1271,310860,,,,,,,,,"TX RSA 15B2, LP dba Five Star Wireless",1823,-1
1272,310870,,,,,,,,,Kaplan Telephone Company Inc.,1824,-1
1273,310880,,,,,,,,,"Advantage Cellular Systems, Inc.",1825,-1
1274,310890,,,,,,,,,Rural Cellular Corporation,1826,-1
1275,310900,,,,,,,,,Mid-Rivers,1827,-1
1276,310910,,,,,,,,,Southern IL RSA Partnership dba First Cellular of Southern Illinois,1828,-1
1277,310920,,,,,,,,,James Valley,1829,-1
1278,310930,,,,,,,,,Copper Valley Wireless,1830,-1
1279,311170,,,,,,,,,PetroCom LLC,1831,-1
1280,311190,,,,,,,,,Cellular Properties Inc.,1833,-1
1281,311200,,,,,,,,,ARINC,1834,-1
1282,311210,,,,,,,,,Farmers Cellular Telephone,1835,-1
1283,311230,,,,,,,,,C Spire,1836,-1
1284,310023,,,,,,,,,C Spire,1836,-1
1285,20404,,,,,c spire,,,,C Spire,1836,-1
1286,20404,,,,,c spire,,,,C Spire,1836,-1
1287,311240,,,,,,,,,Cordova Wireless Communications Inc,1837,-1
