id,channel_id,data
16,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
17,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
18,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
19,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
20,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
21,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
22,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
23,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
24,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
25,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
26,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
27,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
28,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
29,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
30,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
31,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
32,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
33,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
34,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
35,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
36,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
37,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
38,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
39,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
40,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
41,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
42,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
43,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
44,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
45,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
46,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
47,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
48,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
49,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
50,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
51,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
52,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
53,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
54,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
55,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
56,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
57,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
58,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
59,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
60,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
61,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
62,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
63,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
64,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
65,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
66,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
67,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
68,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
69,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
70,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
71,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
72,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
73,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
74,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
75,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
76,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
77,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
78,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
79,com.urbanairship.default,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true}"
80,com.urbanairship.service,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true}"
81,com.urbanairship.news,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true}"
82,com.urbanairship.urgent,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true}"
83,com.urbanairship.low.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true}"
84,com.urbanairship.min.priority,"{""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true}"
