_id,mnoname,apntype,ratpreforder
236,TMobile_HR,mms,IWLAN:LTE
237,TMobile_HR,xcap,IWLAN:LTE
238,TMobile_HR,cbs,LTE
239,TMobile_HR,emergency,LTE
240,TMobile_HR,default,LTE
241,TMobile_HR,hipri,LTE
242,TMobile_HR,supl,LTE
243,TMobile_HR,dun,LTE
244,Wind_CA,ims,IWLAN:LTE
245,Wind_CA,mms,IWLAN:LTE
246,Wind_CA,xcap,IWLAN:LTE
247,Wind_CA,cbs,LTE
248,Wind_CA,emergency,LTE:IWLAN
249,Wind_CA,default,LTE
250,Wind_CA,hipri,LTE
251,Wind_CA,supl,LTE
252,Wind_CA,dun,LTE
253,Wind_CA:SJR,ims,IWLAN:LTE
254,Wind_CA:SJR,mms,IWLAN:LTE
255,Wind_CA:SJR,xcap,IWLAN:LTE
256,Wind_CA:SJR,cbs,LTE
257,Wind_CA:SJR,emergency,LTE:IWLAN
258,Wind_CA:SJR,default,LTE
259,Wind_CA:SJR,hipri,LTE
260,Wind_CA:SJR,supl,LTE
261,Wind_CA:SJR,dun,LTE
262,Telus_CA,ims,LTE:IWLAN
263,Telus_CA,mms,LTE:IWLAN
264,Telus_CA,xcap,LTE:IWLAN
265,Telus_CA,cbs,LTE:IWLAN
266,Telus_CA,emergency,LTE:IWLAN
267,Telus_CA,default,LTE
268,Telus_CA,hipri,LTE
269,Telus_CA,supl,LTE
270,Telus_CA,dun,LTE
271,Koodo_CA,ims,LTE:IWLAN
272,Koodo_CA,mms,LTE:IWLAN
273,Koodo_CA,xcap,LTE:IWLAN
274,Koodo_CA,cbs,LTE
275,Koodo_CA,emergency,LTE:IWLAN
276,Koodo_CA,default,LTE
277,Koodo_CA,hipri,LTE
278,Koodo_CA,supl,LTE
279,Koodo_CA,dun,LTE
280,Vodafone_RO,ims,LTE:IWLAN
281,Vodafone_RO,mms,LTE:IWLAN
282,Vodafone_RO,xcap,LTE:IWLAN
283,Vodafone_RO,cbs,LTE
284,Vodafone_RO,emergency,LTE
285,Vodafone_RO,default,LTE
286,Vodafone_RO,hipri,LTE
287,Vodafone_RO,supl,LTE
288,Vodafone_RO,dun,LTE
289,RDS_RO,ims,IWLAN:LTE
290,RDS_RO,mms,LTE
291,RDS_RO,xcap,LTE
292,RDS_RO,cbs,LTE
293,RDS_RO,emergency,LTE
294,RDS_RO,default,LTE
295,RDS_RO,hipri,LTE
296,RDS_RO,supl,LTE
297,RDS_RO,dun,LTE
298,Orange_RO,ims,IWLAN:LTE
299,Orange_RO,mms,LTE
300,Orange_RO,xcap,LTE
301,Orange_RO,cbs,LTE
302,Orange_RO,emergency,IWLAN:LTE
303,Orange_RO,default,LTE
304,Orange_RO,hipri,LTE
305,Orange_RO,supl,LTE
306,Orange_RO,dun,LTE
307,Swisscom_CH,ims,LTE:IWLAN
308,Swisscom_CH,mms,LTE
309,Swisscom_CH,xcap,LTE:IWLAN
310,Swisscom_CH,cbs,LTE
311,Swisscom_CH,emergency,LTE
312,Swisscom_CH,default,LTE
313,Swisscom_CH,hipri,LTE
314,Swisscom_CH,supl,LTE
315,Swisscom_CH,dun,LTE
316,Sunrise_CH,ims,LTE:IWLAN
317,Sunrise_CH,mms,LTE:IWLAN
318,Sunrise_CH,xcap,LTE:IWLAN
319,Sunrise_CH,cbs,LTE
320,Sunrise_CH,emergency,LTE
321,Sunrise_CH,default,LTE
322,Sunrise_CH,hipri,LTE
323,Sunrise_CH,supl,LTE
324,Sunrise_CH,dun,LTE
325,UPC_CH,ims,IWLAN:LTE
326,UPC_CH,mms,IWLAN:LTE
327,UPC_CH,xcap,IWLAN:LTE
328,UPC_CH,cbs,LTE
329,UPC_CH,emergency,LTE
330,UPC_CH,default,LTE
331,UPC_CH,hipri,LTE
332,UPC_CH,supl,LTE
333,UPC_CH,dun,LTE
334,Orange_CH,ims,IWLAN:LTE
335,Orange_CH,mms,LTE
336,Orange_CH,xcap,IWLAN:LTE
337,Orange_CH,cbs,LTE
338,Orange_CH,emergency,LTE
339,Orange_CH,default,LTE
340,Orange_CH,hipri,LTE
341,Orange_CH,supl,LTE
342,Orange_CH,dun,LTE
343,Telefonica_CZ,ims,LTE:IWLAN
344,Telefonica_CZ,mms,LTE:IWLAN
345,Telefonica_CZ,xcap,LTE:IWLAN
346,Telefonica_CZ,cbs,LTE
347,Telefonica_CZ,emergency,LTE:IWLAN
348,Telefonica_CZ,default,LTE
349,Telefonica_CZ,hipri,LTE
350,Telefonica_CZ,supl,LTE
351,Telefonica_CZ,dun,LTE
352,TMobile_CZ,ims,LTE:IWLAN
353,TMobile_CZ,mms,LTE:IWLAN
354,TMobile_CZ,xcap,LTE:IWLAN
355,TMobile_CZ,cbs,LTE
356,TMobile_CZ,emergency,LTE
357,TMobile_CZ,default,LTE
358,TMobile_CZ,hipri,LTE
359,TMobile_CZ,supl,LTE
360,TMobile_CZ,dun,LTE
361,Vodafone_CZ,ims,LTE:IWLAN
362,Vodafone_CZ,mms,LTE:IWLAN
363,Vodafone_CZ,xcap,LTE
364,Vodafone_CZ,cbs,LTE
