_id,tag,package,component,component_type,category,support_state,label_resource_id,description_resource_id,enabled_label_resource_id,negative_enabled_label_resource_id,support_negative,icon_resource_id,config_activity_class,default_intent_param,default_label_param,attributes,action_extra,uri,correct_param
11,volume,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131822583,2131822581,2131822582,-1,0,2131231232,com.samsung.android.app.routines/.preloadproviders.settings.actions.soundmodeandvolume.SepPreloadConfigurationVolumeControlActivity,,,forced_recover,,,
12,media_volume,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131821204,2131822581,2131822582,-1,0,2131231232,com.samsung.android.app.routines/.preloadproviders.settings.actions.mediavolume.SepPreloadMediaVolumeActivity,,,forced_recover,,,
13,dialing_keypad_tones,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131820945,2131820943,2131821348,2131821345,1,2131231235,,,,,,,1
14,keyboard_sound,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131821132,2131821130,2131821348,2131821345,1,2131231211,com.samsung.android.app.routines/.preloadproviders.settings.actions.keyborad.SepPreloadKeyboardSoundActionActivity,,,,,,1
15,keyboard_vibration,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131821137,2131821135,2131821348,2131821345,1,2131231212,com.samsung.android.app.routines/.preloadproviders.settings.actions.keyborad.SepPreloadKeyboardVibrationActionActivity,,,,,,1
16,dolby_atmos,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131820960,2131820958,2131821348,2131821345,1,2131231192,,,,,,,1
17,separate_app_sound,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,sound_vibration,1,2131822078,2131822076,2131822077,-1,0,2131231231,com.samsung.android.app.routines/.preloadproviders.settings.actions.separateappsound.SepPreloadSeparateAppSoundSettingActivity,,,,,,
18,zen_mode_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,notifications,1,2131822639,2131822637,2131821348,2131821345,1,2131231223,,,,,,,1
19,night_mode,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131821316,2131821315,2131821348,2131821345,1,2131231222,com.samsung.android.app.routines/.preloadproviders.settings.actions.nightmode.SepPreloadActionNightModeSettingActivity,,,,,,
20,brightness,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131820781,2131820779,2131820780,-1,0,2131230883,com.samsung.android.app.routines/.preloadproviders.settings.actions.brightness.SepPreloadConfigurationBrightnessControlActivity,,,forced_recover,,,0;169
21,motion_smoothness,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,-1,2131821239,2131821237,2131821243,-1,0,2131231217,com.samsung.android.app.routines/.preloadproviders.settings.actions.motionsmoothnessandscreenresolution.SepPreloadActionMotionSmoothnessSettingActivity,,,,,,1
22,motion_smoothness_and_screen_resolution,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,-1,2131821244,2131821242,2131821243,-1,0,2131231217,com.samsung.android.app.routines/.preloadproviders.settings.actions.motionsmoothnessandscreenresolution.SepPreloadActionMotionSmoothnessAndScreenResolutionSettingActivity,,,,,,1
23,blue_light_filter_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131820637,2131820758,2131821348,2131821345,1,2131230858,,,,forced_recover,,,1
24,font_size,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131821054,2131821053,2131821053,-1,0,2131231206,com.samsung.android.app.routines/.preloadproviders.settings.actions.fontsize.SepPreloadActionFontSizeSettingActivity,,,,,,
25,screen_zoom,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131822060,2131822058,2131822059,-1,0,2131231241,com.samsung.android.app.routines/.preloadproviders.settings.actions.screenlayoutandzoom.SepPreloadActionScreenZoomSettingActivity,,,,,,
26,screen_layout_and_zoom,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,-1,2131822030,2131822028,2131822029,-1,0,2131231241,com.samsung.android.app.routines/.preloadproviders.settings.actions.screenlayoutandzoom.SepPreloadActionScreenLayoutAndZoomSettingActivity,,,,,,
27,screen_resolution,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131822040,2131822038,2131822039,-1,0,2131231228,com.samsung.android.app.routines/.preloadproviders.settings.actions.motionsmoothnessandscreenresolution.SepPreloadActionScreenResolutionSettingActivity,,,,,,
28,screen_timeout,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131822057,2131822055,2131822056,-1,0,2131231234,com.samsung.android.app.routines/.preloadproviders.settings.actions.screentimeout.SepPreloadActionScreenTimeoutSettingActivity,,,,,,
29,rotation_screen,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131821665,2131821663,2131821664,-1,0,2131231229,com.samsung.android.app.routines/.preloadproviders.settings.actions.rotation.SepPreloadActionRotationSettingActivity,,,forced_recover,,,1;0
30,multi_window_tray,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,display_setting,1,2131821280,2131821279,2131821348,2131821345,1,2131231218,,,,,,,1
31,trust_lock,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,lock_screen,1,2131822536,2131822534,2131821348,-1,0,2131231236,,,,get_all_params;mortal_type,,,1
32,aod_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,lock_screen,1,2131820674,2131820672,2131821348,2131821345,1,2131231203,com.samsung.android.app.routines/.preloadproviders.settings.actions.aod.SepPreloadAodSettingActivity,,,forced_recover,,,
33,lockscreen_shortcut,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,lock_screen,1,2131821191,2131821191,2131821190,-1,0,2131231215,com.samsung.android.app.routines/.preloadproviders.settings.actions.lockscreenshortcut.SepPreloadActionLockScreenShortcutSettingActivity,,,forced_recover,,,
34,gps_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,location,1,2131821073,2131821071,2131821348,2131821345,1,2131231214,,,,,,,1
35,data_auto_sync,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,account_cloud,1,2131820890,2131820888,2131821348,2131821345,1,2131231193,,,,,,,1
36,upsm_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,battery,1,2131821392,2131821393,2131821394,-1,0,2131231227,com.samsung.android.app.routines/.preloadproviders.settings.actions.powersavingmode.SepPreloadConfigurationPowerModeSettingActivity,,,,,,
37,color_adjustment,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,accessibility,1,2131820809,2131820807,2131821348,2131821345,1,2131231199,,,,,,,1
38,bixby_text_command,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,bixby_setting,0,2131820741,2131820741,-1,-1,0,2131231230,com.samsung.android.app.routines/.preloadproviders.bixby.actions.textcommand.SepPreloadBixbyTextCommandSetting,,,moment_type,,,
39,bixby_quick_command,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,bixby_setting,0,2131820733,2131820733,-1,-1,0,2131230861,com.samsung.android.app.routines/.preloadproviders.bixby.actions.quickcommand.SepPreloadQuickCommandActionProvisioningDialogActivity,,,moment_type,,,
40,bixby_voice_wake_up_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,bixby_setting,0,2131820753,2131820751,2131821348,2131821345,1,2131231195,com.samsung.android.app.routines/.preloadproviders.bixby.actions.voicewakeup.SepPreloadBixbyWakeUpActionProvisioningDialogActivity,,,,,,1
41,play_media,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,music,1,2131821203,2131821203,2131821202,-1,0,2131231226,com.samsung.android.app.routines/.preloadproviders.system.actions.playmedia.SepPreloadPlayMediaSettingActivity,,,get_all_params,,,
42,spotify_playlist,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,music,1,2131822221,2131822217,2131822218,-1,0,2131231233,com.samsung.android.app.routines/.preloadproviders.apps.actions.spotify.SepPreloadActionSpotifySettingActivity,,,,,,
43,sound,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,effects,1,2131822203,2131822201,2131822202,-1,0,2131231194,,,,moment_type,,,1
44,vibration,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,effects,1,2131822567,2131822565,2131822566,-1,0,2131231237,,,,moment_type,,,1
45,launch_app,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821145,2131821143,2131821144,-1,0,2131231191,com.samsung.android.app.routines/.preloadproviders.apps.actions.openapp.SepPreloadLaunchAppSettingActivity,,,moment_type,,,1
46,preload_close_app,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131820806,2131820804,2131820805,-1,0,2131231251,com.samsung.android.app.routines/.preloadproviders.apps.actions.closeapp.SepPreloadCloseAppSettingActivity,,,moment_type,,,1
47,routine_focus_mode,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821049,2131821049,2131821048,-1,0,2131231202,com.samsung.android.app.routines/.preloadproviders.system.actions.focusmode.SepPreloadFocusModeSetting,,,,,,
48,flash,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821039,2131821037,2131821348,-1,0,2131231205,,,,,,,
49,hard_key,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821076,2131821076,2131821075,-1,0,2131231220,com.samsung.android.app.routines/.preloadproviders.system.actions.hardkey.SepPreloadHardKeySettingActivity,,,moment_type,,,1
50,notification_tts,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821343,2131821341,2131821342,-1,0,2131231224,com.samsung.android.app.routines/.preloadproviders.system.actions.notificationtts.SepPreloadConfigurationNotificationTtsActivity,,,get_all_params;mortal_type,,,
51,quick_decline_message,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821473,2131821471,2131821472,-1,0,2131231216,com.samsung.android.app.routines/.preloadproviders.system.actions.quickdeclinemessage.SepPreloadConfigurationQuickDeclineMessage,,,get_all_params;mortal_type,,,
52,video_enhancer,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131822570,2131822568,-1,-1,1,2131230862,com.samsung.android.app.routines/.preloadproviders.settings.actions.videoenhancer.SepPreloadActionVideoEnhancerActivity,,,,,,1
53,connect_url,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131820839,2131820839,2131820841,-1,0,2131231238,com.samsung.android.app.routines/.preloadproviders.system.actions.website.SepPreloadActionURLSettingActivity,,,moment_type,,,1
54,navigation_setting,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,function,1,2131821294,2131821291,2131821075,-1,0,2131231210,com.samsung.android.app.routines/.preloadproviders.system.actions.navigationbutton.SepPreloadNavigationBarTypeSettingActivity,,,,,,1
55,device_control,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,smart_things,1,2131820918,2131820918,-1,-1,0,2131231201,com.samsung.android.app.routines/.preloadproviders.smartthings.acitions.controldevices.SepPreloadDeviceControlEnterActivity,,,moment_type,,,
56,run_a_scene,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,smart_things,1,2131821961,2131821960,-1,-1,0,2131230883,com.samsung.android.app.routines/.preloadproviders.smartthings.acitions.scene.SepPreloadRunASceneSettingActivity,,,moment_type,,,
57,Secure Wi-Fi,com.samsung.android.fast,com.samsung.android.fast/.bixby.RoutineActionProvider,,security,0,2131886137,-1,-1,-1,0,2131230746,com.samsung.android.fast/.bixby.RoutineConfigActivity,,,hide_param_label,,,
58,fast_cable_charging,com.samsung.android.lool,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineActionProvider,provider,battery,1,2131820931,2131820931,-1,-1,0,2131230770,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineSettingActivity,,,,,,
59,super_fast_cable_charging,com.samsung.android.lool,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineActionProvider,provider,battery,-2,2131821478,2131821478,-1,-1,0,2131230770,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineSettingActivity,,,,,,
60,fast_wireless_charging,com.samsung.android.lool,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineActionProvider,provider,battery,1,2131820933,2131820933,-1,-1,0,2131230770,com.samsung.android.lool/com.samsung.android.sm.routine.RoutineSettingActivity,,,,,,
61,routine_action_cmc,com.samsung.android.mdecservice,com.samsung.android.mdecservice/com.samsung.android.cmcsettings.settings.CmcRoutineActionProvider,,function,0,2131755040,-1,-1,-1,0,2131230834,com.samsung.android.mdecservice/com.samsung.android.cmcsettings.view.routine.ConfigActivity,,,,,,
62,aircommand_open_with_pen,com.samsung.android.service.aircommand,com.samsung.android.service.aircommand/.settings.SettingRoutineProvider,provider,function,1,2131755183,-1,2131755582,2131755581,1,2131230902,,,,,,,1
63,dolby,com.sec.android.app.soundalive,com.sec.android.app.soundalive.compatibility.RoutineActionProvider,provider,sound_vibration,1,2131755078,2131755283,2131755045,-1,0,2131230746,com.sec.android.app.soundalive.DolbyBixbyRoutine,,,forced_recover,,,
64,eqpreset,com.sec.android.app.soundalive,com.sec.android.app.soundalive.compatibility.RoutineActionProvider,provider,sound_vibration,1,2131755099,2131755099,2131755045,-1,0,2131230747,com.sec.android.app.soundalive.EqualizerBixbyRoutine,,,forced_recover,,,
65,command://com.samsung.accessibility.command/toggle_inversion_preference,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230916,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
66,command://com.samsung.accessibility.command/AmplifyAmbientSoundRoutine,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230913,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
67,command://com.samsung.accessibility.command/screen,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230921,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
68,command://com.samsung.accessibility.command/camera_light,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230914,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
69,command://com.samsung.accessibility.command/ColorLensRoutine,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230917,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
70,command://com.samsung.accessibility.command/mono_audio_key,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230919,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
71,command://com.samsung.accessibility.command/all_sound_off_key,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230920,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
72,command://com.samsung.accessibility.command/LiveCaptionRoutine,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,,accessibility,1,0,0,0,0,0,2131230918,com.samsung.android.app.routines.preloadproviders.commandprovider.actions.SepPreloadCommandProviderSetting,,,,,,
