itag,width,height,audio_channels,drm_type,is_dash,is_multi,dynamic_range_type,mime_type
337,3840,2160,0,0,1,0,2,video/webm
350,0,0,2,3,1,0,0,audio/webm
351,0,0,2,3,1,0,0,audio/webm
352,0,0,2,3,1,0,0,audio/webm
353,1280,720,0,0,1,0,1,video/webm
354,1280,720,0,0,1,0,1,video/webm
355,1920,1080,0,0,1,0,1,video/webm
356,1920,1080,0,0,1,0,1,video/webm
357,1280,720,0,3,1,0,1,video/webm
358,1280,720,0,3,1,0,1,video/webm
359,1920,1080,0,3,1,0,1,video/webm
360,1920,1080,0,3,1,0,1,video/webm
361,256,144,0,3,1,0,2,video/webm
362,426,240,0,3,1,0,2,video/webm
363,640,360,0,3,1,0,2,video/webm
364,854,480,0,3,1,0,2,video/webm
365,1280,720,0,3,1,0,2,video/webm
366,1920,1080,0,3,1,0,2,video/webm
367,2560,1440,0,3,1,0,2,video/webm
368,3840,2160,0,3,1,0,2,video/webm
380,0,0,6,0,1,0,0,audio/mp4
381,0,0,6,3,1,0,0,audio/mp4
432,854,480,0,0,1,0,1,video/mp4
433,1280,720,0,0,1,0,1,video/mp4
434,1920,1080,0,0,1,0,1,video/mp4
435,2560,1440,0,0,1,0,1,video/mp4
436,3840,2160,0,0,1,0,1,video/mp4
437,854,480,0,0,1,0,3,video/mp4
438,1280,720,0,0,1,0,3,video/mp4
439,1920,1080,0,0,1,0,3,video/mp4
440,2560,1440,0,0,1,0,3,video/mp4
441,3840,2160,0,0,1,0,3,video/mp4
442,3840,2160,0,0,1,0,3,video/mp4
443,854,480,0,0,1,0,4,video/mp4
444,1280,720,0,0,1,0,4,video/mp4
445,1920,1080,0,0,1,0,4,video/mp4
446,2560,1440,0,0,1,0,4,video/mp4
447,3840,2160,0,0,1,0,4,video/mp4
448,3840,2160,0,0,1,0,4,video/mp4
449,854,480,0,3,1,0,1,video/mp4
450,1280,720,0,3,1,0,1,video/mp4
451,1920,1080,0,3,1,0,1,video/mp4
452,2560,1440,0,3,1,0,1,video/mp4
453,3840,2160,0,3,1,0,1,video/mp4
454,854,480,0,3,1,0,3,video/mp4
455,1280,720,0,3,1,0,3,video/mp4
456,1920,1080,0,3,1,0,3,video/mp4
457,2560,1440,0,3,1,0,3,video/mp4
458,3840,2160,0,3,1,0,3,video/mp4
459,3840,2160,0,3,1,0,3,video/mp4
460,854,480,0,3,1,0,4,video/mp4
461,1280,720,0,3,1,0,4,video/mp4
462,1920,1080,0,3,1,0,4,video/mp4
463,2560,1440,0,3,1,0,4,video/mp4
464,3840,2160,0,3,1,0,4,video/mp4
465,3840,2160,0,3,1,0,4,video/mp4
480,426,240,0,0,1,0,1,video/mp4
481,426,240,0,0,1,0,1,video/mp4
482,640,360,0,0,1,0,1,video/mp4
483,640,360,0,0,1,0,1,video/mp4
484,854,480,0,0,1,0,1,video/mp4
485,854,480,0,0,1,0,1,video/mp4
486,1280,720,0,0,1,0,1,video/mp4
487,1920,1080,0,0,1,0,1,video/mp4
488,1920,1080,0,0,1,0,1,video/mp4
489,3840,2160,0,0,1,0,1,video/mp4
490,3840,2160,0,0,1,0,1,video/mp4
491,3840,2160,0,0,1,0,1,video/mp4
492,426,240,0,0,1,0,3,video/mp4
493,426,240,0,0,1,0,3,video/mp4
494,640,360,0,0,1,0,3,video/mp4
495,640,360,0,0,1,0,3,video/mp4
496,854,480,0,0,1,0,3,video/mp4
497,854,480,0,0,1,0,3,video/mp4
498,1280,720,0,0,1,0,3,video/mp4
499,1920,1080,0,0,1,0,3,video/mp4
500,1920,1080,0,0,1,0,3,video/mp4
501,3840,2160,0,0,1,0,3,video/mp4
502,3840,2160,0,0,1,0,3,video/mp4
503,426,240,0,0,1,0,4,video/mp4
504,426,240,0,0,1,0,4,video/mp4
505,640,360,0,0,1,0,4,video/mp4
506,640,360,0,0,1,0,4,video/mp4
507,854,480,0,0,1,0,4,video/mp4
508,854,480,0,0,1,0,4,video/mp4
509,1280,720,0,0,1,0,4,video/mp4
510,1920,1080,0,0,1,0,4,video/mp4
511,1920,1080,0,0,1,0,4,video/mp4
